First Activity,Second Activity,Governmental Law,Best Practice,Business Rule,Law of Nature
Search for a topic,Conduct informal meeting to explain topic,-,"The supervisor states it's not mandatory but necessary and commonly done by supervisors, indicating it's a procedure accepted as superior but not required.",-,"There's a logical dependency where selecting a topic must precede explaining it, as you can't explain a topic that hasn't been chosen yet."
Search for a topic,Write and submit proposal,-,-,-,"There is a data dependency. The proposal requires information about the chosen topic, making it impossible to write the proposal before selecting a topic."
Search for a topic,Get registered by chair on Koinon,-,-,"This ordering is a procedure established by the university, under their full jurisdiction, to ensure students have a topic before formal registration. It's not mandated by governmental law or widely accepted as an industry best practice.","There's a data dependency where the topic information is needed for the registration process. You cannot register a thesis without having a topic, as it's required information for registration."
Search for a topic,Student accept thesis on Koinon,-,-,-,"There is a logical and data dependency. A student needs a topic before they can meaningfully accept a thesis registration on Koinon, creating a natural sequence where topic selection must precede formal registration acceptance."
Search for a topic,Start writing thesis,-,"This ordering is widely accepted by students and supervisors as the most effective approach, although not mandated by official regulations. Interviews indicate it's the common method, allowing students to have a clear direction before writing.",-,"There's a natural logical and data dependency. You need to have a topic before you can start writing about it, creating a necessary sequence where topic selection precedes writing."
Search for a topic,Conduct regular catch-up meetings,-,"Regular catch-up meetings are described as a common and beneficial practice by supervisors, but not strictly mandated. The supervisor mentions weekly meetings as a standard practice, while the student indicates flexibility in meeting frequency, suggesting it's an accepted superior procedure rather than a strict rule.",-,-
Search for a topic,Submit thesis on Koinon,"The examination regulations set by the university and Bavarian State Ministry mandate the thesis process, including topic selection before submission.",-,-,There's a logical and data dependency as it's impossible to submit a thesis without first having a topic to write about.
Search for a topic,Present thesis in Colloquium,"The order is mandated by the university's examination regulations set by the Technical University of Munich and the Bavarian State Ministry, which have the force of law within the academic context.",-,-,"It's logically impossible to present a thesis without first having a topic to research and write about. The topic selection is a fundamental prerequisite for all subsequent steps in the thesis process, including the final presentation."
Conduct informal meeting to explain topic,Write and submit proposal,-,"The supervisor states it's 'not mandatory by the university, but it's necessary and what the supervisors usually do,' indicating it's a procedure accepted by thesis supervisors as superior but not required.",-,-
Conduct informal meeting to explain topic,Get registered by chair on Koinon,-,"The supervisor states it's not mandatory but 'necessary and what the supervisors usually do.' It's a widely accepted procedure among supervisors, considered beneficial for ensuring a good fit between student and topic before formal registration.",-,-
Conduct informal meeting to explain topic,Student accept thesis on Koinon,-,"The supervisor states it's not mandatory but necessary and commonly done by supervisors to ensure student understanding and agreement, fitting the definition of a Best Practice.",-,-
Conduct informal meeting to explain topic,Start writing thesis,-,"The supervisor states it's not mandatory but 'necessary and what the supervisors usually do', indicating it's a widely accepted procedure considered superior to alternatives.",-,-
Conduct informal meeting to explain topic,Conduct regular catch-up meetings,-,The supervisor states it's not mandatory but necessary and what supervisors usually do. It's considered beneficial for ensuring student understanding and commitment before regular meetings begin.,-,-
Conduct informal meeting to explain topic,Submit thesis on Koinon,-,"The supervisor states it's not mandatory by the university but is considered necessary and is what supervisors usually do, indicating it's a procedure accepted as superior but not required.",-,-
Conduct informal meeting to explain topic,Present thesis in Colloquium,-,"The supervisor states it's not mandatory but necessary and commonly done by supervisors. It's a widely accepted practice beneficial for the thesis process, aligning with the definition of a Best Practice.",-,-
Write and submit proposal,Get registered by chair on Koinon,-,-,"The proposal requirement is set by individual chairs, not universally mandated. It can be changed or discarded at the chair's discretion, and practices vary between chairs.",-
Write and submit proposal,Student accept thesis on Koinon,-,-,"The requirement for a proposal is set by individual chairs or departments, not by the university as a whole. Some chairs require it while others don't, indicating it's under the full jurisdiction of the stakeholders and can be changed at their discretion.",-
Write and submit proposal,Start writing thesis,-,"The proposal is not universally mandated but widely accepted as beneficial. Interviews reveal that some chairs require it while others don't, indicating it's a procedure considered superior by many in the academic community.",-,-
Write and submit proposal,Conduct regular catch-up meetings,-,"Proposals and regular meetings are common practices among supervisors and chairs, not strictly mandated by university or governmental regulations. They are widely accepted as effective methods for guiding thesis work but remain flexible in implementation.",-,-
Write and submit proposal,Submit thesis on Koinon,-,-,"The requirement for a proposal is determined by individual chairs or departments, not university-wide. Some chairs require it, others don't, indicating it's under the full jurisdiction of these stakeholders.",-
Write and submit proposal,Present thesis in Colloquium,-,-,"The proposal requirement is set by individual chairs or departments, not universally mandated. Some chairs require it, others don't, indicating it's under the stakeholders' discretion.",-
Get registered by chair on Koinon,Student accept thesis on Koinon,-,-,"This ordering is an internal university procedure implemented in the Koinon system, under the full jurisdiction of university stakeholders and could be changed if they decided to alter the process.",-
Get registered by chair on Koinon,Start writing thesis,-,-,"The ordering is under the university's jurisdiction and can be flexibly interpreted. The supervisor states that starting before registration is not how it's supposed to happen, but it's possible, indicating a rule set by the university that can be adjusted.",-
Get registered by chair on Koinon,Conduct regular catch-up meetings,-,-,"The ordering is under the jurisdiction of the university and chairs, who determine when students can start regular meetings with supervisors, typically after formal registration on Koinon.",-
Get registered by chair on Koinon,Submit thesis on Koinon,"The order is mandated by the university's examination regulations (APSO §18), which are set by the Technical University of Munich and the Bavarian State Ministry. These regulations require students to be enrolled from the start of thesis work until submission.",-,-,"There is a data dependency where registration generates necessary data (official start date, student identification) required for the submission process in the system."
