First Activity,Second Activity,Governmental Law,Best Practice,Business Rule,Law of Nature
Search for a topic,Conduct informal meeting to explain topic,-,"The supervisor states that the meeting is ""not mandatory by the university"" but ""necessary and what the supervisors usually do."" This indicates that the meeting is not enforced by any rule, but it is a procedure accepted by the supervisors as superior to simply starting work without discussion.",-,-
Search for a topic,Write and submit proposal,-,-,-,-
Search for a topic,Get registered by chair on Koinon,-,-,"The chair, as a stakeholder in the process, has the authority to set their own rules. The interviews indicate that chairs have the discretion to decide whether a proposal is required before registration. This suggests that the ordering of ""Search for a topic"" before ""Get registered by chair on Koinon"" is a rule established by the chair, not a university-wide mandate or a universally accepted best practice.",-
Search for a topic,Student accept thesis on Koinon,"The examination regulations state that the thesis is generally to be graded by the thesis issuer within two months of submission. This rule is enforced by the university and the Bavarian state ministry, making it a governmental law.",-,-,"The chair cannot grade the thesis before it is submitted. This is a data dependency, as the chair needs the thesis document to grade it."
Search for a topic,Start writing thesis,-,-,-,You cannot write a thesis without first having a topic to write about. This is a fundamental logical dependency.
Search for a topic,Conduct regular catch-up meetings,-,-,-,-
Search for a topic,Submit thesis on Koinon,-,-,-,You cannot submit a thesis on Koinon without having a topic to write about.
Search for a topic,Present thesis in Colloquium,The examination regulations explicitly state that the thesis must be submitted before the colloquium can take place. This is a rule created and enforced by the university and the Bavarian state ministry to regulate the behavior of students in the examination process.,-,-,-
Conduct informal meeting to explain topic,Write and submit proposal,-,"The supervisor states that the meeting is ""necessary"" and ""what the supervisors usually do."" This implies that it's a procedure widely accepted by supervisors as a superior way to ensure the student understands the topic and its potential outcomes.",-,-
Conduct informal meeting to explain topic,Get registered by chair on Koinon,-,"The supervisor explicitly states that the meeting is not mandatory by the university but is necessary and what supervisors usually do. This indicates that it is a procedure widely accepted by supervisors as a superior way to ensure the student understands the topic and is committed to it, aligning with the definition of best practice.",-,-
Conduct informal meeting to explain topic,Student accept thesis on Koinon,-,"The supervisor states that the meeting is 'not mandatory by the university' but 'necessary and what the supervisors usually do.' This indicates that it's a widely accepted practice within the university, considered a superior way to ensure student understanding and commitment to the topic.",-,-
Conduct informal meeting to explain topic,Start writing thesis,-,"The supervisor states that the meeting is ""necessary"" and ""what the supervisors usually do."" This implies that it's a procedure widely accepted by supervisors as a superior way to ensure student understanding and engagement with the topic.",-,-
Conduct informal meeting to explain topic,Conduct regular catch-up meetings,-,"The supervisor emphasizes that the meeting is ""necessary"" and ""what supervisors usually do."" This suggests it's a widely accepted practice within the academic community, considered superior to starting regular meetings without a clear understanding of the topic.",-,-
Conduct informal meeting to explain topic,Submit thesis on Koinon,-,"The supervisor explicitly states that the meeting is ""necessary"" and ""what the supervisors usually do."" This implies that it's a procedure considered superior to not having the meeting, even though it's not mandated.",-,-
Conduct informal meeting to explain topic,Present thesis in Colloquium,-,-,-,-
Write and submit proposal,Get registered by chair on Koinon,-,-,"The interviews clearly state that the proposal is not a university-wide requirement, but rather a rule set by individual chairs. This means the decision to require a proposal is under the full jurisdiction of the chair, a stakeholder in the process. They can change or discard this rule at their discretion.",-
Write and submit proposal,Student accept thesis on Koinon,-,-,"The interviews clearly state that the requirement for a proposal is a decision made by each individual chair. This means the rule is under the full jurisdiction of the chair, a stakeholder in the process, and can be changed or discarded at their discretion.",-
Write and submit proposal,Start writing thesis,-,-,"The student and supervisor both confirm that the proposal is a requirement set by individual chairs, not the university. This means the chair, as a stakeholder in the process, has the authority to decide whether or not a proposal is needed. This aligns with the definition of a business rule: a rule under the full jurisdiction of the process stakeholders.",-
Write and submit proposal,Conduct regular catch-up meetings,-,-,"The supervisor explicitly states that the proposal is ""up to each chair to decide,"" indicating that it's a rule set by the chair, a stakeholder in the process. The chair has the authority to change or discard this rule at their discretion.",-
Write and submit proposal,Submit thesis on Koinon,-,-,"The interviews clearly state that the requirement for a proposal is a decision made by each individual chair. This means the rule is under the full jurisdiction of the chair, a stakeholder in the process, and can be changed or discarded at their discretion.",-
Write and submit proposal,Present thesis in Colloquium,-,-,"The student and supervisor explicitly state that the proposal is a requirement set by each chair, not the university. This indicates a rule under the chair's jurisdiction, making it a business rule.",-
Get registered by chair on Koinon,Student accept thesis on Koinon,-,-,"The chair, as a stakeholder in the process, has control over how the registration and acceptance are handled within the Koinon platform. They have the authority to change the order of these actions if they deem it necessary. The platform itself likely dictates this order for its internal functionality, which is under the chair's control.",-
Get registered by chair on Koinon,Start writing thesis,-,-,"The interviews clearly indicate that some chairs require a proposal before registration, while others don't. This demonstrates that the registration requirement is a rule specific to each chair, not a university-wide mandate.",-
Get registered by chair on Koinon,Conduct regular catch-up meetings,-,-,"The chair, as a stakeholder in the process, has the authority to set rules regarding the frequency and nature of meetings. The supervisor's statement about the chair's flexibility in organizing meetings suggests that this is a rule that can be adjusted at the chair's discretion.",-
Get registered by chair on Koinon,Submit thesis on Koinon,-,-,"The student service center explicitly states that the student must be registered to submit the thesis. This is a rule set by the university, specifically by the chair, who manages the Koinon platform. The chair has the authority to change or discard this rule at their discretion.",-
Get registered by chair on Koinon,Present thesis in Colloquium,"The examination regulations, set by the University and the Bavarian ministry, explicitly state that the thesis must be submitted before the student can present it in the colloquium. This is a rule created and enforced by a governmental institution (the University and the Bavarian State Ministry) to regulate the behavior of students in the examination process.",-,-,-
Student accept thesis on Koinon,Start writing thesis,-,-,-,-
Student accept thesis on Koinon,Conduct regular catch-up meetings,-,"The interviews with both the supervisor and student highlight that regular meetings are a common practice, but not a strict requirement. The supervisor mentions that weekly meetings are ""not realistic"" for bachelor students, implying that the frequency is flexible and adapted to the student's needs. The student also mentions that while regular meetings are common, they chose to have them every two weeks. This suggests that the frequency is a matter of preference and best practice rather than a hard rule.",-,-
Student accept thesis on Koinon,Submit thesis on Koinon,-,-,The ordering is determined by the functionality of the Koinon platform. The platform requires the student to accept the thesis before they can submit it. This rule is under the jurisdiction of the platform developers and can be changed at their discretion.,-
Student accept thesis on Koinon,Present thesis in Colloquium,The examination regulations explicitly state that the thesis must be submitted before the colloquium can take place. This is a rule created and enforced by the university and the Bavarian state ministry to regulate the behavior of students in the examination process.,-,-,-
Start writing thesis,Conduct regular catch-up meetings,-,"The supervisor mentions that they usually have longer weekly meetings with bachelor students, but this is not a rule enforced by the chair or department. It's a practice that individual supervisors adopt based on their experience and the needs of their students. This is a procedure generally accepted as superior to not having regular meetings, but it's not a mandatory requirement.",-,-
Start writing thesis,Submit thesis on Koinon,-,-,-,You cannot submit a thesis without having written it first.
Start writing thesis,Present thesis in Colloquium,The examination regulations explicitly state that the thesis must be submitted before the colloquium can take place. This is a rule created and enforced by the university and the Bavarian state ministry to regulate the behavior of students in the examination process.,-,-,-
Conduct regular catch-up meetings,Submit thesis on Koinon,-,"The interviews consistently highlight that regular meetings are a common practice among supervisors. The supervisor in the interview states that while the university mandates a minimum of 0.2 semester weekly hours, this is not realistic for bachelor thesis students.  The student also mentions that while not mandatory, regular meetings are common practice. This suggests that the ordering is based on a procedure widely accepted as superior to alternatives, making it a best practice.",-,-
Conduct regular catch-up meetings,Present thesis in Colloquium,-,"The supervisor and student both mention that regular meetings are common practice, and the supervisor emphasizes that it's important for the student to be on track. This suggests that the ordering is based on a procedure widely accepted as superior to alternatives, even though it's not strictly enforced.",-,-
Submit thesis on Koinon,Present thesis in Colloquium,"The examination regulations, set by the University and the Bavarian ministry, explicitly state that the thesis must be submitted before the student can present it in the colloquium. This is a rule created and enforced by a governmental institution (the University and the Bavarian State Ministry) to regulate the behavior of students in the examination process.",-,-,-
