First Activity,Second Activity,Governmental Law,Best Practice,Business Rule,Law of Nature
Search for a topic,Conduct informal meeting to explain topic,-,"In the interview with the supervisor, they say ""I think it's not mandatory by the university, but it's necessary and what the supervisors usually do."" This indicates that the informal meeting to explain the topic is not mandated by the university, but it is accepted by the thesis supervisors as a superior procedure, hence, a best practice.",-,-
Search for a topic,Write and submit proposal,-,-,"The supervisor mentions that writing a proposal is a requirement set by some chairs, but not all. The student also confirms that not all chairs require a proposal. This indicates that the relationship between searching for a topic and writing a proposal is a business rule, as it's under the jurisdiction of individual chairs and not mandated by the university or governmental regulations.",-
Search for a topic,Get registered by chair on Koinon,-,-,"The order of these activities is determined by the chair's process, not by university-wide regulations or governmental laws. The Student Service Center representative mentions that students search for topics and consult with the chair before the registration on Koinon. This indicates that the relationship between these activities is a business rule set by the chair or department, which could potentially be changed at their discretion.",-
Search for a topic,Student accept thesis on Koinon,-,-,-,"There is a logical dependency between these two activities. The student must first search for and select a topic before they can accept the thesis on Koinon. Accepting the thesis on Koinon is part of the formal registration process, which occurs after a topic has been chosen and agreed upon with the supervisor."
Search for a topic,Start writing thesis,-,-,-,There is a data dependency between the two activities. A student cannot start writing their thesis without first having a topic to write about. The second activity depends on the output (selected topic) from the first activity to proceed with the process.
Search for a topic,Conduct regular catch-up meetings,-,-,-,"There is a logical dependency between these two activities. A student must first search for and select a topic before they can conduct regular catch-up meetings with their supervisor about the progress of their thesis work. The catch-up meetings are specifically about the chosen topic and the ongoing thesis work, which necessitates that a topic has been selected beforehand."
Search for a topic,Submit thesis on Koinon,-,-,-,"There is a logical dependency between these activities. A student must first search for and select a topic before they can complete and submit their thesis. The submission of the thesis on Koinon is the final step in the process, which can only occur after the topic has been chosen, research conducted, and the thesis written."
Search for a topic,Present thesis in Colloquium,-,-,-,"There is a logical dependency between the two activities. You cannot present a thesis without first having a topic to research and write about. The search for a topic is the initial step in the thesis process, while presenting the thesis in the colloquium is one of the final steps. The second activity inherently depends on the completion of the first activity and all the steps in between (writing the thesis, submitting it, etc.)."
Conduct informal meeting to explain topic,Write and submit proposal,-,"The supervisor states that the informal discussion is 'not mandatory by the university, but it's necessary and what the supervisors usually do.' This indicates that it's a best practice adopted by supervisors to ensure students understand and are interested in the topic before writing the proposal.",-,-
Conduct informal meeting to explain topic,Get registered by chair on Koinon,-,"The thesis supervisor states that the informal discussion is 'not mandatory by the university, but it's necessary and what the supervisors usually do.' This indicates that the informal meeting is a best practice adopted by supervisors to ensure students understand and are convinced about the topic before proceeding with registration.",-,-
Conduct informal meeting to explain topic,Student accept thesis on Koinon,-,"The supervisor states that the informal discussion is 'not mandatory by the university, but it's necessary and what the supervisors usually do.' This indicates that the informal meeting is a best practice adopted by supervisors to ensure students understand and are convinced about the topic before proceeding with the formal registration process.",-,-
Conduct informal meeting to explain topic,Start writing thesis,-,"The supervisor states that the informal discussion is 'not mandatory by the university, but it's necessary and what the supervisors usually do.' This indicates that it is a best practice adopted by supervisors to ensure students understand and are invested in their thesis topics before beginning the writing process.",-,-
Conduct informal meeting to explain topic,Conduct regular catch-up meetings,-,"The supervisor indicates that the informal meeting to explain the topic is not mandatory by the university but is considered necessary and is what supervisors usually do. Similarly, regular catch-up meetings are not strictly mandated but are common practice among supervisors. This suggests that both activities are considered best practices in the thesis supervision process.",-,-
Conduct informal meeting to explain topic,Submit thesis on Koinon,-,"The informal meeting to explain the topic is described by the supervisor as 'not mandatory by the university, but it's necessary and what the supervisors usually do.' This indicates that while not required by regulations, it is considered a superior procedure by the supervisors, making it a best practice in the thesis process.",-,-
Conduct informal meeting to explain topic,Present thesis in Colloquium,-,"The informal meeting to explain the topic is described by the supervisor as 'not mandatory by the university, but it's necessary and what the supervisors usually do.' This indicates that it's a best practice adopted by supervisors to ensure students understand and are interested in their thesis topics. The colloquium, on the other hand, is a formal requirement that happens at the end of the thesis process.",-,-
Write and submit proposal,Get registered by chair on Koinon,-,-,"Both the interviewed student and supervisor clearly say that the proposal is not required by the University but that it is a rule set by each chair, since some chairs do not require it before registering the student. This indicates that the relationship between the two activities is a business rule since it is a rule that is under the full jurisdiction of the chair, a stakeholder of the process.",-
Write and submit proposal,Student accept thesis on Koinon,-,-,"The proposal is not a universally required step in the thesis process, as indicated by the student's statement that some chairs do not require it. The supervisor also mentions that 'it is up to each chair to decide if they require a proposal or not.' This suggests that the proposal is a rule set by individual chairs or departments, not a university-wide regulation. Therefore, the relationship between writing a proposal and the student accepting the thesis on Koinon is a business rule, as it's under the jurisdiction of the specific chair or department.",-
Write and submit proposal,Start writing thesis,-,-,"Both the interviewed student and supervisor clearly state that the proposal (or exposé) is not required by the University but that it is a rule set by each chair, since some chairs do not require it before starting the thesis. This indicates that the relationship between the two activities is a business rule since it is a rule that is under the full jurisdiction of the chair, a stakeholder of the process.",-
Write and submit proposal,Conduct regular catch-up meetings,-,"The supervisor mentions that weekly meetings are common practice during the thesis writing phase, but not strictly mandated by the university. The student also confirms that regular meetings (weekly or bi-weekly) are common but not a university rule. This indicates that conducting regular catch-up meetings after the proposal submission is a best practice followed by supervisors to ensure students stay on track with their thesis work.",-,-
