First Activity,Second Activity,Governmental Law,Best Practice,Business Rule,Law of Nature
Search for a topic,Conduct informal meeting to explain topic,-,"The informal meeting to explain the topic to the student is not a mandatory requirement by the university's regulations, but rather a common practice adopted by the supervisors to ensure the student understands the topic and its expected outcomes.",-,-
Search for a topic,Write and submit proposal,-,-,"The order of these activities is determined by the internal procedures and requirements set by the university and the specific chair or department, not by any governmental laws or industry-wide best practices.",-
Search for a topic,Get registered by chair on Koinon,-,-,"The ordering of these activities is not mandated by the university regulations, but appears to be a common practice and procedure followed by the departments and supervisors. The stakeholders have the discretion to change or discard this ordering if they wish.",-
Search for a topic,Student accept thesis on Koinon,-,-,"The ordering of these activities is a rule that is under the full jurisdiction and discretion of the stakeholders involved, namely the university, the department, and the thesis supervisors. They have the authority to change or discard this rule as per their own requirements and preferences.",-
Search for a topic,Start writing thesis,-,"The ordering is not mandated by any laws or regulations, but rather is an accepted superior procedure within the university's thesis supervision process. The topic selection and approval helps ensure the feasibility of the thesis before the student invests significant time in the writing.",-,-
Search for a topic,Conduct regular catch-up meetings,-,-,"The ordering of these activities is a business rule established by the university stakeholders, as the university has the autonomy to set the procedures for the thesis process, and the specific order is not mandated by any governmental laws or industry-wide best practices.",-
Search for a topic,Submit thesis on Koinon,-,-,"The university has established this as a standard process that students must follow, even though it is not mandated by any governmental law or regulation. The examination regulations state that the 'topic must be such that it can be completed within the specified timeframe', implying that the student must first have a defined topic before they can begin work on the thesis and ultimately submit it.",-
Search for a topic,Present thesis in Colloquium,-,-,"The examination regulations set by the Technical University of Munich and the Bavarian State Ministry clearly state that the completion of the thesis is a prerequisite for the colloquium. This requirement is a deliberate decision made by the university's stakeholders, who have the authority to establish such rules for their academic programs.",-
Conduct informal meeting to explain topic,Write and submit proposal,-,"The informal discussion between the student and supervisor to explain the thesis topic in detail is not mandated by any governmental laws or regulations, nor is it a business rule set by the university or department. However, it is considered a best practice that the supervisors usually follow to ensure the student fully understands the topic and its potential outcomes before proceeding with the proposal.",-,-
Conduct informal meeting to explain topic,Get registered by chair on Koinon,-,"The informal meeting between the student and supervisor to discuss and explain the thesis topic is not mandated by any law or regulation, but is a widely accepted practice in academia to ensure the student understands the topic before formal registration.",-,-
Conduct informal meeting to explain topic,Student accept thesis on Koinon,-,"The informal meeting between the supervisor and the student to discuss the thesis topic is a widely accepted practice among the university's supervisors and students, as it helps ensure that the student fully understands the topic and its expected outcomes before committing to it.",-,-
Conduct informal meeting to explain topic,Start writing thesis,-,"The informal meeting between the student and the supervisor to explain the thesis topic is not mandated by any governmental law or university regulation, but rather a common practice that the supervisors usually follow to ensure the student fully understands the topic and its expected outcomes.",-,-
Conduct informal meeting to explain topic,Conduct regular catch-up meetings,-,"The informal discussion between the student and the supervisor to explain the thesis topic in detail is not mandatory by the university, but it is a necessary and common practice that supervisors usually do to ensure the student understands the topic and is interested in it. This aligns with the definition of a Best Practice.",-,-
Conduct informal meeting to explain topic,Submit thesis on Koinon,-,"The informal meeting to explain the thesis topic is not mandated by any governmental law or regulation, nor is it a business rule under the full jurisdiction of the stakeholders. However, the interview with the supervisor indicates that this informal discussion is a common and recommended practice, even though it is not strictly required by the university.",-,-
Conduct informal meeting to explain topic,Present thesis in Colloquium,-,"The informal meeting between the student and supervisor to explain the thesis topic is not mandated by any law or regulation, nor is it a business rule under the full control of the stakeholders. However, it is a well-established best practice that facilitates the alignment between the student's interests and the thesis work, even though it is not a formal requirement.",-,-
Write and submit proposal,Get registered by chair on Koinon,-,"The requirement to write and submit a proposal before getting registered on Koinon is not mandated by any governmental law or regulation, nor is it a business rule that can be arbitrarily changed by the university. Rather, it is a common procedure or protocol that has been adopted by the university and its departments as a superior practice to ensure the quality and alignment of the thesis topic with the supervisor's expertise and the university's standards.",-,-
Write and submit proposal,Student accept thesis on Koinon,-,-,"The requirement to write and submit a proposal before the student can accept the thesis on Koinon is a rule that is under the full jurisdiction and discretion of the department or university, rather than being mandated by governmental law or representing a widely accepted best practice across the industry.",-
Write and submit proposal,Start writing thesis,-,"The requirement to write and submit a proposal before starting the thesis writing is not mandated by any governmental law or university regulation. The proposal is a common practice across different chairs, but the specific requirements vary between them, suggesting it is a recommended best practice rather than a strict university-wide requirement.",-,-
Write and submit proposal,Conduct regular catch-up meetings,-,"The proposal writing and submission is a common practice in academic settings, where the student needs to outline the plan, objectives, and methodology of their thesis work before actively engaging in the research and writing phases. This proposal review and approval process serves as a checkpoint to ensure that the thesis topic and plan are well-defined and feasible before the student invests significant time and effort into the actual thesis work.",-,-
Write and submit proposal,Submit thesis on Koinon,-,-,"The requirement to write and submit a proposal before submitting the thesis on Koinon is not mandated by governmental law or industry-wide best practice, but rather a rule established by the individual chair or department supervising the thesis.",-
Write and submit proposal,Present thesis in Colloquium,-,-,"The ordering of these activities is not mandated by any external governmental regulations, nor is it a commonly accepted industry-wide best practice. Instead, it is a rule that is set by the university and the specific department or program, which have the authority to change or discard this rule at their own discretion.",-
Get registered by chair on Koinon,Student accept thesis on Koinon,-,-,"The order of these activities is not mandated by any Governmental Law or established as a Best Practice, but rather a rule set by the stakeholders (the university and chairs/supervisors) to manage the thesis registration process.",-
Get registered by chair on Koinon,Start writing thesis,"Based on the examination regulations provided, the requirement for the student to be registered on the Koinon platform before starting the thesis writing is mandated by the university's regulations.",-,-,-
Get registered by chair on Koinon,Conduct regular catch-up meetings,-,-,"The requirement for the student to be registered on the Koinon platform before conducting regular catch-up meetings with the supervisor is an internal rule set by the university or the specific department, rather than being mandated by a governmental law or considered an industry-wide best practice.",-
Get registered by chair on Koinon,Submit thesis on Koinon,-,-,"The requirement for the student to be registered on the Koinon platform before they can submit their thesis is a rule established by the university and the department, not a governmental law or an industry best practice.",-
