First Activity,Second Activity,Governmental Law,Best Practice,Business Rule,Law of Nature
Scan ticket,Change number of bags,-,-,"The ticket must be scanned to retrieve passenger information, which includes the number of bags booked. This information is necessary to handle any change requests, such as increasing the number of bags. This rule is under the jurisdiction of the airline and can be modified by the organization if they choose to change their process.","The process of changing the number of bags is dependent on having the passenger's information, which is obtained by scanning the ticket. Without scanning the ticket, the system would not have the necessary data to associate the changes with the correct passenger. Logically, you cannot change the number of bags for a passenger without first identifying which passenger's booking you are modifying."
Scan ticket,Change seat,-,-,The organization has established a procedure where the ticket must be scanned first to retrieve the passenger's information before any changes can be made to the seat. This is a rule set by the organization to ensure that the correct passenger data is accessed and modified.,"You cannot change the seat without first knowing which passenger's seat you are changing. Scanning the ticket retrieves the necessary passenger information, which is a prerequisite for making any changes to the seat. This is a logical dependency where the second activity (Change seat) cannot proceed without the data obtained from the first activity (Scan ticket)."
Scan ticket,Check validity of documents,-,-,"The organization has established a procedure where the ticket must be scanned first to retrieve the passenger's information before any further steps, including checking the validity of documents, can be performed.","The scanning of the ticket is necessary to retrieve the passenger's information, which is required to check the validity of the documents. Without scanning the ticket, the system would not have the necessary data to validate the documents."
Scan ticket,Weigh baggage,-,-,"The process of scanning the ticket before weighing the baggage is under the full jurisdiction of the airline or the airport authority. The scanning of the ticket is necessary to retrieve the passenger's information, which includes the number of bags booked and other relevant details. This information is crucial for associating the baggage with the correct passenger and ensuring that any changes or additional fees are correctly processed.",
Scan ticket,Cancel check-in,-,"The process of scanning the ticket before canceling the check-in ensures efficiency and accuracy by retrieving all relevant passenger information, which is necessary to make an informed decision about whether to proceed with or cancel the check-in.",-,"You cannot cancel a check-in without first identifying which check-in instance to cancel. Scanning the ticket provides the necessary data (passenger information) to identify and cancel the correct check-in instance, ensuring the process functions correctly."
Scan ticket,Process payment,-,-,"The scanning of the ticket is necessary to retrieve the passenger's information, which is essential for processing any changes or additional payments accurately. This is a procedural requirement set by the organization.","The payment process requires specific information about the passenger and their booking, which can only be obtained by scanning the ticket. Without this data, the payment cannot be processed correctly, leading to a data dependency."
Scan ticket,Check-in luggage,-,-,The organization has established this rule to ensure that all necessary information is available before proceeding with the check-in process. This is a procedural requirement set by the airline to streamline the check-in process and ensure accuracy.,"Scanning the ticket is necessary to retrieve the passenger's information, which is required to check in the luggage. Without scanning the ticket, the system would not have the necessary data to associate the luggage with the passenger."
Scan ticket,Load luggage,-,-,The organization has established the rule to scan the ticket to retrieve passenger information before loading the luggage to ensure correct association.,
Change number of bags,Change seat,-,-,-,-
Change number of bags,Check validity of documents,-,The staff usually handle change requests before checking the validity of documents to ensure all necessary information is associated with the ticket and to avoid wasting time on invalid tickets or passports. This practice is not enforced by any external authority but is followed to streamline the process.,-,-
Change number of bags,Weigh baggage,-,-,The airline has established a procedure where any changes to the number of bags must be recorded in the system before weighing the baggage to ensure accurate processing and billing.,"The system requires the updated number of bags to correctly process the weight and any associated fees, making it a data dependency."
Change number of bags,Cancel check-in,-,"Handling change requests, such as changing the number of bags, is a common practice among the staff to ensure smooth operations and customer satisfaction. This practice is not enforced by any external authority but is followed to maintain efficiency.",-,-
Change number of bags,Process payment,-,-,The organization has decided that any changes to the number of bags must be recorded in the system before the payment is processed. This rule is under the full jurisdiction of the airline and can be changed or discarded at their discretion.,
Change number of bags,Check-in luggage,-,-,The airline has established a procedure where any changes to the number of bags must be made before the luggage is checked in. This rule is under the full jurisdiction of the airline and can be changed or discarded at their discretion.,"The system needs to have the correct number of bags associated with the ticket before the luggage can be checked in. This involves a data dependency, as the check-in process relies on having accurate and up-to-date information about the number of bags."
