First Activity,Second Activity,Governmental Law,Best Practice,Business Rule,Law of Nature
Search for a topic,Conduct informal meeting to explain topic,-,The supervisor indicated that the informal discussion is not mandatory by the university but is necessary and what supervisors usually do to ensure the student understands the topic and its outcomes. This indicates that it is a best practice rather than a requirement.,-,-
Search for a topic,Write and submit proposal,-,-,-,"There is a logical dependency between the two activities. You cannot write and submit a proposal without first searching for a topic, as the proposal is based on the topic that has been identified."
Search for a topic,Get registered by chair on Koinon,-,-,"The process of searching for a topic is a preliminary step that is determined by the individual chairs and is not mandated by the university. Each chair has its own procedures regarding how topics are selected and registered, indicating that this relationship is governed by business rules set by the chairs.",-
Search for a topic,Student accept thesis on Koinon,-,-,"The process of accepting the thesis on Koinon is determined by the chair and is not mandated by the university. Each chair has the discretion to set their own rules regarding the acceptance of thesis topics, indicating that this is a business rule.",-
Search for a topic,Start writing thesis,-,"The interviews indicate that while students can technically start writing their thesis before being officially registered, it is generally accepted as a best practice to first search for a topic and finalize it before beginning the writing process. This approach ensures that the student is well-prepared and has a clear direction for their thesis.",-,-
Search for a topic,Conduct regular catch-up meetings,-,"The interviews indicate that while regular catch-up meetings are common and beneficial for keeping the student on track, they are not mandated by the university. Instead, they are a practice that supervisors usually adopt to support students during their thesis work.",-,-
Search for a topic,Submit thesis on Koinon,-,"The process of searching for a topic is a common initial step that students undertake before they can submit their thesis. While it is not mandated by the university, it is a widely accepted practice among students and supervisors to ensure that the thesis topic is well-defined before proceeding to submission.",-,-
Search for a topic,Present thesis in Colloquium,The examination regulations set by the university mandate that the presentation of the thesis in the colloquium must occur after the thesis has been submitted. This indicates that the relationship between searching for a topic and presenting the thesis is governed by rules created and enforced by the university to regulate the examination process.,-,-,-
Conduct informal meeting to explain topic,Write and submit proposal,-,"The informal meeting is not mandated by the university but is considered necessary by supervisors to ensure that the student understands the topic and is convinced about it. This indicates that it is a commonly accepted procedure among supervisors, thus categorizing it as a best practice.",-,-
Conduct informal meeting to explain topic,Get registered by chair on Koinon,-,The informal meeting is not mandated by the university but is a common practice among supervisors to ensure that the student understands the topic and is convinced about it before proceeding with the registration. This indicates that it is a procedure usually accepted by the organization's staff to be superior to alternatives.,-,-
Conduct informal meeting to explain topic,Student accept thesis on Koinon,-,The informal meeting is not mandated by the university but is a common practice among supervisors to ensure that the student understands the topic and is convinced about it before proceeding with the acceptance of the thesis. This indicates that it is a best practice rather than a strict requirement.,-,-
Conduct informal meeting to explain topic,Start writing thesis,-,"The informal meeting is not mandated by the university but is considered necessary by supervisors to ensure that the student understands the topic and is convinced about it. This indicates that while it is not a formal requirement, it is a commonly accepted practice among supervisors to facilitate the writing process.",-,-
Conduct informal meeting to explain topic,Conduct regular catch-up meetings,-,"The informal meeting is not mandated by the university but is considered necessary by supervisors to ensure that students understand the topic and are convinced about it. Regular catch-up meetings are a common practice among supervisors to keep track of the student's progress, but they are not enforced by any formal regulation.",-,-
Conduct informal meeting to explain topic,Submit thesis on Koinon,-,The informal meeting is not mandated by the university but is a common practice among supervisors to ensure that the student understands the topic and is convinced about it before proceeding to the thesis submission. This indicates that it is a best practice rather than a strict requirement.,-,-
Conduct informal meeting to explain topic,Present thesis in Colloquium,The examination regulations set by the university mandate that the presentation of the thesis in the colloquium must occur after the thesis has been submitted. This indicates that the relationship between the two activities is a governmental law since it is a rule created and enforced by the university to regulate the examination process.,-,-,-
Write and submit proposal,Get registered by chair on Koinon,-,-,"The requirement to write and submit a proposal before getting registered by the chair is determined by each chair's specific rules and practices. The supervisor indicated that it is up to each chair to decide if a proposal is required, which indicates that this is a business rule under the jurisdiction of the chairs.",-
Write and submit proposal,Student accept thesis on Koinon,-,-,"The requirement for the student to accept the thesis on Koinon after the proposal is written and submitted is determined by the specific rules of each chair, as indicated by the supervisor. This indicates that the relationship between the two activities is a business rule since it is under the jurisdiction of the chair and can vary between different chairs.",-
Write and submit proposal,Start writing thesis,-,The proposal writing is not mandated by the university but is a common practice among chairs to ensure that students have a clear plan before starting their thesis. It is considered a best practice to write a proposal to outline the research direction and methodology.,-,-
Write and submit proposal,Conduct regular catch-up meetings,-,"The interviews indicate that while regular meetings are not mandated by the university, they are commonly practiced by supervisors to ensure students stay on track with their thesis work. This suggests that conducting regular catch-up meetings is considered a best practice among supervisors.",-,-
Write and submit proposal,Submit thesis on Koinon,-,-,"The requirement to write and submit a proposal before submitting the thesis is determined by each chair's specific rules and practices. The interviews indicate that not all chairs require a proposal, making it a business rule that can vary based on the chair's discretion.",-
Write and submit proposal,Present thesis in Colloquium,The examination regulations set by the university mandate that the thesis must be submitted before the student can present it in the colloquium. This indicates that the relationship between the two activities is a governmental law since it is a rule created and enforced by the university to regulate the behaviour of the students in the examination process.,-,-,-
Get registered by chair on Koinon,Student accept thesis on Koinon,-,-,"The registration of the thesis by the chair is a prerequisite for the student to accept the thesis on Koinon. This process is determined by the internal rules of the university and the specific procedures established by each chair, indicating that it is a business rule.",-
Get registered by chair on Koinon,Start writing thesis,-,-,"The decision to start writing the thesis is at the discretion of the student and the chair. While it is common practice to wait for registration, the interviews indicate that students can start writing before being officially registered, making this a business rule rather than a strict requirement.",-
Get registered by chair on Koinon,Conduct regular catch-up meetings,-,"The interviews indicate that while regular catch-up meetings are common and beneficial for the thesis process, they are not mandated by the university or any specific regulation. They are considered a best practice to ensure the student stays on track with their thesis work.",-,-
Get registered by chair on Koinon,Submit thesis on Koinon,The examination regulations set by the university clearly state that a student must be registered in the system before they can submit their thesis. This indicates that the relationship between the two activities is a governmental law since it is a rule created and enforced by the university to regulate the behavior of students in the thesis submission process.,-,-,-
