First Activity,Second Activity,Governmental Law,Best Practice,Business Rule,Law of Nature
Search for a topic,Conduct informal meeting to explain topic,-,"The supervisor stated that an informal meeting is not mandatory by the university, but it's necessary and what the supervisors usually do.",-,-
Search for a topic,Write and submit proposal,-,"The student can submit a proposal without searching for a topic, and it is not mandated by the university. However, it is a common practice for students to search for a topic before writing a proposal.",-,-
Search for a topic,Get registered by chair on Koinon,-,-,"The chair needs to agree on the topic before registering the student on Koinon, as explained by the supervisor and the student service center. This rule is internal to the university and can be changed at their discretion.",-
Search for a topic,Student accept thesis on Koinon,-,-,-,The student cannot accept a thesis on Koinon before a topic has been chosen and the thesis has been registered on Koinon.
Search for a topic,Start writing thesis,-,-,-,"You cannot start writing a thesis without having a topic to write about, representing a logical dependency from the first activity."
Search for a topic,Conduct regular catch-up meetings,-,-,The student can decide to have regular meetings with their supervisor to discuss the thesis progress. This is a common practice but not mandated by the university.,-
Search for a topic,Submit thesis on Koinon,-,-,-,Logical Dependency
Search for a topic,Present thesis in Colloquium,-,-,-,You cannot present a thesis that has no topic.
Conduct informal meeting to explain topic,Write and submit proposal,-,The supervisor stated that an informal meeting is not mandatory by the university but is necessary and what supervisors usually do to ensure the student understands the topic.,-,-
Conduct informal meeting to explain topic,Get registered by chair on Koinon,-,-,-,-
Conduct informal meeting to explain topic,Student accept thesis on Koinon,-,-,-,-
Conduct informal meeting to explain topic,Start writing thesis,-,"The supervisor stated that the informal meeting, while not mandatory, is necessary and a common practice to ensure the student understands and is enthusiastic about the chosen topic.",-,-
Conduct informal meeting to explain topic,Conduct regular catch-up meetings,-,-,"The informal meeting for explaining the topic is usually conducted before the regular weekly meetings with the thesis advisor, as it is necessary to align on the topic and ensure the student's understanding before commencing the thesis work. However, this order is not mandated by the university or any external entity.",-
Conduct informal meeting to explain topic,Submit thesis on Koinon,-,-,-,-
Conduct informal meeting to explain topic,Present thesis in Colloquium,-,-,-,-
Write and submit proposal,Get registered by chair on Koinon,-,-,-,-
Write and submit proposal,Student accept thesis on Koinon,-,-,-,-
Write and submit proposal,Start writing thesis,-,"The student can start working on their thesis before writing the proposal, however, it is common practice in the industry to finish the proposal before starting to write the thesis.",-,-
Write and submit proposal,Conduct regular catch-up meetings,-,-,-,-
Write and submit proposal,Submit thesis on Koinon,-,-,-,You cannot submit a thesis without writing it first
Write and submit proposal,Present thesis in Colloquium,-,-,-,-
Get registered by chair on Koinon,Student accept thesis on Koinon,-,-,-,Data dependency: The student cannot accept the thesis on Koinon before the chair registers the student and the thesis on the platform.
Get registered by chair on Koinon,Start writing thesis,-,-,-,-
Get registered by chair on Koinon,Conduct regular catch-up meetings,-,-,"The student cannot conduct regular meetings before being registered as they are not officially working on the thesis yet, however, the chair can decide to not conduct regular meetings after the student is registered.",-
Get registered by chair on Koinon,Submit thesis on Koinon,-,-,-,You must be registered on a system before being able to submit a document to it.
Get registered by chair on Koinon,Present thesis in Colloquium,"The examination regulations by the university and the Bavarian State Ministry mandate that the colloquium must happen after the thesis is submitted, and the student cannot submit the thesis without being registered on Koinon.",-,-,-
Student accept thesis on Koinon,Start writing thesis,-,-,-,-
Student accept thesis on Koinon,Conduct regular catch-up meetings,-,-,"The student and supervisor can decide to forgo regular meetings at their own discretion, it is not mandated by the university nor is it a superior alternative to other forms of communication.",-
Student accept thesis on Koinon,Submit thesis on Koinon,-,-,-,"The student cannot submit the thesis on Koinon before accepting to start the thesis, as they would not have access to the thesis on the system to be able to submit it."
Student accept thesis on Koinon,Present thesis in Colloquium,"According to the Academic and Examination Regulations (FPSO) for the Bachelor’s Program in Information Engineering at the Technical University of Munich, 'The examination should take place no later than two months after the registration date mentioned in sentence 1... Upon request, students may conduct the Bachelor Colloquium before submitting their Bachelor's Thesis.' The student accepts the thesis on Koinon when they register, and the colloquium is the examination.",-,-,-
Start writing thesis,Conduct regular catch-up meetings,-,-,"The supervisor or chair decides if regular meetings are required, and their frequency. It is stated that the university only mandates 0.2 semester weekly hours, which is not usually enough for a thesis.",-
Start writing thesis,Submit thesis on Koinon,-,-,-,"You cannot submit a thesis you haven't written yet, this is a logical dependency."
Start writing thesis,Present thesis in Colloquium,"According to the Academic and Examination Regulations (FPSO) for the Bachelor’s Program in Information Engineering at the Technical University of Munich, 'The examination should take place no later than two months after the registration date mentioned in sentence 1. Upon request, students may conduct the Bachelor Colloquium before submitting their Bachelor's Thesis.' Therefore, students are allowed to present their thesis before submitting it, but the colloquium is mandated to happen before the grade is issued.",-,-,-
Conduct regular catch-up meetings,Submit thesis on Koinon,-,"The university mandates regular supervisor meetings, but their frequency and format are up to the supervisor, making it a best practice for thesis progress.",-,-
Conduct regular catch-up meetings,Present thesis in Colloquium,-,-,-,-
Submit thesis on Koinon,Present thesis in Colloquium,The examination regulations by the university mandate that the colloquium must happen after the submission of the thesis.,-,-,-
