First Activity,Second Activity,Governmental Law,Best Practice,Business Rule,Law of Nature
Search for a topic,Conduct informal meeting to explain topic,-,The informal meeting is not mandated by the university but is usually conducted by supervisors to ensure the student understands and is interested in the topic.,-,-
Search for a topic,Write and submit proposal,-,It is common practice for students to search for a topic before writing and submitting a proposal to ensure they have a clear and relevant subject to work on.,-,-
Search for a topic,Get registered by chair on Koinon,-,-,The process of searching for a topic and getting registered by the chair on Koinon is determined by the university's internal procedures and can be modified by the university or the chair.,-
Search for a topic,Student accept thesis on Koinon,-,-,-,The student must first find and agree on a topic before they can accept the thesis registration on Koinon.
Search for a topic,Start writing thesis,-,It is generally accepted that students should search for a topic before starting to write their thesis to ensure they have a clear direction and understanding of what they will be working on.,-,-
Search for a topic,Conduct regular catch-up meetings,-,-,-,The student needs to have a topic to discuss progress and receive feedback during regular catch-up meetings.
Search for a topic,Submit thesis on Koinon,-,-,-,You cannot submit a thesis without first having a topic to write about.
Search for a topic,Present thesis in Colloquium,-,-,-,The presentation of the thesis in the colloquium logically depends on having a topic to work on and complete the thesis.
Conduct informal meeting to explain topic,Write and submit proposal,-,The informal meeting is not mandatory by the university but is usually conducted by supervisors to ensure the student understands and is convinced about the topic.,-,-
Conduct informal meeting to explain topic,Get registered by chair on Koinon,-,The informal meeting is not mandatory by the university but is usually conducted by supervisors to ensure the student understands and is interested in the topic before proceeding with registration.,-,-
Conduct informal meeting to explain topic,Student accept thesis on Koinon,-,The informal meeting is not mandatory by the university but is necessary and what the supervisors usually do to ensure the student understands and likes the topic.,-,-
Conduct informal meeting to explain topic,Start writing thesis,-,The informal meeting is not mandatory by the university but is necessary to ensure the student understands and is convinced about the topic.,-,-
Conduct informal meeting to explain topic,Conduct regular catch-up meetings,-,The informal meeting is necessary to ensure the student understands and is interested in the topic before proceeding with regular catch-up meetings.,-,-
Conduct informal meeting to explain topic,Submit thesis on Koinon,-,The informal meeting is not mandatory by the university but is necessary and what the supervisors usually do to ensure the student understands and is convinced about the topic.,-,-
Conduct informal meeting to explain topic,Present thesis in Colloquium,-,-,-,-
Write and submit proposal,Get registered by chair on Koinon,-,"The proposal is reviewed and approved by the advisor and examiner before the thesis is registered on Koinon, which is a common practice among chairs but not mandated by the university.",-,-
Write and submit proposal,Student accept thesis on Koinon,-,-,The requirement to write and submit a proposal is determined by the chair and is not mandated by the university.,-
Write and submit proposal,Start writing thesis,-,"The proposal helps in defining the scope and methodology of the thesis, ensuring that the student and supervisor are aligned on the topic and approach before the actual writing begins.",-,-
Write and submit proposal,Conduct regular catch-up meetings,-,"Conducting regular catch-up meetings is a common practice among supervisors to ensure the student is on track with their thesis work, but it is not mandated by the university.",-,-
Write and submit proposal,Submit thesis on Koinon,-,-,-,"You cannot submit the thesis on Koinon without first writing and submitting the proposal, as the proposal is a prerequisite for the thesis registration process."
Write and submit proposal,Present thesis in Colloquium,-,-,-,"The proposal is an initial step in the thesis process, while the colloquium is a final step. The thesis must be developed and completed before it can be presented in the colloquium."
Get registered by chair on Koinon,Student accept thesis on Koinon,-,-,"The process of thesis registration on Koinon requires the chair to first register the student, after which the student must accept the thesis on the platform.",-
Get registered by chair on Koinon,Start writing thesis,-,"It is not strictly forbidden to start writing the thesis before being registered, but it is generally expected that the student starts writing after registration to ensure the thesis can be realistically completed within the four-month timeframe.",-,-
Get registered by chair on Koinon,Conduct regular catch-up meetings,-,"Regular catch-up meetings are usually conducted by supervisors to ensure the student is on track, but they are not mandated by the university.",-,-
Get registered by chair on Koinon,Submit thesis on Koinon,"The student must be officially registered for the thesis in the university's system before they can submit it, as mandated by the university's examination regulations.",-,-,-
Get registered by chair on Koinon,Present thesis in Colloquium,"The university's examination regulations mandate that the colloquium must take place after the thesis is submitted, which requires prior registration on Koinon.",-,-,-
Student accept thesis on Koinon,Start writing thesis,-,-,-,-
Student accept thesis on Koinon,Conduct regular catch-up meetings,-,"Regular catch-up meetings are usually conducted by supervisors to ensure the student is on track with their thesis, but they are not mandated by the university.",-,-
Student accept thesis on Koinon,Submit thesis on Koinon,-,-,The process of accepting the thesis on Koinon is a prerequisite set by the university for the student to be able to submit the thesis on the same platform.,-
Student accept thesis on Koinon,Present thesis in Colloquium,The university's examination regulations mandate that the colloquium must happen after the thesis is submitted.,-,-,-
Start writing thesis,Conduct regular catch-up meetings,-,"Regular catch-up meetings are usually conducted by supervisors to ensure the student is on track, but they are not mandated by the university.",-,-
Start writing thesis,Submit thesis on Koinon,-,-,-,You cannot submit a thesis without having written it first.
Start writing thesis,Present thesis in Colloquium,The university's examination regulations mandate that the colloquium must happen after the thesis is submitted.,-,-,-
Conduct regular catch-up meetings,Submit thesis on Koinon,-,Regular catch-up meetings are not mandated by the university but are commonly practiced by supervisors to ensure the student is on track with their thesis.,-,-
Conduct regular catch-up meetings,Present thesis in Colloquium,-,"Regular catch-up meetings are conducted to ensure the student is on track with their thesis, which is a common practice but not mandated by the university.",-,-
Submit thesis on Koinon,Present thesis in Colloquium,It is mandated by the university's examination regulations that the colloquium must happen after the thesis is submitted.,-,-,-
