sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Scan ticket;Change number of bags;-;-;The airline has established a rule to scan the ticket first to retrieve passenger information before making any changes. This rule is under the jurisdiction of the airline and can be changed at their discretion.;Data dependency: The system needs the passenger's information to make changes to their booking. Without scanning the ticket first, there would be no way to associate the changes with the correct passenger or booking.
Scan ticket;Change seat;-;-;The airline's system requires scanning the ticket to access passenger information before making changes, as stated: 'Once we have the passenger information we can then handle change requests as we need some form of information to associate the changes.';-
Scan ticket;Check validity of documents;-;-;The process description indicates that scanning the ticket is required to access passenger information, which is necessary for subsequent steps including document checks. This order is set by the organization to manage their check-in process efficiently.;-
Scan ticket;Weigh baggage;-;-;The process description indicates scanning the ticket is done first to retrieve passenger information, necessary for subsequent steps. This order is established by the airline or airport to streamline their check-in process.;-
Scan ticket;Cancel check-in;-;-;-;Data dependency: Scanning the ticket is necessary to retrieve passenger information, which is required before any check-in process (including cancellation) can be initiated or processed in the system.
Scan ticket;Process payment;-;-;The process description states that the ticket must be scanned first to retrieve passenger information, which is necessary to determine if any changes or additional fees are required before processing a payment.;-
Scan ticket;Check-in luggage;-;-;The airline established this order to ensure they have necessary passenger information before luggage check-in;Data dependency: Scanning the ticket provides essential information needed for the check-in process
Scan ticket;Load luggage;-;-;-;The scanning of the ticket provides necessary passenger information (e.g., number of bags) required for luggage handling, creating a data dependency between the two activities.
Change number of bags;Change seat;-;-;-;-
Change number of bags;Check validity of documents;-;-;-;-
Change number of bags;Weigh baggage;-;-;The airline allows passengers to change the number of bags before weighing, which is a rule set by the airline that can be changed at their discretion. This ensures accurate record-keeping and efficient processing of potential overweight fees.;-
Change number of bags;Cancel check-in;-;-;The airline has designed the process to allow modifications to bookings, including bag numbers, before any potential cancellation. This order is a decision made by process designers to streamline operations and can be changed at their discretion.;-
Change number of bags;Process payment;-;-;The airline has established this order to ensure proper payment collection for any changes in the number of bags, which is a rule they can modify at their discretion.;-
Change number of bags;Check-in luggage;-;-;The airline requires changes to be processed before check-in to ensure payment is handled, as stated: 'The airline wants us to only do the check-in if the other things are done to make sure that the payment is processed.';-
Change number of bags;Load luggage;-;-;The airline allows changes to bag numbers during check-in before loading, which is under their operational control and can be changed at their discretion.;-
Change seat;Check validity of documents;-;-;-;-
Change seat;Weigh baggage;-;-;-;-
Change seat;Cancel check-in;-;-;The airline controls the order of these activities in their check-in process, allowing seat changes before potential cancellations for operational efficiency and customer service.;-
Change seat;Process payment;-;-;The airline has established a policy to ensure all changes and payments are processed before the final check-in, as indicated by 'The airline wants us to only do the check-in if the other things are done to make sure that the payment is processed.';-
Change seat;Check-in luggage;-;-;The airline requires seat changes and payments to be completed before luggage check-in to ensure proper processing, as stated: 'The airline wants us to only do the check-in if the other things are done to make sure that the payment is processed.';-
Change seat;Load luggage;-;-;The airline controls the process, allowing seat changes before luggage loading as part of their check-in procedure. This can be modified at the airline's discretion and isn't mandated by law or universal best practice.;-
Check validity of documents;Weigh baggage;-;-;-;-
Check validity of documents;Cancel check-in;-;-;The process description indicates that checking document validity before potentially canceling check-in is a procedure established by the airline or check-in staff to optimize their process, not mandated by law or universally accepted as an industry-wide best practice.;Logical dependency: The decision to cancel check-in is contingent on the outcome of the document check, creating a natural, logical sequence of events.
Check validity of documents;Process payment;-;The process description indicates that staff typically validate documents before processing payment to save time and avoid unnecessary work, but it's not explicitly stated as a mandatory rule.;-;-
Check validity of documents;Check-in luggage;-;The process description indicates that staff usually validate documents before check-in to save time and avoid wasting effort on invalid tickets or passports. This is described as a common practice rather than a strict rule or law.;-;-
Check validity of documents;Load luggage;-;-;The airline implements document validation to ensure efficiency and prevent unnecessary handling of luggage for ineligible passengers. This rule is under the airline's jurisdiction and can be changed at their discretion.;There's a logical dependency between verifying passenger eligibility and loading their luggage. It's necessary to confirm a passenger can travel before handling their luggage to avoid unnecessary loading and unloading.
Weigh baggage;Cancel check-in;-;-;-;-
Weigh baggage;Process payment;-;-;The airline has established a policy to weigh the baggage first and then charge accordingly, as stated: 'After having checked the weight, passengers have to pay a fee if it is overweight in terms of they exceed the weight they booked.';-
Weigh baggage;Check-in luggage;Legal regulations protect workers from handling excessively heavy luggage, necessitating weighing before check-in.;-;-;The weight of the luggage must be known for proper processing, aircraft weight calculations, and safe handling, creating a logical dependency.
Weigh baggage;Load luggage;The process mentions a law that protects workers loading luggage onto aircraft, requiring baggage to be weighed to ensure it doesn't exceed safe weight limits for manual handling.;-;-;Resource dependency: The weight of the luggage is necessary information for safe manual handling and aircraft weight calculations, which must be known before loading can occur.
Cancel check-in;Process payment;-;-;The process description states that after canceling a check-in instance, no other activities should be performed, indicating a rule set by the airline or process stakeholders.;It's logically impossible to process payment for a service that has been canceled, representing a logical dependency.
Cancel check-in;Check-in luggage;-;-;The process description states, 'Important is that after canceling a checkin instance, you should not perform any other activities.' This indicates a rule set by the organization to stop the check-in process once it has been canceled.;It's a logical dependency. Once a check-in is canceled, it doesn't make sense to proceed with checking in luggage for that canceled process, as it would create inconsistencies in the system.
Cancel check-in;Load luggage;-;-;The process description states: 'Important is that after canceling a checkin instance, you should not perform any other activities.' This indicates a rule set by the organization to stop all activities after cancellation.;Logical dependency: If a check-in is canceled, the passenger is not traveling, so their luggage cannot be loaded onto the aircraft.
Process payment;Check-in luggage;-;-;The airline requires payment processing before check-in to ensure payment is received, as stated: 'The airline wants us to only do the check-in if the other things are done to make sure that the payment is processed.' This is a rule under the airline's jurisdiction.;-
Process payment;Load luggage;-;-;The airline requires payment processing before check-in and luggage loading to ensure financial transactions are completed before providing the service.;-
Check-in luggage;Load luggage;-;-;The airline requires check-in to be completed before loading to ensure payment processing and proper tagging.;Logical dependency: luggage weight must be known for takeoff calculations, and it must be tagged for correct routing before loading.
