First Activity,Second Activity,Governmental Law,Best Practice,Business Rule,Law of Nature
Search for a topic,Conduct informal meeting to explain topic,-,"It is generally accepted and considered superior for students to have a preliminary idea or list of potential topics before meeting with a supervisor, facilitating a more productive and focused discussion.",-,"The student cannot conduct an informal meeting to explain a topic without first having a topic to discuss, which is a logical dependency."
Search for a topic,Write and submit proposal,-,-,"The requirement to write a proposal is determined by the chair or the specific department within the university, rather than being a university-wide mandate or a legal requirement.",You cannot write and submit a proposal for a thesis topic without first having a topic to propose. This is a logical dependency because the content of the proposal is inherently dependent on the topic that has been selected.
Search for a topic,Get registered by chair on Koinon,-,-,"The university and its departments have set this rule to ensure that students have a topic approved by the chair before registration, making it a business rule.",The student cannot be registered for a thesis topic on Koinon without first having a topic to register. This creates a logical dependency where the search for a topic must precede the registration.
Search for a topic,Student accept thesis on Koinon,-,-,The process of searching for a thesis topic and then accepting it on the Koinon portal is a procedural step defined by the university's internal policies and practices. This rule is under the jurisdiction of the university and can be changed or discarded at their discretion.,The student cannot accept a thesis on Koinon without first having a topic to accept. This is a logical dependency because the acceptance of the thesis is contingent upon the existence of a specific topic.
Search for a topic,Start writing thesis,-,It is generally accepted and considered superior to first identify and confirm a thesis topic before beginning the writing process to ensure clarity and direction.,-,"You cannot start writing a thesis without first having a topic to write about, as the content and structure of the thesis are inherently dependent on the chosen topic."
Search for a topic,Conduct regular catch-up meetings,-,"The process of searching for a topic and consulting with the chair or professor is a preliminary step that naturally precedes the regular catch-up meetings. The regular meetings are a common practice among supervisors to ensure that students are on track with their thesis work, but they are not mandated by any official rule or law.",-,"The activity 'Conduct regular catch-up meetings' logically depends on having a topic to discuss and work on. Without a topic, there would be no basis for the meetings, as the meetings are meant to track progress and provide guidance on the thesis work. Therefore, the student must first search for and finalize a topic before any meaningful regular catch-up meetings can occur."
Search for a topic,Submit thesis on Koinon,-,-,The process of searching for a topic and then submitting the thesis on Koinon is a procedural requirement set by the university and its departments. This rule is under the jurisdiction of the university and can be modified or discarded at their discretion.,"You cannot submit a thesis on Koinon without first having a topic to submit. This is a logical dependency because the submission process requires specific information about the thesis topic, which must be determined beforehand."
Search for a topic,Present thesis in Colloquium,-,-,The process of searching for a topic and getting it approved by the chair is a procedural step that is under the jurisdiction of the university and its departments.,"The student cannot present a thesis in the colloquium without first having a topic to work on and develop into a thesis. This is a logical dependency because the presentation in the colloquium is based on the content of the thesis, which in turn is based on the chosen and approved topic."
Conduct informal meeting to explain topic,Write and submit proposal,-,-,The requirement to have an informal meeting before writing and submitting a proposal is set by individual chairs or departments within the university and can be changed or discarded at their discretion.,-
Conduct informal meeting to explain topic,Get registered by chair on Koinon,-,The informal meeting serves as a preliminary step to ensure that both the student and the chair are on the same page regarding the thesis topic. This practice is generally accepted as a superior approach to ensure that the registration process goes smoothly and that there are no misunderstandings or misalignments regarding the thesis topic.,-,"The informal meeting to explain the topic must logically precede the registration on Koinon because the registration process requires a clear and agreed-upon thesis topic. Without this preliminary discussion and agreement, the registration cannot be accurately or effectively completed."
Conduct informal meeting to explain topic,Student accept thesis on Koinon,-,"The informal meeting serves as a consultation session where the thesis topic is explained in detail to the student, allowing them to understand the topic and decide if they are interested in it. This practice is not mandated by any governmental law or official business rule but is a commonly accepted procedure to ensure that students are well-informed and comfortable with their thesis topic before formally accepting it on the Koinon portal.",-,"The student cannot logically accept a thesis topic on Koinon without first understanding what the topic entails. The informal meeting provides the necessary information and context for the student to make an informed decision. Without this meeting, the student would be accepting a topic without adequate knowledge, which could lead to issues later in the thesis process. Therefore, the informal meeting is a prerequisite for the acceptance of the thesis topic, making it a logical dependency."
Conduct informal meeting to explain topic,Start writing thesis,-,"The informal meeting serves as a preparatory step to ensure that the student understands the thesis topic, its scope, and the expected outcomes. This practice is widely accepted in academic settings to align expectations and provide guidance before the student starts writing.",-,The informal meeting must logically precede the start of writing the thesis because the student needs to understand the topic and receive guidance before they can begin writing. This is a logical dependency.
Conduct informal meeting to explain topic,Conduct regular catch-up meetings,-,"The informal meeting to explain the topic is a common procedure that helps set the stage for the thesis work. Following this, regular catch-up meetings are conducted to monitor progress and provide ongoing support. These regular meetings are not mandated by any official rule but are commonly practiced by supervisors.",-,"The informal meeting to explain the topic must logically precede the regular catch-up meetings because the latter are meant to monitor the progress of the thesis work, which can only begin after the topic has been explained and agreed upon. This creates a logical dependency where the first activity must occur before the second."
Conduct informal meeting to explain topic,Submit thesis on Koinon,-,"The informal meeting allows the student to understand the thesis topic in detail, assess their interest, and clarify doubts before officially registering the thesis. This step is suggested by the Student Service Center and is not uniformly enforced across all departments.",-,-
Conduct informal meeting to explain topic,Present thesis in Colloquium,-,"Conducting an informal meeting to explain the topic helps ensure that the student and the supervisor are on the same page regarding the thesis topic, scope, and expectations. It is a common practice in academic settings to have preliminary discussions to clarify the research direction and methodology before the formal presentation of the thesis.",-,The informal meeting to explain the topic must logically precede the presentation of the thesis in the colloquium because the student needs to understand the topic and receive feedback before they can effectively write and present their thesis. The informal meeting serves as a foundation for the thesis work.
Write and submit proposal,Get registered by chair on Koinon,-,-,"The requirement for the student to write and submit a proposal before getting registered by the chair on Koinon is a rule that is under the jurisdiction of the stakeholders involved in the process, specifically the chair and the advisor. This indicates that the rule can be changed or discarded at the discretion of the chair or the department.",-
Write and submit proposal,Student accept thesis on Koinon,-,-,"The requirement for the student to write and submit a proposal before accepting the thesis on Koinon is determined by the internal policies and procedures of the Technical University of Munich and its departments. The decision to require a proposal can vary between departments, indicating that it is under the jurisdiction of the university and can be changed or discarded at their discretion.","The proposal contains essential information such as the title, student information, advisor information, and the start date of the thesis, which are necessary to register the thesis on Koinon. Without this information, the registration process on Koinon cannot be completed, making the proposal a logical prerequisite."
Write and submit proposal,Start writing thesis,-,-,"The requirement to write and submit a proposal before starting to write the thesis is set by the chair or specific departments within the university, and is not a university-wide mandate or legal requirement.",-
Write and submit proposal,Conduct regular catch-up meetings,-,-,"The requirement to write and submit a proposal is set by the chair, which is an internal decision within the organization and not mandated by the university or any governmental law.","The proposal needs to be written and submitted before regular catch-up meetings can be conducted because the meetings are meant to discuss the progress and issues related to the thesis work, which logically follows the approval of the proposal."
Write and submit proposal,Submit thesis on Koinon,-,-,The process of writing a proposal and then registering the thesis on Koinon is determined by the internal procedures and policies of the Technical University of Munich and its departments. The decision to require a proposal is at the discretion of the thesis supervisor and the department.,"The submission of the thesis on Koinon logically depends on having a proposal because the proposal contains essential information such as the title, student details, advisor details, and the start date of the thesis. Without this information, the thesis cannot be registered on the Koinon platform."
