First Activity,Second Activity,Governmental Law,Best Practice,Business Rule,Law of Nature
Search for a topic,Conduct informal meeting to explain topic,-,"The interviews indicate this is a common and preferred procedure, but not strictly required. The supervisor states it's 'not mandatory by the university, but it's necessary and what the supervisors usually do,' suggesting it's a best practice rather than a rule or law.",-,There's a logical dependency - it's impossible to explain a topic before it has been identified or searched for. The search must naturally precede any discussion about the topic.
Search for a topic,Write and submit proposal,-,"This order is commonly followed and recommended by supervisors and students, but not strictly enforced. It allows students to explore potential topics, have informal discussions with supervisors, and refine their choices before committing to a proposal. The flexibility in the process, as indicated by the ability to start work before official registration, supports this being a best practice rather than a strict rule or law.",-,"There is a logical dependency between the two activities. It's impossible to write a meaningful proposal without first having a topic to propose. The proposal is inherently about the chosen topic, so the topic must be selected (even if tentatively) before a proposal can be written."
Search for a topic,Get registered by chair on Koinon,-,"The interviews reveal that it's common for students to search for and discuss topics with potential supervisors before formal registration. This practice allows students to find suitable topics and ensures supervisor availability before committing to registration. It's not mandated by law or strict business rules, but has evolved as an efficient approach in academia.",-,-
Search for a topic,Student accept thesis on Koinon,-,"This ordering is not mandated by law or strict university rules, but is a logical approach adopted by the university to ensure students find suitable topics and align with supervisors before formal registration. It allows for better preparation and topic selection without being a rigid requirement.",-,"There is a logical necessity for having a topic before accepting a thesis, as it would be impractical and potentially impossible to accept a thesis without knowing what it's about. This creates a natural dependency where topic selection must precede formal acceptance."
Search for a topic,Start writing thesis,-,"Searching for a topic before writing is a widely accepted approach in academia, not mandated by law or explicit university rules. It's flexible and logical, as evidenced by student and supervisor interviews.",-,-
Search for a topic,Conduct regular catch-up meetings,-,"Interviews reveal that regular meetings are common but not mandated by university regulations. The supervisor and student both confirm this is a common practice among supervisors to keep students on track, but it's not a formal rule.",-,There's a logical dependency where regular catch-up meetings about a thesis topic can only occur after the topic has been selected. It's impossible to discuss progress on a thesis without first having a topic.
Search for a topic,Submit thesis on Koinon,-,-,"This ordering is established by the university's internal processes and can be changed at their discretion. It's not mandated by governmental law or widely recognized as an industry-wide best practice, but rather a logical sequence set up by the university to ensure students have a defined research direction before formally submitting their work.","There's a logical dependency between these activities. It's impossible to submit a completed thesis without first having a topic to research and write about. The topic is foundational to the thesis work, making it logically necessary to search for and select a topic before submitting the completed thesis."
Search for a topic,Present thesis in Colloquium,"The order is mandated by the university's examination regulations (APSO and FPSO), which are established in accordance with the Bavarian State Ministry's guidelines. §46a(1) of FPSO explicitly states that students are registered for the Bachelor Colloquium only after completing their Bachelor's Thesis, which begins with topic selection.",-,-,-
Conduct informal meeting to explain topic,Write and submit proposal,-,"The informal meeting is described as a common and beneficial practice, but not a strict requirement. The supervisor states, 'it's not mandatory, but it's necessary,' indicating that it's a widely accepted procedure considered superior to alternatives. It allows better understanding and gauging of interest before proposal writing.",-,-
Conduct informal meeting to explain topic,Get registered by chair on Koinon,-,"The supervisor states it's not mandatory but necessary and commonly done. It's a widely adopted practice to ensure mutual understanding before formal registration, but not enforced by regulations.",-,-
