First Activity,Second Activity,Governmental Law,Best Practice,Business Rule,Law of Nature
Scan ticket,Change number of bags,-,-,The order of 'Scan ticket' before 'Change number of bags' is likely due to a business rule set by the airline or the airport. This is a rule that the organization has chosen to implement based on their own internal processes and policies to ensure they have the necessary passenger information before processing any booking modifications.,-
Scan ticket,Change seat,-,-,"The order of 'Scan ticket' before 'Change seat' is a business rule set by the airline. This is not dictated by any governmental law, nor is it an industry-wide best practice. Rather, it is a rule that the airline has established to manage their internal processes and customer interactions.",-
Scan ticket,Check validity of documents,Checking the validity of the passenger's documents is a legal requirement that must be fulfilled before allowing the passenger to check in their luggage.,-,-,-
Scan ticket,Weigh baggage,"The process description indicates that scanning the ticket is required to retrieve passenger information, such as the number of bags booked and other details, which is necessary to properly handle any change requests and validate the passenger's documents. This is likely a governmental requirement to ensure proper identification and booking information.",-,-,-
Scan ticket,Cancel check-in,-,-,The process description indicates that the airline has a specific business rule in place that requires the ticket information to be scanned and retrieved before any change requests or cancellations can be processed. This is because the ticket information needs to be associated with the passenger in order to make any changes or cancel the check-in.,-
Scan ticket,Process payment,"The relationship between Scan ticket and Process payment is primarily driven by governmental laws and regulations. In the airline industry, there are strict rules and guidelines set by governmental authorities that require airlines to verify the passenger's ticket and identity before processing any payments or allowing them to check in their luggage.",-,-,-
Scan ticket,Check-in luggage,-,-,"The process description indicates that scanning the ticket is a necessary step before proceeding with the check-in of luggage, as the airline requires the passenger information retrieved from the ticket to handle any change requests or updates.",-
Scan ticket,Load luggage,-,-,"The scanning of the ticket is a necessary step to retrieve the passenger information, such as the number of bags booked, the seat assignment, etc. This information is required before the luggage can be loaded, as it allows the staff to handle any change requests from the passenger and ensure that the luggage is properly associated with the passenger's ticket. This ordering is a business rule set by the airline, as they have determined that retrieving the passenger information through the ticket scan is a necessary precursor to handling the luggage.",-
Change number of bags,Change seat,-,-,"The ability to change the number of bags is a flexibility that the airline offers to its customers, likely as a standard business practice. The ability to change the seat is treated as a separate step after handling the changes to the number of bags, which suggests a business decision by the airline rather than a governmental law or industry best practice.",-
Change number of bags,Check validity of documents,-,-,"The ordering of these activities is determined by the airline's internal policies and procedures, rather than being mandated by external laws or industry best practices. The airline has the discretion to change or modify this ordering as they see fit, based on their own business needs and priorities.",-
