sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Scan ticket;Change number of bags;-;-;The process description explicitly states that "we need some form of information to associate the changes" and that "we just have to note that down in the system once we have their information, so that the ticket is associated to all bags." This indicates a rule set by the airline to ensure proper record-keeping and association of changes with the passenger's information. This rule is under the airline's control and can be changed at their discretion.;-
Scan ticket;Change seat;-;-;The process description explicitly states that "we need some form of information to associate the changes" when referring to changing seats. This implies that the system requires the passenger's information obtained from scanning the ticket to process any changes. This rule is under the airline's control and could be changed if they decide to implement a different system.;-
Scan ticket;Check validity of documents;-;-;The process description explicitly states that "Important is that after canceling a checkin instance, you should not perform any other activities." This implies that the airline has established a rule that document validity should be checked only after the ticket is scanned and the passenger information is retrieved. This rule is under the airline's control and can be changed at their discretion.;-
Scan ticket;Weigh baggage;-;-;The process description states that the airline wants the check-in process to be done in a specific order to ensure payment is processed. This is a rule set by the airline, and they could change it if they wanted to.;-
Scan ticket;Cancel check-in;-;-;The process description explicitly states that "Important is that after canceling a check-in instance, you should not perform any other activities." This is a rule set by the airline to ensure efficient and organized check-in procedures. It's not a law, and the airline could potentially change this rule if they deemed it necessary.;-
Scan ticket;Process payment;-;-;The airline has decided that payment processing should only occur after the ticket has been scanned and validated. This is a rule they have established to ensure that passengers are paying for a valid service and to streamline the check-in process. They could change this rule if they wanted to, for example, by allowing passengers to pay upfront before scanning their ticket.;-
Scan ticket;Check-in luggage;-;-;The airline wants to ensure that all necessary information is gathered and potential changes are processed before the luggage is checked in. This is a rule set by the airline, and they could change it if they wanted to.;-
Scan ticket;Load luggage;-;-;The airline has established a rule that luggage should only be loaded after the ticket is scanned and other necessary information is gathered. This rule is in place to ensure proper passenger identification, baggage allowance verification, and potential changes to the ticket.;-
Change number of bags;Change seat;-;-;The process description explicitly states that "passengers are not happy with their booked seats" and "families with young kids often have more luggage than expected." This indicates that the airline has decided to prioritize handling baggage changes before seat changes based on their understanding of customer needs and common scenarios. This is a business decision that can be changed at their discretion.;-
Change number of bags;Check validity of documents;-;-;The airline has decided that changing the number of bags should occur before checking the validity of documents. This is a decision made by the airline to streamline their process and ensure that any changes are reflected in the passenger's information before validating their documents.;-
Change number of bags;Weigh baggage;-;-;The airline has decided that it's more efficient to handle baggage changes before weighing the luggage. This allows them to adjust the passenger's baggage allowance and potentially avoid unnecessary weight checks if the number of bags is reduced. This rule is under the airline's control and can be changed at their discretion.;-
Change number of bags;Cancel check-in;-;-;The airline has decided that changing the number of bags should be processed before canceling the check-in. This is a decision made by the airline to streamline their process and ensure that any changes are reflected before a cancellation occurs.;-
Change number of bags;Process payment;-;-;The airline has decided that passengers must pay a fee for changing the number of bags they've booked. This is a rule they've established to cover the additional costs associated with these changes. They could change this rule at any time, making it a business rule and not a law or best practice.;-
Change number of bags;Check-in luggage;-;-;The airline has decided that changing the number of bags must be done before checking in the luggage. This is a rule they have set for their own operational efficiency and to ensure accurate baggage handling. They could change this rule if they wanted to, for example, by allowing passengers to change the number of bags after check-in with a penalty fee.;-
Change number of bags;Load luggage;-;-;The airline has decided that baggage changes should be processed before loading to ensure accurate records and potentially avoid delays or complications with weight calculations. This is a rule they can change at their discretion.;-
