First Activity,Second Activity,Governmental Law,Best Practice,Business Rule,Law of Nature
Search for a topic,Conduct informal meeting to explain topic,-,-,"The decision to have an informal meeting to explain the topic is entirely under the control of the chair and the supervisor. They can choose to have this meeting or not, and they can change the format or requirements of the meeting as they see fit. This flexibility makes it a business rule, not a law or best practice.",-
Search for a topic,Write and submit proposal,-,-,"The university, through its departments and chairs, has the authority to set this order. They can choose to require a proposal only after a topic is selected, or they can allow for proposals to be developed before a topic is finalized. This is a rule that is under their control and can be changed at their discretion.",-
Search for a topic,Get registered by chair on Koinon,-,-,"The university, through its chairs, has the autonomy to decide how the thesis registration process is conducted. The chair's decision to require a topic before registration is a rule they set for their own department, which can be changed or discarded at their discretion.",-
Search for a topic,Student accept thesis on Koinon,-,-,"This ordering is directly controlled by the stakeholders of the process, namely the university and the chairs. They have established the process flow where a student must first find a suitable topic and have it approved by the chair before they can formally accept the thesis on Koinon. This rule is not mandated by any law or regulation, and the university could potentially change it if they desired.",-
Search for a topic,Start writing thesis,-,-,"The decision to search for a topic before writing is ultimately under the control of the stakeholders involved: the university, the chair, and the supervisor. They could change this rule if they wanted to, for example, by allowing students to start writing and then find a topic later.",-
Search for a topic,Conduct regular catch-up meetings,-,-,"The process of conducting regular catch-up meetings is directly dependent on the topic of the thesis. You cannot have meaningful discussions about progress and challenges without a defined topic to work on. This rule is under the control of the stakeholders involved in the process (supervisor, student, and potentially the chair). They could decide to change the frequency or even eliminate these meetings based on their needs and preferences.",-
Search for a topic,Submit thesis on Koinon,-,-,"The university, through its examination regulations and the student service center, has established a process where students are expected to find a topic before submitting their thesis. This is a rule that the university can change or modify at its discretion.",-
Search for a topic,Present thesis in Colloquium,-,-,"The process of searching for a topic and then presenting the resulting thesis in a colloquium is a fundamental structure of the thesis process. This structure is not mandated by any law or regulation, nor is it a universally accepted best practice. It is a rule established by the university to ensure a logical progression of the thesis process. The university could potentially change this rule, for example, by allowing students to present a thesis on a topic they haven't formally searched for.",-
Conduct informal meeting to explain topic,Write and submit proposal,-,"The supervisor explicitly states that while the informal meeting is not mandatory by the university, it is ""necessary"" and ""what the supervisors usually do."" This indicates a widely accepted practice within the department or field, considered superior to not having the meeting.",-,-
Conduct informal meeting to explain topic,Get registered by chair on Koinon,-,"The supervisor explicitly states that while the informal meeting is not mandatory by the university, it is ""necessary"" and ""what supervisors usually do."" This indicates a widely accepted practice within the department or field, considered superior to not having the meeting.",-,-
