First Activity,Second Activity,Governmental Law,Best Practice,Business Rule,Law of Nature
Search for a topic,Conduct informal meeting to explain topic,-,-,-,"It is illogical and practically impossible to discuss a thesis topic in a meeting with a supervisor without first having a topic in mind. The student must first search for and identify potential topics before a meaningful discussion can occur. The supervisor's role is to guide and refine the student's initial exploration, not to dictate a topic without any prior input. This ordering is due to a **logical dependency**. The informal meeting is inherently dependent on the existence of a topic to discuss. Without the student first searching for a topic, the informal meeting lacks a subject and purpose."
Search for a topic,Write and submit proposal,-,-,-,You cannot write a proposal about a topic before having a topic selected. The topic acts as an input to the 'Write and submit proposal' activity.
Search for a topic,Get registered by chair on Koinon,-,-,"The university mandates a minimum number of ECTS before thesis registration, but the process description suggests that searching for a topic and getting informally approved by the chair precedes the formal registration on Koinon. This order appears to be a business rule specific to the department or even individual chairs, as the Student Service Center mentions that students *can* start searching for topics and talking to chairs before ECTS confirmation. Additionally, the supervisor mentions that the proposal (when required) is reviewed and approved before registration on Koinon.",-
Search for a topic,Student accept thesis on Koinon,-,-,-,"The student cannot accept a thesis on Koinon without first having a thesis topic to accept. This constitutes a data dependency, as the 'accept thesis' activity requires the data generated from the 'search for a topic' activity. The student cannot agree to work on a thesis that hasn't been defined yet."
Search for a topic,Start writing thesis,-,-,-,You cannot start writing a thesis without first identifying a topic to write about. This is a logical dependency where the output of the first activity (identified topic) is a mandatory input to the second activity (writing the thesis).
Search for a topic,Conduct regular catch-up meetings,-,-,-,"Catch-up meetings are meant to discuss progress and address challenges related to a chosen thesis topic. Without a topic, these meetings lack purpose. You cannot have a productive catch-up meeting about a thesis without first establishing what the thesis is about."
Search for a topic,Submit thesis on Koinon,-,-,-,"You cannot submit a thesis to Koinon without having a thesis topic, which is determined in the 'Search for a topic' activity. This constitutes a data dependency."
Search for a topic,Present thesis in Colloquium,"The examination regulations mandate that the colloquium happens after the thesis submission, which inherently requires a topic to be chosen beforehand.",-,-,"Logical dependency - A thesis cannot be presented before it has been written, and a thesis requires a topic."
Conduct informal meeting to explain topic,Write and submit proposal,-,The supervisor states that the informal meeting is 'not mandatory by the university' but 'necessary' for student-supervisor alignment. This suggests a common practice rather than a rule.,-,-
Conduct informal meeting to explain topic,Get registered by chair on Koinon,-,"The informal meeting, while not mandatory, is considered necessary and common practice for supervisors to ensure students understand and are invested in their chosen thesis topic. This practice facilitates a collaborative topic selection process.",-,"Data dependency: Registration on Koinon requires a defined thesis topic, which is established during the informal meeting."
Conduct informal meeting to explain topic,Student accept thesis on Koinon,-,"The informal meeting, while not mandated by the university, is a common practice to ensure mutual understanding and student commitment before formalizing the thesis topic on Koinon.",-,-
Conduct informal meeting to explain topic,Start writing thesis,-,"The supervisor states that the informal meeting is ""not mandatory by the university,"" but ""necessary"" and a common practice for supervisors to ensure students understand the topic before starting.",-,"A student cannot effectively start writing a thesis without a clear understanding of the topic, which is established in the informal meeting. This creates a logical dependency."
Conduct informal meeting to explain topic,Conduct regular catch-up meetings,-,-,-,-
