First Activity,Second Activity,Governmental Law,Best Practice,Business Rule,Law of Nature,,
Scan ticket,Change number of bags,-,-,The organization requires the ticket to be scanned first to retrieve the necessary data about the passenger before allowing any changes to the baggage allowance.,The second activity cannot occur without the first activity because the necessary passenger information to change the number of bags is only accessible after scanning the ticket.,,
Scan ticket,Change seat,-,-,"The process of scanning the ticket is a prerequisite for accessing the passenger's information, which is necessary to handle any change requests, including changing seats.",-,,
Scan ticket,Check validity of documents,-,-,"The airline has established a rule that the ticket must be scanned to retrieve passenger information before checking the validity of documents, which is an operational procedure under their discretion.","The checking of document validity logically depends on the information obtained from scanning the ticket, making it necessary for the first activity to occur before the second.",,
Scan ticket,Weigh baggage,-,-,"The process requires that the ticket be scanned first to retrieve essential passenger information, which is necessary to associate the baggage with the passenger's ticket.","The scanning of the ticket is a prerequisite for weighing the baggage because the system needs to have the passenger's information before any baggage can be weighed, creating a logical dependency.",,
Scan ticket,Cancel check-in,-,-,"The organization has established a rule that requires the ticket to be scanned first to retrieve the necessary passenger information before any further actions, including cancellations, can be taken.","The cancellation process requires data that can only be obtained through the scanning of the ticket, creating a logical dependency.",,
Scan ticket,Process payment,-,-,"The airline requires the ticket information to be scanned first in order to associate any payment with the correct passenger and their luggage, which is a rule established by the organization.","Processing payment without first scanning the ticket would lead to a logical dependency issue, as the airline needs the ticket information to ensure accurate association of payment with the passenger's booking.",,
Scan ticket,Check-in luggage,-,-,The organization requires that the ticket be scanned first to retrieve essential passenger information necessary for handling the check-in process.,"The check-in process relies on the data obtained from the ticket scan, making it impossible to perform the check-in without this prior step.",,
Scan ticket,Load luggage,-,-,The airline has established a specific process that requires the ticket to be scanned first to gather essential passenger information before any luggage can be loaded.,"The loading of luggage cannot logically occur before the ticket is scanned, as the latter provides the critical information needed for the entire check-in process.",,
Change number of bags,Change seat,-,-,"The airline's internal policies dictate that changes to the number of bags must be processed before any changes to the seat can be made, ensuring that luggage is accounted for before adjusting seating arrangements.",-,,
Change number of bags,Check validity of documents,-,-,"The airline has established a procedure where changes to the number of bags can be made based on passenger requests, which is a rule set for operational efficiency and customer service.",-,,
Change number of bags,Weigh baggage,-,-,"The process of changing the number of bags is determined by the airline's policies and procedures, which are under the jurisdiction of the stakeholders involved.",-,,
Change number of bags,Cancel check-in,-,-,The airline has established a specific protocol that requires handling change requests before proceeding to cancel the check-in.,-,,
Change number of bags,Process payment,-,-,The airline has established a specific procedure that requires passengers to request changes to their baggage allowance before any payment is processed.,-,,
Change number of bags,Check-in luggage,-,-,"The airline has established a specific process that requires any changes to the number of bags to be handled prior to the actual check-in of the luggage, which is a rule under their jurisdiction.",-,,
Change number of bags,Load luggage,-,-,"The airline has established a procedure that requires any changes to the number of bags to be processed before the luggage is loaded onto the aircraft, ensuring accurate association of the ticket with the correct number of bags.",-,,
Change seat,Check validity of documents,-,-,"The airline allows for last-minute changes to seat assignments as part of its internal policies, which can be changed at their discretion.",-,,
Change seat,Weigh baggage,-,-,"The airline has established procedures regarding how to handle passenger requests for changes, which includes processing changes before weighing baggage to ensure accurate information.",-,,
Change seat,Cancel check-in,-,-,The airline has established a protocol that requires handling change requests before proceeding to cancel the check-in process to ensure proper management of passenger requests.,-,,
Change seat,Process payment,-,-,"The airline has established a procedure that requires any changes to a passenger's booking to be completed before processing any payment, which is under their jurisdiction.",-,,
Change seat,Check-in luggage,-,-,"The airline has established a procedure that requires any changes to the passenger's booking, such as seat changes, to be handled before the actual check-in of luggage.",-,,
Change seat,Load luggage,-,-,"The airline has established a procedure that requires any changes to passenger information, such as seat assignments, to be completed before the luggage is loaded onto the aircraft.",-,,
Check validity of documents,Weigh baggage,-,-,"The airline has established a rule to check the validity of documents before proceeding with any other activities, including weighing the baggage, to avoid wasting time on invalid passengers.",-,,
Check validity of documents,Cancel check-in,-,-,"The process requires checking the validity of documents before canceling the check-in to avoid wasting time on invalid check-ins, reflecting an internal operational guideline.",-,,
