First Activity,Second Activity,Governmental Law,Best Practice,Business Rule,Law of Nature
Search for a topic,Conduct informal meeting to explain topic,-,"The activity 'Search for a topic' is a preliminary step that students undertake to identify potential thesis topics before engaging in discussions with their supervisors, making the informal meeting more productive.",-,-
Search for a topic,Write and submit proposal,-,"The activity of searching for a topic is a widely accepted preliminary step necessary for writing a proposal, reflecting common practice in the academic community.",-,-
Search for a topic,Get registered by chair on Koinon,-,-,"The process of searching for a topic is a necessary preliminary step before registration can occur, as students must identify a suitable thesis topic before formal registration can take place.",-
Search for a topic,Student accept thesis on Koinon,-,-,"The process of searching for a topic is a necessary step that must be completed before a student can accept the thesis on Koinon, as it ensures the student understands the thesis topic they are committing to.",-
Search for a topic,Start writing thesis,-,-,The requirement to first search for a topic is a procedural step determined by the university's guidelines and the expectations of the thesis supervisors.,-
Search for a topic,Conduct regular catch-up meetings,-,"The activity of searching for a topic is a preliminary step that students must undertake before they can engage in regular meetings with their supervisors, reflecting a widely accepted procedure among students and supervisors.",-,-
Search for a topic,Submit thesis on Koinon,-,-,"The process of searching for a topic is a necessary step determined by the internal regulations and practices of the university, which require students to identify and agree upon a thesis topic before formal registration.",-
Search for a topic,Present thesis in Colloquium,-,-,The process of searching for a topic is a prerequisite for presenting the thesis in the colloquium because the colloquium is based on the thesis that the student has developed. This is a rule established by the university's examination regulations.,-
Conduct informal meeting to explain topic,Write and submit proposal,-,"The informal meeting is a widely accepted procedure that enhances the quality of the proposal and ensures alignment between the supervisor and the student, although it is not mandated by the university.",-,-
Conduct informal meeting to explain topic,Get registered by chair on Koinon,-,"The informal meeting is a widely accepted procedure among supervisors and students to ensure understanding and agreement on the thesis topic before proceeding with registration, although it is not mandated by the university.",-,-
Conduct informal meeting to explain topic,Student accept thesis on Koinon,-,The informal meeting is a widely accepted procedure among supervisors to ensure that the student fully understands and is convinced about the thesis topic before formally accepting it. It is not mandated by the university.,-,-
Conduct informal meeting to explain topic,Start writing thesis,-,"The informal meeting is a widely accepted procedure among supervisors and students to ensure understanding and interest in the thesis topic before writing begins, although it is not mandated by the university.",-,-
Conduct informal meeting to explain topic,Conduct regular catch-up meetings,-,The informal meeting serves as an initial step to ensure that the student understands the thesis topic and is aligned with the supervisor's expectations. This practice is commonly accepted among supervisors and students as a way to establish a foundation for the thesis work.,-,-
Conduct informal meeting to explain topic,Submit thesis on Koinon,-,"The informal meeting is a widely accepted procedure that enhances the quality of the thesis work, ensuring the student understands the topic before formal registration.",-,-
Conduct informal meeting to explain topic,Present thesis in Colloquium,-,"The informal meeting serves as a preparatory step for the student to understand the thesis topic better and to clarify any doubts before the formal presentation in the colloquium. While it is not mandated by the university, it is a common practice among supervisors and students to ensure that the student is well-prepared for the presentation.",-,-
Write and submit proposal,Get registered by chair on Koinon,-,"The proposal writing is a common practice among chairs, as it helps ensure that the student and the supervisor are aligned on the thesis topic and expectations before formal registration occurs. While it is not mandated by the university for all chairs, it is a widely accepted procedure that enhances the quality of the thesis work and the registration process.",-,-
Write and submit proposal,Student accept thesis on Koinon,-,"The proposal writing and submission is a common practice among the chairs at the university, serving as a contract between the student and the supervisor to ensure clarity and agreement on the thesis topic and expectations.",-,-
Write and submit proposal,Start writing thesis,-,"The proposal writing phase is a common practice among many chairs at the university, serving as a guideline for students before they begin their thesis work. It is not mandated by the university for all chairs, making it a best practice rather than a strict requirement.",-,-
Write and submit proposal,Conduct regular catch-up meetings,-,"The proposal writing and submission is a common practice in academic settings that serves as a foundational document for the thesis, while regular catch-up meetings are supportive activities that help ensure the student stays on track. Meetings are encouraged but not mandated.",-,-
Write and submit proposal,Submit thesis on Koinon,-,"The proposal writing and submission is a common practice among the chairs at the university, serving as a foundational document that outlines the student's intended research, which helps ensure clarity and alignment before the thesis submission.",-,-
Write and submit proposal,Present thesis in Colloquium,-,The proposal writing and submission is a common practice among supervisors and students to ensure that the thesis topic is well-defined and agreed upon before the student presents their work in the colloquium. It helps in structuring the thesis work and ensuring alignment on expectations.,-,-
Get registered by chair on Koinon,Student accept thesis on Koinon,-,-,"The registration of the thesis by the chair on Koinon is a procedural requirement established by the university's internal regulations, which dictate that the chair must register the thesis before the student can accept it.",-
Get registered by chair on Koinon,Start writing thesis,-,-,"The requirement for a student to be registered on Koinon before they can start writing their thesis is a rule established by the university and its stakeholders, specific to the university's internal processes and regulations.",-
Get registered by chair on Koinon,Conduct regular catch-up meetings,-,-,"The registration of the thesis on Koinon is a procedural requirement set by the university and the stakeholders involved in the thesis process, ensuring that students are officially recognized before starting their thesis work.",-
Get registered by chair on Koinon,Submit thesis on Koinon,The examination regulations mandate that students must be officially registered for their thesis before they can submit it.,-,-,-
Get registered by chair on Koinon,Present thesis in Colloquium,"The registration of the thesis is mandated by the university's examination regulations, which are enforced by the university and the Bavarian State Ministry.",-,-,-
Student accept thesis on Koinon,Start writing thesis,-,-,"The requirement for the student to accept the thesis on Koinon before starting to write the thesis is a rule established by the university's internal processes, which can be modified or enforced at their discretion.",-
Student accept thesis on Koinon,Conduct regular catch-up meetings,-,-,"The acceptance of the thesis on Koinon is a procedural requirement set by the university, necessary for the student to be officially recognized as working on the thesis.",-
Student accept thesis on Koinon,Submit thesis on Koinon,-,-,"The process requires that the student must first accept the thesis on the Koinon platform before they can submit it, as per the university's internal procedures.",-
Student accept thesis on Koinon,Present thesis in Colloquium,"The requirement for the student to accept the thesis on Koinon is mandated by the university's examination regulations, which are enforced by the university and the Bavarian State Ministry.",-,-,-
