sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Scan ticket;Change number of bags;-;The process description indicates that scanning the ticket first is the standard industry procedure to gather the necessary passenger information before handling change requests. This is not mandated by law nor a rigid business rule, but rather a generally accepted best practice.;-;There is a data dependency between scanning the ticket and changing the number of bags, as the latter requires the information obtained from the former. However, this data dependency does not make the ordering an absolute, inviolable law of nature.
Scan ticket;Change seat;-;The process description indicates that scanning the ticket first to obtain the passenger information is an accepted and standard practice, even though it is not strictly required. This suggests it is a best practice rather than a governmental law or business rule.;-;-
Scan ticket;Check validity of documents;-;-;The process description indicates that the airline has a business rule to only proceed with the check-in process if the ticket and documents are valid. Scanning the ticket first allows them to retrieve the passenger information and check the validity before investing time in the rest of the process.;-
Scan ticket;Weigh baggage;-;The process indicates that scanning the ticket first is more efficient and preferred by the staff, even though they sometimes do check the weight first. This suggests that scanning the ticket first is a widely accepted and superior procedure, even if not strictly required.;-;-
Scan ticket;Cancel check-in;-;-;The process description indicates that the order of Scan Ticket before Cancel Check-in is a rule set by the airline/organization, and not mandated by any governmental law or industry-wide best practice. It is a business decision made by the stakeholders to ensure that they do not waste time on invalid tickets or passports, and to stop the process immediately if the initial scan identifies any issues.;-
Scan ticket;Process payment;-;-;The process description states that 'the airline wants us to only do the check-in if the other things are done to make sure that the payment is processed.' This indicates that the ordering of Scan Ticket before Process Payment is a rule set by the airline, which has full jurisdiction over this aspect of the process. The airline can change or discard this rule at their own discretion.;-
Scan ticket;Check-in luggage;-;-;The process description indicates that the airline wants the check-in to be done only after the ticket has been scanned, suggesting this is a rule or requirement set by the airline, which is within their jurisdiction as the stakeholder of the process.;-
Scan ticket;Load luggage;-;-;The process description states that the airline wants the check-in to be done before the luggage is loaded, indicating this is a rule set by the airline as the main stakeholder of the process.;-
Change number of bags;Change seat;-;-;-;-
Change number of bags;Check validity of documents;-;-;The airline has decided that they need to have the passenger information, including the number of bags, before they can proceed to check the validity of the documents. This is an internal business requirement rather than being mandated by external laws or industry practices.;-
Change number of bags;Weigh baggage;-;The process description indicates that changing the number of bags before weighing the baggage is a common and accepted practice in the industry, even though it is not mandated by any external source.;-;-
Change number of bags;Cancel check-in;-;-;The process description suggests that the ordering of these two activities is a rule set by the airline itself. It states 'Important is that after canceling a checkin instance, you should not perform any other activities.' This implies that the airline has decided that changing the number of bags should occur before canceling the check-in, likely to maintain data integrity and avoid unnecessary work.;-
Change number of bags;Process payment;-;-;The order of these two activities is a rule that is under the full jurisdiction of the airline stakeholders. They have the ability to change or discard this rule at their own discretion, as it is an internal policy of the airline.;-
Change number of bags;Check-in luggage;-;-;The airline has established this as an internal procedure to manage the logistics of the check-in process and charge any additional fees for changes to the number of bags.;-
Change number of bags;Load luggage;-;-;The process description states that the airline wants the change in the number of bags to be handled before the luggage is loaded onto the aircraft. This is a rule that is under the full jurisdiction of the airline, and they can choose to change or discard this rule at their own discretion.;-
Change seat;Check validity of documents;-;The process description indicates that changing the seat is a standard procedure that is accepted by the organization's staff and industry-wide, and checking the validity of documents is then performed after the seat has been changed, likely as a best practice to ensure the passenger's information is up-to-date and valid before proceeding.;-;-
Change seat;Weigh baggage;-;-;-;-
Change seat;Cancel check-in;-;The process description indicates that the best practice is to make any seat changes before canceling the check-in, as performing other activities after a cancellation would be inefficient or undesirable.;-;-
Change seat;Process payment;-;-;The process description states that the airline 'wants us to only do the check-in if the other things are done to make sure that the payment is processed.' This implies that the ordering of Change seat before Process payment is a rule set by the airline, which is the main stakeholder in this process.;-
Change seat;Check-in luggage;-;-;The process description states that the airline wants the Change seat activity to be completed before the Check-in luggage activity, indicating that this is a rule set by the airline itself, which has full jurisdiction over how the process is structured.;-
Change seat;Load luggage;-;It is a standard procedure in the airline industry to update the seat information before loading the luggage to ensure the passenger information is accurate, even though it is not a mandatory requirement enforced by any stakeholder or governmental institution.;-;-
Check validity of documents;Weigh baggage;The order is driven by a legal requirement to validate the passenger's documents before proceeding with other steps in the check-in process.;-;-;-
Check validity of documents;Cancel check-in;The process description indicates that checking the validity of documents must occur before cancelling the check-in process, as this is a requirement enforced by governmental laws and regulations regarding valid travel documentation that airlines must comply with.;-;-;-
Check validity of documents;Process payment;The process description indicates that document validation must occur before processing payment, as it would be a waste of time and resources to process the payment if the underlying documents are not valid. This is likely a requirement mandated by governmental regulations, such as airport security protocols or financial transaction laws, rather than a self-imposed business rule or industry best practice.;-;-;-
Check validity of documents;Check-in luggage;The requirement to validate documents before check-in is likely due to governmental regulations or laws that the airline must adhere to, as the validity of travel documents is an important aspect of passenger security and immigration control.;-;-;-
Check validity of documents;Load luggage;The process description states that if the ticket or passport is not valid, the whole process can be cancelled, indicating a legal requirement to check the documents before loading the luggage.;-;-;-
Weigh baggage;Cancel check-in;-;-;The process description indicates that the agent wants to make sure the baggage is weighed before canceling the check-in process, suggesting this is a rule set by the airline/organization that can be changed at their own discretion.;-
Weigh baggage;Process payment;-;-;The process description indicates that the airline requires the baggage to be weighed before the payment is processed, which is a rule under the full jurisdiction of the airline as the stakeholder of the process.;-
