sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Scan ticket;Change number of bags;-;-;The process description states that the passenger information is needed to associate the changes to the number of bags. This information is obtained by scanning the ticket.;-
Scan ticket;Change seat;-;-;The process description states that the passenger information is needed to make changes to the ticket, which is obtained by scanning the ticket.;-
Scan ticket;Check validity of documents;-;-;The process description states that the agent checks the validity of the documents after scanning the ticket. This is a business rule as it is not a legal requirement to check the validity of documents before checking in luggage, and it is not a best practice as it is not a universally accepted procedure. The airline has chosen to implement this rule to ensure that passengers have valid documents before proceeding with the check-in process.;-
Scan ticket;Weigh baggage;-;The process description states that "Checked-in luggage has to be weighed in all cases, to ensure each piece is within safe limits for manual handling." This is a best practice as it is not a legal requirement, but it is a standard procedure to ensure safety and efficiency.;-;-
Scan ticket;Cancel check-in;-;-;The process description states that "Important is that after canceling a checkin instance, you should not perform any other activities." This is a rule that is under the jurisdiction of the airline and can be changed at their discretion.;-
Scan ticket;Process payment;-;-;The airline has decided to only process payment after all other activities are completed, including scanning the ticket, checking the weight, and checking in the luggage.;-
Scan ticket;Check-in luggage;-;-;The airline wants to ensure that all other activities are completed before checking in the luggage, including validating the ticket, checking for weight, and processing any payments.;-
Scan ticket;Load luggage;-;-;The airline wants to ensure that all necessary steps are completed before the luggage is loaded onto the aircraft. This includes scanning the ticket, checking the weight of the luggage, and processing any necessary payments.;-
Change number of bags;Change seat;-;-;-;-
Change number of bags;Check validity of documents;-;The process description states that the check-in agent usually checks the validity of the documents after changing the number of bags. This is a best practice as it ensures that the passenger's documents are valid before proceeding with the check-in process.;-;-
Change number of bags;Weigh baggage;-;The process description states that "Checked-in luggage has to be weighed in all cases, to ensure each piece is within safe limits for manual handling." This is a best practice as it is not a legal requirement, but it is a standard procedure to ensure safety and efficiency.;-;-
Change number of bags;Cancel check-in;-;-;The process description states that after canceling a check-in instance, you should not perform any other activities. This is a rule that is under the jurisdiction of the airline and can be changed at their discretion.;-
Change number of bags;Process payment;-;-;The airline requires payment for changes to the number of bags, as it involves additional effort and cost for the airline.;-
Change number of bags;Check-in luggage;-;-;The airline wants to ensure that all changes are processed before the luggage is checked in, to ensure that the payment is processed and the system is updated with the correct information.;-
Change number of bags;Load luggage;-;-;The airline wants to ensure that the payment for the additional bag is processed before the luggage is loaded onto the aircraft.;-
Change seat;Check validity of documents;-;It is a best practice to check the validity of documents before proceeding with any further actions, as it is a crucial step to ensure the legitimacy of the passenger and their travel documents.;-;-
Change seat;Weigh baggage;-;The process description states that "passengers always lift their heavy luggage on the scale", which implies that weighing the baggage is a standard practice, even if it is not explicitly required by any rule.;-;-
Change seat;Cancel check-in;-;-;The process description states that after canceling a check-in instance, you should not perform any other activities. This is a rule that is under the jurisdiction of the airline and can be changed at their discretion.;-
Change seat;Process payment;-;-;The airline has decided to charge a fee for last-minute changes, which includes changing the seat. This fee is processed as a payment.;-
Change seat;Check-in luggage;-;-;The airline wants to ensure that all changes are processed before the luggage is checked in, to ensure that the payment for the change is processed and the system is updated with the correct information.;-
Change seat;Load luggage;-;-;The airline wants to ensure that all changes are processed before the luggage is loaded to avoid any potential issues with the aircraft's weight and load calculations.;-
Check validity of documents;Weigh baggage;-;The process description states that the staff usually checks the weight of the luggage before checking in the luggage. This is a best practice as it is not a requirement to check the weight of the luggage before checking in the luggage, but it is a good practice to do so.;-;-
Check validity of documents;Cancel check-in;-;-;The process description states that if the ticket or passport is not valid, the check-in process should be canceled. This is a rule that can be changed by the airline at their discretion.;-
Check validity of documents;Process payment;-;-;The process description states that the airline wants to ensure that the payment is processed before checking in the luggage. This is a business rule that can be changed at the discretion of the airline.;-
Check validity of documents;Check-in luggage;-;-;The airline wants to ensure that the payment for overweight luggage is processed before checking in the luggage.;-
Check validity of documents;Load luggage;-;-;The process description states that the airline wants to ensure that all other activities are completed before checking in the luggage, which includes checking the validity of documents. This is a business rule that can be changed at the discretion of the airline.;-
Weigh baggage;Cancel check-in;-;-;The process description states that the airline wants to ensure that the payment for overweight luggage is processed before checking in the luggage. This is a business rule that can be changed at the discretion of the airline.;-
Weigh baggage;Process payment;-;-;The airline requires payment for overweight luggage, which is determined after weighing the baggage.;-
Weigh baggage;Check-in luggage;-;-;The airline wants to ensure that the payment for overweight luggage is processed before checking in the luggage.;-
Weigh baggage;Load luggage;-;-;-;Resource dependency: You cannot load luggage without first weighing it to ensure it is within safe limits for manual handling.
Cancel check-in;Process payment;-;-;-;-
Cancel check-in;Check-in luggage;-;-;The process description states that after canceling a check-in instance, you should not perform any other activities. This is a rule that is under the jurisdiction of the airline and can be changed at their discretion.;-
Cancel check-in;Load luggage;-;-;The process description states that after canceling a check-in instance, you should not perform any other activities. This is a rule that is under the jurisdiction of the airline and can be changed at their discretion.;-
Process payment;Check-in luggage;-;-;The airline wants to ensure that the payment is processed before checking in the luggage.;-
Process payment;Load luggage;-;-;The airline wants to ensure that the payment is processed before the luggage is loaded onto the aircraft.;-
Check-in luggage;Load luggage;-;-;-;Resource dependency: You cannot load luggage into the aircraft without first checking it in.
