First Activity,Second Activity,Governmental Law,Best Practice,Business Rule,Law of Nature
Search for a topic,Conduct informal meeting to explain topic,-,-,-,"You cannot have a productive discussion about a thesis topic without a topic existing in the first place. The informal meeting is entirely dependent on the output of the ""Search for a topic"" activity."
Search for a topic,Write and submit proposal,-,-,-,The activity 'Write and submit proposal' depends on data generated by the activity 'Search for a topic'. You cannot write a proposal without having a topic.
Search for a topic,Get registered by chair on Koinon,-,-,"While not explicitly mandated by the university, chairs, acting as stakeholders, generally require a defined topic before registering a student on Koinon. This falls under their procedural jurisdiction, aligning with the concept of a Business Rule.",-
Search for a topic,Student accept thesis on Koinon,-,-,"The process implies the student needs a topic pre-approved by the chair before registration on Koinon, indicating an internal rule rather than an external mandate or universal best practice.",-
Search for a topic,Start writing thesis,-,-,-,"A thesis cannot be written without a topic, making 'Start writing thesis' dependent on the data generated from 'Search for a topic'."
Search for a topic,Conduct regular catch-up meetings,-,-,-,"Catch-up meetings regarding a thesis cannot occur before a topic, which determines the content of the meetings, has been chosen. This constitutes a logical dependency, making this ordering a law of nature."
Search for a topic,Submit thesis on Koinon,-,-,-,"You cannot submit a thesis without having a topic to write about. This is a data dependency, as the act of submission requires the data of a chosen and defined thesis topic."
Search for a topic,Present thesis in Colloquium,-,-,-,You cannot present a thesis in a colloquium without having a topic to base it on. The very act of presenting research implies prior research and topic selection.
Conduct informal meeting to explain topic,Write and submit proposal,-,"The supervisor states that the informal meeting is 'necessary and what supervisors usually do,' suggesting a common, beneficial practice within the department, even if not mandated.",-,-
Conduct informal meeting to explain topic,Get registered by chair on Koinon,-,"The supervisor states that the informal meeting is 'necessary and what supervisors usually do,' indicating a common, beneficial practice within the department, even though it's not mandatory.",-,-
Conduct informal meeting to explain topic,Student accept thesis on Koinon,-,"The supervisor states the meeting is 'necessary and what supervisors usually do,' indicating a common, beneficial practice, though not mandatory.",-,-
Conduct informal meeting to explain topic,Start writing thesis,-,"The supervisor states the meeting is ""not mandatory by the university, but it's necessary and what supervisors usually do."" This indicates a common, beneficial practice within the department, but not a strict requirement.",-,-
Conduct informal meeting to explain topic,Conduct regular catch-up meetings,-,-,"The frequency and existence of regular meetings are largely at the discretion of the supervisor or chair, suggesting a business rule. The informal meeting, while not mandated, acts as a practical step before establishing this regular meeting structure.",-
Conduct informal meeting to explain topic,Submit thesis on Koinon,-,-,-,-
Conduct informal meeting to explain topic,Present thesis in Colloquium,-,-,-,-
Write and submit proposal,Get registered by chair on Koinon,-,-,"The decision to require a proposal before registration varies between chairs, indicating it's a rule set at the chair level, not university-wide or by law.",-
Write and submit proposal,Student accept thesis on Koinon,-,-,"The student interview reveals that submitting a proposal is not a university-wide requirement, but rather a practice implemented by some chairs and not others. This indicates that the rule is under the discretion of the chair, a stakeholder in the thesis process, who can enforce, modify, or eliminate it.",-
Write and submit proposal,Start writing thesis,-,-,"The requirement for a proposal before starting the thesis writing is a rule set by each individual chair, not the university or any external authority. This means it's a specific operational procedure determined and enforced internally, making it a business rule.",-
Write and submit proposal,Conduct regular catch-up meetings,-,-,-,-
Write and submit proposal,Submit thesis on Koinon,-,-,-,-
Write and submit proposal,Present thesis in Colloquium,-,-,-,-
Get registered by chair on Koinon,Student accept thesis on Koinon,-,-,"The chair initiates the registration on Koinon, and the student subsequently receives an email to accept it. This sequence suggests an internal procedure established by the university/department, giving them control over this rule.",Data Dependency: The student cannot accept a registration that hasn't been created by the chair first. The information about the thesis needs to be entered before the student can accept it.
Get registered by chair on Koinon,Start writing thesis,-,-,"Interviews suggest that starting to write before registration is possible, indicating the order is not a strict dependency. The registration process being managed through the internal Koinon platform further suggests a process control mechanism established by the university or department.",-
Get registered by chair on Koinon,Conduct regular catch-up meetings,-,-,"The chair mandates registration before meetings for administrative purposes and resource allocation, falling under their jurisdiction.",-
Get registered by chair on Koinon,Submit thesis on Koinon,-,-,"The chair decides and enforces the rule that registration on Koinon is required before thesis submission, as part of their internal procedure.",Data dependency: The Koinon system requires information about the thesis and student to be registered before a submission can be made.
Get registered by chair on Koinon,Present thesis in Colloquium,-,-,"The university uses Koinon to manage theses, making registration practically mandatory for recording the colloquium and its outcome. This falls under the university's internal procedures and could be changed if they modify their systems.","There is a logical dependency. The university's processes rely on Koinon, so registration is likely a prerequisite for officially recording the colloquium in their system."
Student accept thesis on Koinon,Start writing thesis,-,-,-,-
Student accept thesis on Koinon,Conduct regular catch-up meetings,-,-,-,-
Student accept thesis on Koinon,Submit thesis on Koinon,-,-,-,"A student cannot submit a thesis on a platform without first accepting the terms or conditions of using that platform. This is a logical dependency inherent in the system's design. The 'Student accept thesis on Koinon' activity likely involves agreeing to terms, confirming their information, or acknowledging the submission process. Without completing this step, the platform's functionality would prevent the student from proceeding with the submission."
Student accept thesis on Koinon,Present thesis in Colloquium,"The university's examination regulations, set by the university and the Bavarian State Ministry, mandate that a student must submit the thesis on Koinon before presenting it in the colloquium.",-,-,-
Start writing thesis,Conduct regular catch-up meetings,-,-,-,-
Start writing thesis,Submit thesis on Koinon,-,-,-,You cannot submit a thesis that has not been written. The act of submission depends on the data (the written thesis) from the first activity.
Start writing thesis,Present thesis in Colloquium,-,-,-,You cannot present a thesis that has not been written. The presentation content is dependent on the prior activity of writing.
Conduct regular catch-up meetings,Submit thesis on Koinon,-,"Interviews show regular meetings are not mandated but commonly recommended. Student and supervisor emphasize their value for guidance and progress, suggesting it's a common practice despite not being a formal rule.",-,-
Conduct regular catch-up meetings,Present thesis in Colloquium,-,"Interviews highlight regular meetings as a common and encouraged practice by supervisors to support student progress, but not as a mandatory rule.",-,-
Submit thesis on Koinon,Present thesis in Colloquium,"The university's examination regulations explicitly state that the colloquium must take place after the thesis submission, making this a rule enforced by a governing body.",-,-,"The colloquium cannot proceed without a submitted thesis to evaluate, creating a dependency between the activities."
