First Activity,Second Activity,Governmental Law,Best Practice,Business Rule,Law of Nature
Search for a topic,Conduct informal meeting to explain topic,-,The supervisor mentioned that the informal discussion is not mandatory by the university but is necessary and what the supervisors usually do to ensure the student is convinced about the topic and understands the outcomes. This indicates that it is a best practice.,-,-
Search for a topic,Write and submit proposal,-,-,-,There is a logical dependency between the two activities. You cannot write and submit a proposal without first searching for and selecting a topic. The second activity thus depends on the outcome of the first activity to proceed with the process.
Search for a topic,Get registered by chair on Koinon,-,-,-,There is a logical dependency between the two activities. You cannot get registered by the chair on Koinon without first searching for and selecting a topic. The second activity thus depends on the completion of the first activity to proceed with the process.
Search for a topic,Student accept thesis on Koinon,-,-,-,There is a logical dependency between the two activities. The student cannot accept a thesis on Koinon without first searching for and selecting a topic. The second activity depends on the completion of the first activity to proceed with the process.
Search for a topic,Start writing thesis,-,-,-,There is a logical dependency between the two activities. You cannot start writing a thesis without first having a topic to write about. The second activity thus depends on the outcome of the first activity to proceed with the process.
Search for a topic,Conduct regular catch-up meetings,-,-,-,-
Search for a topic,Submit thesis on Koinon,-,-,-,There is a logical dependency between the two activities. You cannot submit a thesis without first having a topic to write about. The second activity thus depends on the completion of the first activity to proceed with the process.
Search for a topic,Present thesis in Colloquium,-,-,-,There is a logical dependency between the two activities. You cannot present a thesis in the colloquium without first searching for and selecting a topic. The second activity thus depends on the completion of the first activity to proceed with the process.
Conduct informal meeting to explain topic,Write and submit proposal,-,"In the interview with the supervisor, they say 'I think it's not mandatory by the university, but it's necessary and what the supervisors usually do.' therefore indicating that this introductory meeting is not mandated by the university or the examination regulation, but it is rather accepted by the thesis supervisors as a superior procedure, hence, a best practice.",-,-
Conduct informal meeting to explain topic,Get registered by chair on Koinon,-,The informal meeting is not mandatory by the university but is necessary and what the supervisors usually do to ensure the student understands and is convinced about the topic.,-,-
Conduct informal meeting to explain topic,Student accept thesis on Koinon,-,The informal meeting is not mandated by the university but is considered necessary and what the supervisors usually do to ensure the student understands and likes the topic.,-,-
Conduct informal meeting to explain topic,Start writing thesis,-,The supervisor mentioned that the informal meeting is not mandatory by the university but is necessary and what the supervisors usually do to ensure the student understands and likes the topic. This indicates that it is a best practice.,-,-
Conduct informal meeting to explain topic,Conduct regular catch-up meetings,-,"The informal meeting to explain the topic is not mandatory by the university but is necessary and what the supervisors usually do to ensure the student understands and is convinced about the topic. Regular catch-up meetings are also a common practice among supervisors to ensure the student is on track, although not strictly mandated by the university.",-,-
Conduct informal meeting to explain topic,Submit thesis on Koinon,-,The informal meeting to explain the topic is not mandated by the university but is considered necessary and what the supervisors usually do to ensure the student understands and is convinced about the topic.,-,-
Conduct informal meeting to explain topic,Present thesis in Colloquium,-,-,-,-
Write and submit proposal,Get registered by chair on Koinon,-,-,"Both the interviewed student and supervisor clearly say that the proposal is not required by the University but that it is a rule set by each chair, since some chairs do not require it before registering the student. This indicates that the relationship between the two activities is a business rule since it is a rule that is under the full jurisdiction of the chair, a stakeholder of the process.",-
