First Activity,Second Activity,Governmental Law,Best Practice,Business Rule,Law of Nature
Search for a topic,Conduct informal meeting to explain topic,-,"The supervisor states that the informal meeting is not mandatory by the university, but it is necessary and what the supervisors usually do. This indicates that the relationship between the two activities is a best practice since it is a procedure usually accepted by the organization's staff to be superior to alternatives, but is not required to be followed nor enforced by any stakeholder.",-,-
Search for a topic,Write and submit proposal,-,-,"The supervisor states that the proposal is not required by the university but is a rule set by each chair. This indicates that the relationship between the two activities is a business rule since it is a rule that is under the full jurisdiction of the chair, a stakeholder of the process.",-
Search for a topic,Get registered by chair on Koinon,-,-,"The supervisor states that the chair decides whether or not a proposal is required before registering the thesis. This indicates that the relationship between the two activities is a business rule since it is a rule that is under the full jurisdiction of the chair, a stakeholder of the process.",-
Search for a topic,Student accept thesis on Koinon,-,-,"The supervisor states that the student can start working on the thesis before being registered, and the student service center confirms that they cannot prove if the student started working before being registered. This indicates that the relationship between the two activities is a business rule since it is a rule that is under the full jurisdiction of the chair, a stakeholder of the process.",-
Search for a topic,Start writing thesis,-,-,-,There is a data dependency between the two activities. You cannot start writing a thesis without first having a topic to write about. The second activity thus depends on data from the first activity to proceed with the process.
Search for a topic,Conduct regular catch-up meetings,-,"The supervisor states that the university mandates 0.2 semester weekly hours for the bachelor thesis, which represents maybe 10 minutes or so per week. However, the supervisor also states that this is not realistic because a bachelor thesis student didn't write a thesis before, so they are learning, they have several mistakes and so on. So what the supervisors usually do is to have the longer weekly meetings with the bachelor students. This indicates that the relationship between the two activities is a best practice since it is a procedure usually accepted by the organization's staff to be superior to alternatives, but is not required to be followed nor enforced by any stakeholder.",-,-
Search for a topic,Submit thesis on Koinon,-,-,-,There is a data dependency between the two activities. You cannot submit a thesis on Koinon without first searching for a topic. The second activity thus depends on data from the first activity to proceed with the process.
Search for a topic,Present thesis in Colloquium,"The examination regulations, set by the university and the Bavarian ministry, clearly states that the thesis must be submitted before the student can present it in the colloquium. This indicates that the relationship between the two activities is a governmental law since it is a rule created and enforced by the university and the Bavarian state ministry to regulate the behaviour of the students in the examination process.",-,-,There is a data dependency between the two activities. You cannot present a thesis in a colloquium without having a thesis to present. The second activity thus depends on data from the first activity to proceed with the process.
Conduct informal meeting to explain topic,Write and submit proposal,-,"The supervisor states that the informal meeting is not mandatory by the university, but it is necessary and what the supervisors usually do. This indicates that the relationship between the two activities is a best practice since it is a procedure usually accepted by the organization's staff to be superior to alternatives, but is not required to be followed nor enforced by any stakeholder.",-,-
Conduct informal meeting to explain topic,Get registered by chair on Koinon,-,"The supervisor states that the informal meeting is not mandatory by the university, but it is necessary and what the supervisors usually do. This indicates that the relationship between the two activities is a best practice since it is a procedure usually accepted by the organization's staff to be superior to alternatives, but is not required to be followed nor enforced by any stakeholder.",-,-
Conduct informal meeting to explain topic,Student accept thesis on Koinon,-,-,"The supervisor states that the informal meeting is not mandatory by the university, but it is a necessary step that supervisors usually take. This indicates that the relationship between the two activities is a business rule since it is a rule that is under the full jurisdiction of the supervisor, a stakeholder of the process.",-
Conduct informal meeting to explain topic,Start writing thesis,-,"The supervisor states that the informal meeting is not mandatory by the university, but it is necessary and what the supervisors usually do. This indicates that the relationship between the two activities is a best practice since it is a procedure usually accepted by the organization's staff to be superior to alternatives, but is not required to be followed nor enforced by any stakeholder.",-,-
Conduct informal meeting to explain topic,Conduct regular catch-up meetings,-,"The supervisor states that the informal meeting is not mandatory but is a necessary and common practice. This indicates that the meeting is not mandated by the university or the examination regulation, but it is rather accepted by the thesis supervisors as a superior procedure, hence, a best practice.",-,-
Conduct informal meeting to explain topic,Submit thesis on Koinon,-,-,-,There is a data dependency between the two activities. You cannot submit a thesis on Koinon without first having a topic to write about. The second activity thus depends on data from the first activity to proceed with the process.
Conduct informal meeting to explain topic,Present thesis in Colloquium,-,-,-,There is a data dependency between the two activities. You cannot present a thesis in the colloquium without first having a topic to present. The second activity thus depends on data from the first activity to proceed with the process.
Write and submit proposal,Get registered by chair on Koinon,-,-,"The supervisor states that ""It is up to each chair to decide if they require a propsal or not. Each chair has a different template or different requirements for a proposal. Some chairs include background, others call it context or related work."" This indicates that the relationship between the two activities is a business rule since it is a rule that is under the full jurisdiction of the chair, a stakeholder of the process.",-
Write and submit proposal,Student accept thesis on Koinon,-,-,"The supervisor states that the proposal is not required by the university but is a rule set by each chair. This indicates that the relationship between the two activities is a business rule since it is a rule that is under the full jurisdiction of the chair, a stakeholder of the process.",-
Write and submit proposal,Start writing thesis,-,-,"The supervisor states that the proposal is not mandatory by the university, but it is up to each chair to decide if they require a proposal or not. This indicates that the relationship between the two activities is a business rule since it is a rule that is under the full jurisdiction of the chair, a stakeholder of the process.",-
Write and submit proposal,Conduct regular catch-up meetings,-,"The supervisor states that the university mandates 0.2 semester weekly hours for the bachelor thesis, which represents maybe 10 minutes or so per week. However, they also state that this is not realistic because a bachelor thesis student didn't write a thesis before, so they are learning, they have several mistakes and so on. So what the supervisors usually do is to have the longer weekly meetings with the bachelor students. This indicates that the relationship between the two activities is a best practice since it is a procedure usually accepted by the organization's staff to be superior to alternatives, but is not required to be followed nor enforced by any stakeholder.",-,-
Write and submit proposal,Submit thesis on Koinon,-,-,"The supervisor states that the proposal is not required by the university but that it is a rule set by each chair, since some chairs do not require it before registering the student. This indicates that the relationship between the two activities is a business rule since it is a rule that is under the full jurisdiction of the chair, a stakeholder of the process.",-
Write and submit proposal,Present thesis in Colloquium,-,-,-,There is a logical dependency between the two activities. You cannot present a thesis in the colloquium without having written and submitted the thesis first. The second activity thus depends on the first activity to proceed with the process.
Get registered by chair on Koinon,Student accept thesis on Koinon,-,-,-,There is a data dependency between the two activities. You cannot accept a thesis on Koinon without being registered by the chair on Koinon first. The second activity thus depends on data from the first activity to proceed with the process.
Get registered by chair on Koinon,Start writing thesis,-,-,-,There is a data dependency between the two activities. You cannot start writing the thesis without being registered on Koinon. The second activity thus depends on data from the first activity to proceed with the process.
Get registered by chair on Koinon,Conduct regular catch-up meetings,-,"The supervisor states that the university mandates 0.2 semester weekly hours for the bachelor thesis, which represents maybe 10 minutes or so per week. However, the supervisor also states that this is not realistic because a bachelor thesis student didn't write a thesis before, so they are learning, they have several mistakes and so on. So what the supervisors usually do is to have the longer weekly meetings with the bachelor students. This indicates that the relationship between the two activities is a best practice since it is a procedure usually accepted by the organization's staff to be superior to alternatives, but is not required to be followed nor enforced by any stakeholder.",-,-
