First Activity,Second Activity,Governmental Law,Best Practice,Business Rule,Law of Nature
Search for a topic,Conduct informal meeting to explain topic,-,"The informal meeting to explain the topic is a common practice among supervisors to ensure the student understands and is interested in the topic, but it is not mandated by university regulations or business rules. It's considered beneficial for both the student and supervisor to discuss the topic in detail before proceeding with the thesis.",-,-
Search for a topic,Write and submit proposal,-,"Writing and submitting a proposal after searching for a topic is a common practice followed by many chairs and supervisors, but it is not mandated by the university. The student mentioned that some chairs require a proposal (exposé) while others do not, indicating it's a best practice rather than a strict rule.",-,-
Search for a topic,Get registered by chair on Koinon,-,"The order of these activities is not mandated by law or strict business rules, but it is the common and logical sequence followed by students and chairs. Students typically search for and decide on a topic before the chair registers them on Koinon. This allows for proper topic selection and agreement between the student and the chair before formal registration.",-,-
Search for a topic,Student accept thesis on Koinon,-,"The search for a topic typically precedes the student's acceptance of the thesis on Koinon. This order is not mandated by law or strictly enforced by the university, but it is the logical and commonly followed sequence in the thesis process.",-,-
Search for a topic,Start writing thesis,-,"While it's common and advisable for students to search for a topic before starting to write their thesis, it's not strictly mandated by university regulations. Students have the flexibility to begin writing before officially registering or even finalizing their topic, although it's generally recommended to have a clear direction before commencing the writing process.",-,-
Search for a topic,Conduct regular catch-up meetings,-,"Regular catch-up meetings between the student and supervisor during the thesis writing process are not mandated by the university but are commonly practiced by supervisors to ensure students stay on track. The supervisor mentioned that while the university mandates only 10 minutes per week, longer weekly meetings are typically held.",-,"The search for a topic must logically precede regular catch-up meetings about the thesis, as the topic needs to be established before progress can be discussed."
Search for a topic,Submit thesis on Koinon,-,-,"The order of these activities is determined by the university's established process for thesis completion. Students must first search for and select a topic before they can submit their completed thesis on the Koinon platform. This order is not mandated by law or considered a universal best practice, but rather a specific procedure set by the university.","The relationship is also due to a law of nature, as it is logically impossible to submit a completed thesis before having a topic to write about."
Search for a topic,Present thesis in Colloquium,-,-,-,"This relationship is due to a law of nature because a student cannot present a thesis in a colloquium without first having a topic to research and write about. The topic selection is a necessary precursor to conducting the research, writing the thesis, and subsequently presenting it."
Conduct informal meeting to explain topic,Write and submit proposal,-,"The informal meeting to explain the topic before writing and submitting a proposal is a common practice among supervisors, but it's not mandated by university regulations. It allows the student to better understand the topic and for the supervisor to gauge the student's interest and understanding before proceeding with the proposal.",-,-
Conduct informal meeting to explain topic,Get registered by chair on Koinon,-,The informal meeting to explain the topic is not mandated by the university but is described as a common practice among supervisors to ensure the student understands and is interested in the topic before proceeding with registration.,-,-
Conduct informal meeting to explain topic,Student accept thesis on Koinon,-,"The informal meeting to explain the topic is a common practice among supervisors to ensure the student understands and is interested in the topic before proceeding with the formal registration. However, it is not a mandatory step enforced by the university or any law, but rather a best practice to improve the thesis process.",-,-
Conduct informal meeting to explain topic,Start writing thesis,-,The informal meeting to explain the topic is not mandated by the university but is considered necessary and commonly practiced by supervisors. It allows the student to understand the topic better and for the supervisor to gauge the student's interest and comprehension. This helps ensure a more successful thesis writing process.,-,-
Conduct informal meeting to explain topic,Conduct regular catch-up meetings,-,"The informal meeting to explain the topic and regular catch-up meetings are not mandated by law or strict business rules, but are common practices among supervisors to ensure student understanding and progress. The supervisor mentioned that while not mandatory, these meetings are 'necessary' and 'what the supervisors usually do'.",-,-
Conduct informal meeting to explain topic,Submit thesis on Koinon,-,"The informal meeting to explain the topic is a common practice among supervisors to ensure the student understands and is interested in the topic before proceeding with the thesis. However, it is not mandated by university regulations. The submission of the thesis on Koinon is a later step in the process, occurring after the thesis is completed.",-,"The informal meeting must occur before submitting the thesis, as the meeting is part of the topic selection process, which logically precedes the thesis writing and submission."
Conduct informal meeting to explain topic,Present thesis in Colloquium,-,-,-,"The informal meeting to explain the topic occurs at the beginning of the thesis process, while the Colloquium presentation happens after the thesis is completed and submitted. There is a logical dependency as the student needs to understand and work on the topic before they can present their completed thesis."
Write and submit proposal,Get registered by chair on Koinon,-,"The proposal writing and submission is a common practice among many chairs, but it's not mandated by the university. It serves as a way for the student and supervisor to agree on the thesis topic and scope before official registration.",-,-
Write and submit proposal,Student accept thesis on Koinon,-,-,"The order of these activities is determined by the chair's process for thesis registration. While not all chairs require a proposal, for those that do, it is a step that precedes the formal registration on Koinon. This is a rule set by the chair or department, not a university-wide regulation or law.",-
Write and submit proposal,Start writing thesis,-,"Writing and submitting a proposal before starting the thesis is a common practice in many chairs at the university, but it is not mandated by university regulations. It serves as a way for students to outline their research plan and for supervisors to provide initial feedback.",-,-
Write and submit proposal,Conduct regular catch-up meetings,-,Regular catch-up meetings between the student and supervisor during the thesis writing phase are not mandated by university regulations but are commonly practiced by supervisors to ensure student progress and provide guidance. These meetings typically occur after the proposal has been written and submitted.,-,-
Write and submit proposal,Submit thesis on Koinon,-,"Writing and submitting a proposal before submitting the final thesis is a common practice in many chairs, but it is not mandated by the university. It helps in refining the topic and setting expectations, but some chairs may not require it.",-,The proposal must logically precede the final thesis submission as it outlines the planned work.
Write and submit proposal,Present thesis in Colloquium,-,-,-,"The proposal is written and submitted at the beginning of the thesis process, while the colloquium presentation occurs after the thesis is completed and submitted. It's not possible to present the thesis in a colloquium before writing it, as the colloquium is a defense and presentation of the completed work."
