First Activity,Second Activity,Governmental Law,Best Practice,Business Rule,Law of Nature
Search for a topic,Conduct informal meeting to explain topic,-,"The informal meeting to explain the topic to the student is not mandatory according to the university regulations, but is a common practice followed by the supervisors to ensure the student understands the topic and its potential outcomes before proceeding further.",-,-
Search for a topic,Write and submit proposal,-,"The process description indicates that searching for a topic and writing a proposal are common practices at the university, but are not strictly required or mandated by the university's examination regulations. The chairs have the flexibility to decide whether a proposal is necessary or not.",-,-
Search for a topic,Get registered by chair on Koinon,-,-,"The relationship between the student searching for a thesis topic and the chair registering the student on the Koinon platform is a business rule established by the university. The examination regulations state that the student must be enrolled at the university from the start of the thesis work until submission, and the chair is responsible for registering the student on the Koinon platform once the topic has been agreed upon. This is a requirement set by the university's stakeholders and can be changed or discarded at their discretion.",-
Search for a topic,Student accept thesis on Koinon,-,"The process description indicates that searching for a thesis topic is a common practice, but it is not mandatory that the student has to do this before accepting the thesis on the Koinon platform. The university regulations do not require the student to search for a topic before officially registering the thesis, so this is considered a best practice rather than a required step.",-,-
Search for a topic,Start writing thesis,-,-,"The student is allowed to start writing the thesis before the topic is officially registered and approved, as per the interview with the Student Service Center. This is a business rule set by the university, as they do not have a strict control mechanism to enforce the registration before starting the writing process.",-
Search for a topic,Conduct regular catch-up meetings,-,"The process description indicates that the weekly or bi-weekly meetings between the student and supervisor are a common practice, but not a mandatory requirement by the university. These regular check-in meetings are considered a best practice to ensure the student is progressing well on their thesis work.",-,-
Search for a topic,Submit thesis on Koinon,-,"Based on the interview with the student, searching for a thesis topic and discussing it with the supervisor is a common practice, but not a mandatory requirement by the university. The student has the flexibility to either find a topic on their own or choose from the topics suggested by the supervisor. The submission of the thesis on Koinon is the formal step required by the university to officially register and submit the completed thesis.",-,-
Search for a topic,Present thesis in Colloquium,-,-,"The process description indicates that the presentation of the thesis in the colloquium is a mandatory step after the student has completed their thesis work. This is a rule set by the university and the chairs, not a governmental law or an industry best practice.",-
Conduct informal meeting to explain topic,Write and submit proposal,-,"The informal meeting to explain the thesis topic to the student is a common procedure followed by supervisors, even though it is not mandated by the university's regulations. This meeting allows the supervisor to ensure the student understands the topic and its expected outcomes, which is considered a superior practice to directly jumping into the proposal writing phase.",-,-
Conduct informal meeting to explain topic,Get registered by chair on Koinon,-,"The informal meeting between the student and the supervisor to explain the thesis topic is not a mandatory requirement by the university, but it is a common practice adopted by the supervisors to ensure the student understands the topic and its expected outcomes before proceeding with the registration.",-,-
