First Activity,Second Activity,Governmental Law,Best Practice,Business Rule,Law of Nature
Search for a topic,Conduct informal meeting to explain topic,-,"The supervisor states that the informal meeting is not mandatory by the university, but it is necessary and what the supervisors usually do. This indicates that the meeting is a best practice, as it is not required but is considered beneficial.",-,-
Search for a topic,Write and submit proposal,-,-,"The supervisor in the interview mentioned that the proposal is not mandatory, but it is a common practice at the chair. This indicates that the proposal is not a requirement enforced by the university, but rather a rule set by the chair.",-
Search for a topic,Get registered by chair on Koinon,-,-,The supervisor in the interview mentioned that the chair can decide whether or not to require a proposal before registering the thesis. This indicates that the order of these activities is not mandated by the university but is a decision made by the chair.,-
Search for a topic,Student accept thesis on Koinon,-,-,"The student service center suggests that students come to their consultation hour before searching for a topic, but this is not a requirement. The student can start searching for a topic before consulting with the student service center. The student service center only checks if the student has enough credits to be able to finish the mandatory courses and the thesis in four months. If the student is still missing some mandatory courses, the student service center would not suggest to start with the thesis. However, the student can still start searching for a topic and register for the thesis even if they are missing some mandatory courses. The student service center only checks if the student has enough credits to be able to finish the mandatory courses and the thesis in four months. If the student is still missing some mandatory courses, the student service center would not suggest to start with the thesis. However, the student can still start searching for a topic and register for the thesis even if they are missing some mandatory courses.",-
Search for a topic,Start writing thesis,-,"The supervisor suggests that the student should search for a topic before starting to write the thesis, but it is not mandatory. The student can start writing the thesis before finding a topic, but it is not the best practice.",-,-
Search for a topic,Conduct regular catch-up meetings,-,"The supervisor mentioned that regular meetings are not mandated by the university, but are a common practice among supervisors to ensure the student is on track with their thesis.",-,-
Search for a topic,Submit thesis on Koinon,-,-,"The supervisor can decide whether to require a proposal or not, and the student can start writing the thesis before being registered, which means that the student can start writing the thesis before submitting it on Koinon.",Data Dependency: You cannot submit a thesis without having written it.
Search for a topic,Present thesis in Colloquium,"The examination regulations state that the colloquium must happen after the thesis is submitted, which is a rule enforced by the university.",-,-,"You cannot present a thesis before it is written, which is a logical dependency."
Conduct informal meeting to explain topic,Write and submit proposal,-,"The supervisor states that the informal meeting is not mandatory, but it is necessary and what supervisors usually do. This indicates that it is a best practice, as it is not required by any law or rule, but it is considered a good practice by the supervisor.",-,-
Conduct informal meeting to explain topic,Get registered by chair on Koinon,-,"The supervisor states that the informal meeting is not mandatory, but it is necessary and what the supervisors usually do. This indicates that the meeting is a best practice, as it is not required by any regulation but is considered beneficial by the supervisor.",-,-
Conduct informal meeting to explain topic,Student accept thesis on Koinon,-,"The supervisor states that the informal meeting is not mandatory, but it is a best practice to ensure that the student understands the topic and its outcomes. This is a common practice in academia, but not a requirement.",-,-
Conduct informal meeting to explain topic,Start writing thesis,-,"The supervisor states that the informal meeting is not mandatory, but it is necessary and what supervisors usually do. This suggests that it is a best practice, as it is not required by any law or rule, but is considered a good way to proceed.",-,-
Conduct informal meeting to explain topic,Conduct regular catch-up meetings,-,"The supervisor states that the university does not mandate regular meetings, but that it is a best practice to have regular meetings with the student to ensure they are on track with their thesis.",-,-
Conduct informal meeting to explain topic,Submit thesis on Koinon,-,"The supervisor states that the informal meeting is not mandatory, but it is a best practice to ensure that the student understands the topic and its outcomes.",-,-
Conduct informal meeting to explain topic,Present thesis in Colloquium,-,"The supervisor states that the informal meeting is not mandatory, but it is a best practice to ensure that the student understands the topic and its outcomes. The colloquium is mandatory after the thesis is submitted, and the supervisor states that the colloquium is mandated by the university's examination regulations.",-,-
Write and submit proposal,Get registered by chair on Koinon,-,-,"The supervisor mentioned that the chair decides whether a proposal is required or not, and the student confirmed that some chairs do not require a proposal. Therefore, the proposal is not a mandatory requirement for registration.",-
Write and submit proposal,Student accept thesis on Koinon,-,-,"The supervisor mentioned that the proposal is saved locally by the chair and the advisor registers the thesis on Koinon. This implies that the proposal is not directly used to register the thesis on Koinon, but rather serves as a preliminary step for the advisor to register the thesis on Koinon.",-
Write and submit proposal,Start writing thesis,-,-,"The supervisor can decide whether or not to require a proposal, and the student can start writing the thesis before the proposal is submitted, but it is not the standard practice.",-
Write and submit proposal,Conduct regular catch-up meetings,-,"The supervisor mentioned that the university mandates 0.2 semester weekly hours for the bachelor thesis, which represents maybe 10 minutes or so per week. However, the supervisor also mentioned that this is not realistic because a bachelor thesis student didn't write a thesis before, so they are learning, they have several mistakes and so on. So what the supervisors usually do is to have the longer weekly meetings with the bachelor students.",-,-
Write and submit proposal,Submit thesis on Koinon,-,-,"The supervisor can choose to require a proposal or not, and the student can start writing the thesis before being registered, which means that the proposal is not a mandatory step for the student to be able to submit the thesis.",-
Write and submit proposal,Present thesis in Colloquium,-,-,-,Logical dependency from the first activity
