sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Scan ticket;Change number of bags;-;-;The relationship between scanning the ticket and changing the number of bags is a business rule controlled by the airline. The airline can decide to allow or disallow changes to the number of bags after the ticket has been scanned, based on their own business policies and operational requirements.;-
Scan ticket;Change seat;-;-;The order of scanning the ticket before changing the seat is a business rule set by the airline. The airline requires the ticket information to be retrieved first before making any changes to the seat assignment, as this allows them to track the passenger details and apply any relevant fees or restrictions.;-
Scan ticket;Check validity of documents;-;Checking the validity of documents is a standard procedure in the check-in process to ensure the passenger is authorized to travel. Scanning the ticket first provides the necessary information to associate the documents with the specific passenger.;-;-
Scan ticket;Weigh baggage;-;-;The order of scanning the ticket before weighing the baggage is a business rule set by the airline, as it allows them to access the passenger information and the booked luggage allowance before processing the check-in. This gives them the necessary information to handle any change requests or additional fees for overweight luggage.;-
Scan ticket;Cancel check-in;-;-;The order of scanning the ticket before canceling the check-in is a business rule set by the organization. It ensures that the passenger information is retrieved and associated with the check-in process before the check-in is canceled, allowing for proper record-keeping and handling of any changes or issues.;-
Scan ticket;Process payment;-;-;The order of these activities is a business rule set by the airline to ensure that the passenger information is obtained from the ticket before processing the payment. This allows the airline to associate the payment with the specific passenger and their booking details.;-
Scan ticket;Check-in luggage;-;-;The airline requires the ticket information to be scanned and the passenger details retrieved before the luggage can be checked in. This allows the system to associate the luggage to the passenger and handle any changes or additional fees. This is a business rule set by the airline to ensure efficient and accurate luggage handling.;-
Scan ticket;Load luggage;-;Scanning the ticket is a common procedure to retrieve passenger information, such as the number of bags booked, before handling the luggage. This allows the agent to properly process any change requests and ensure the luggage information is correctly associated with the passenger's ticket.;-;-
Change number of bags;Change seat;-;-;The order of these two activities is a business rule set by the airline. The airline allows passengers to make changes to the number of bags and the seat assignment. The order in which these changes are made is at the discretion of the airline and can be changed or discarded as per their requirements.;-
Change number of bags;Check validity of documents;-;-;The order of these activities is a business rule set by the airline, as they want to ensure the passenger's documents are valid before making changes to the booking, such as the number of bags. This allows them to avoid unnecessary effort if the passenger is not able to travel.;-
Change number of bags;Weigh baggage;-;-;The order of these activities is a business rule set by the airline to ensure that the updated number of bags is associated with the passenger's ticket information before the bags are weighed. This allows the airline to accurately calculate the total weight and plan the aircraft load accordingly.;-
Change number of bags;Cancel check-in;-;-;The order of these activities is a business rule set by the organization. Changing the number of bags should happen before canceling the check-in, as canceling the check-in would undo all the previous changes made. This allows the airline to maintain control over the check-in process and associated data.;-
