First Activity,Second Activity,Governmental Law,Best Practice,Business Rule,Law of Nature
Search for a topic,Conduct informal meeting to explain topic,-,"The informal meeting is a common practice among supervisors to ensure that the student understands the topic and is interested in it, although it is not mandated by the university.",-,-
Search for a topic,Write and submit proposal,-,"The proposal writing typically follows the topic search as a way to formalize the chosen topic and outline the intended research, which is a common practice among supervisors and students.",-,-
Search for a topic,Get registered by chair on Koinon,-,"The search for a topic is a common practice that students engage in before the formal registration process, allowing them to identify suitable thesis topics and consult with their supervisors.",-,-
Search for a topic,Student accept thesis on Koinon,-,"The search for a topic is a common practice that students engage in before formally accepting the thesis on Koinon, ensuring they are well-informed about their options.",-,-
Search for a topic,Start writing thesis,-,"It is common practice for students to begin writing their thesis after they have selected a topic, as this helps them to develop their ideas and research further.",-,-
Search for a topic,Conduct regular catch-up meetings,-,"Conducting regular catch-up meetings is a common practice among supervisors to ensure students stay on track with their thesis work, although it is not mandated by the university.",-,-
Search for a topic,Submit thesis on Koinon,"The submission of the thesis is mandated by the university's examination regulations, which require that students must be registered in the system before they can submit their thesis.",-,-,-
Search for a topic,Present thesis in Colloquium,The presentation of the thesis in the colloquium is mandated by the university's examination regulations to occur after the thesis has been submitted.,-,-,-
Conduct informal meeting to explain topic,Write and submit proposal,-,"The informal meeting is a common practice among supervisors to ensure that the student understands the topic and is convinced about it before proceeding to write the proposal, although it is not mandated by the university.",-,-
Conduct informal meeting to explain topic,Get registered by chair on Koinon,-,The informal meeting is a common practice among supervisors to ensure that the student understands the topic and is convinced about it before proceeding with the registration process.,-,-
Conduct informal meeting to explain topic,Student accept thesis on Koinon,-,"The informal meeting is a common practice to ensure the student understands the topic and is convinced before accepting the thesis, although it is not mandated by the university.",-,-
Conduct informal meeting to explain topic,Start writing thesis,-,The informal meeting is a common practice among supervisors to ensure that the student understands the topic and is convinced about it before they start writing the thesis.,-,-
Conduct informal meeting to explain topic,Conduct regular catch-up meetings,-,"Regular catch-up meetings are a common practice among supervisors to ensure students stay on track with their thesis work, although not mandated by the university.",-,-
Conduct informal meeting to explain topic,Submit thesis on Koinon,-,"The informal meeting is a common practice to ensure that the student understands the topic and is prepared to write the thesis, which is beneficial before the submission.",-,-
Conduct informal meeting to explain topic,Present thesis in Colloquium,"The presentation of the thesis in the colloquium is mandated by the university's examination regulations, which require that the colloquium must occur after the thesis submission.",-,-,-
Write and submit proposal,Get registered by chair on Koinon,-,"Writing and submitting a proposal is a common practice that helps ensure the thesis topic is well-defined and agreed upon before registration, although it is not mandated by the university.",-,-
Write and submit proposal,Student accept thesis on Koinon,-,Submitting a proposal is a common practice to ensure that the student and supervisor are aligned on the thesis topic before the student formally accepts the thesis on Koinon.,-,-
Write and submit proposal,Start writing thesis,-,Writing and submitting a proposal is a common practice that helps ensure the student is prepared and has a clear plan before starting the thesis writing process.,-,-
Write and submit proposal,Conduct regular catch-up meetings,-,"Conducting regular catch-up meetings is a common practice among supervisors to ensure that students are on track with their thesis work, although it is not mandated by the university.",-,-
Write and submit proposal,Submit thesis on Koinon,-,"Writing and submitting a proposal is a common practice to ensure that the thesis topic is well-defined and approved before the actual thesis submission, although it is not mandated by the university.",-,-
Write and submit proposal,Present thesis in Colloquium,"The presentation of the thesis in the colloquium must occur after the thesis has been submitted, as mandated by the university's examination regulations.",-,-,-
Get registered by chair on Koinon,Student accept thesis on Koinon,-,"The sequence of these activities reflects a common practice in the process, where the chair registers the thesis first, and then the student accepts it, ensuring clarity and formal acknowledgment of the thesis registration.",-,-
Get registered by chair on Koinon,Start writing thesis,-,-,"The registration on Koinon is a requirement set by the university for the official start of the thesis process, but the student can start writing the thesis before being registered if they choose to do so.",-
Get registered by chair on Koinon,Conduct regular catch-up meetings,-,"Conducting regular catch-up meetings is a common practice among supervisors to ensure students are on track with their thesis work, although it is not mandated by the university.",-,-
Get registered by chair on Koinon,Submit thesis on Koinon,"The submission of the thesis is only allowed after the student has been officially registered on Koinon, as mandated by the university's examination regulations.",-,-,-
Get registered by chair on Koinon,Present thesis in Colloquium,"The presentation of the thesis in the colloquium must occur after the thesis has been officially registered and submitted, as mandated by the university's examination regulations.",-,-,-
