sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;-;The supervisor provides topics and allows students to choose their own, or do research and present it. The supervisor has the discretion to approve or reject the chosen topic, which is a business rule.;-
Search for a topic;Write and submit proposal;-;-;The relationship between these activities is governed by an organizational rule set by the chair or supervisor, which allows students to search for topics before writing and submitting proposals. This rule is not mandated by any governmental institution nor is it a widely accepted best practice in the industry.;-
Search for a topic;Get registered by chair on Koinon;-;The category best describes the contextual origin of why 'Search for a topic' occurs before 'Get registered by chair on Koinon'. This is because the Student Service Center suggests that students come to their consultation hour or write an email asking if it's okay to apply for the thesis in Koinon, which implies that searching for topics is a preparatory step before registration. This process seems to be widely accepted and followed within the organization.;-;-
Search for a topic;Student accept thesis on Koinon;-;-;The relationship between these activities is governed by the organization's rules and procedures, specifically the process of registering and submitting a thesis on Koinon portal. The category 'Best Practice' does not apply because it is not an industry-wide accepted procedure, but rather a specific requirement for this academic institution.;-
Search for a topic;Start writing thesis;-;-;The search for a topic must occur before starting to write the thesis as it is a necessary step in the process, and the chair or professor's agreement on the topic is required. This is reflected in the examination regulations.;-
Search for a topic;Conduct regular catch-up meetings;-;The context suggests that the student has chosen to have regular meetings with their supervisor as a way to ensure they stay on track with their thesis, and it is not mandated by any governmental institution or organization. It is also implied that this is a common practice among supervisors.;-;-
Search for a topic;Submit thesis on Koinon;-;-;The ordering is due to the rules set by the organization (Student Service Center and/or university) that governs the process of submitting a thesis. The student must first search for a topic, then submit it on Koinon, as part of the official four-month research phase.;-
Search for a topic;Present thesis in Colloquium;The colloquium must happen after the thesis is submitted, which is mandated by the university's examination regulations.;-;-;-
Conduct informal meeting to explain topic;Write and submit proposal;-;The justification for this category is that the student's advisor prefers students to read about the resources and know more about the topic before explaining what should be done, which is a procedure accepted by the organization's staff (in this case, the advisor). This is not mandated by any governmental institution or business rule.;-;yes, justification: The ordering is due to a law of nature as it is based on logical dependency. The advisor needs to explain the topic in detail before the student can start writing the proposal.
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;-;The Business Rule category fits because the ordering is based on a process established within the organization (Student Service Center) and can be changed or discarded at their discretion. The order of activities is determined by the stakeholders involved in the process, rather than being dictated by external laws or best practices.;-
Conduct informal meeting to explain topic;Student accept thesis on Koinon;-;-;The consultation session and the student's acceptance of the thesis topic on Koinon are process steps that are specific to this organization (Student Service Center) and are governed by their own rules and procedures.;-
Conduct informal meeting to explain topic;Start writing thesis;-;The context suggests that the advisor and the student have a regular meeting schedule, which is not mandated by any governmental institution or law. This practice seems to be widely accepted among advisors and students as a means of ensuring the student's understanding of the topic and their commitment to writing a thesis.;-;-
Conduct informal meeting to explain topic;Conduct regular catch-up meetings;-;The supervisor and students' usual practice is to have a initial meeting where the topic is explained in detail, and then have follow-up meetings to keep track of progress. This is not mandatory by the university, but it's what supervisors usually do.;-;-
Conduct informal meeting to explain topic;Submit thesis on Koinon;-;-;The reason why 'Conduct informal meeting to explain topic' occurs before 'Submit thesis on Koinon' is that the Student Service Center suggests students come for a consultation hour or write an email asking if it's okay to apply for the thesis in Koinon, and this step needs to happen before registration. This is not a requirement enforced by government regulations or industry standards, but rather a rule established by the organization (Student Service Center) that can change or be discarded at their discretion.;-
