sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;While there is no mention of a university-wide or departmental rule mandating an informal meeting after a student searches for a topic, multiple supervisors mention conducting these meetings as part of their process. Supervisor 1 prefers students to familiarize themselves with the topic beforehand, highlighting a common practice for better understanding and discussion. Supervisor 2 also mentions providing topics and then allowing students to research and discuss their suitability. This suggests that holding informal meetings for topic explanation is a common and accepted practice within the department, making it a best practice.;-;-
Search for a topic;Write and submit proposal;-;-;-;There is a data dependency between the two activities. You cannot write and submit a proposal without first identifying a topic. The second activity thus depends on data from the first activity to proceed with the process.
Search for a topic;Get registered by chair on Koinon;-;-;-;There is a data dependency between the two activities. The chair cannot register a student on Koinon for a thesis without knowing the topic of the thesis, and the student cannot know what topic to register for before searching for a topic. The second activity thus depends on data from the first activity to proceed with the process.
Search for a topic;Student accept thesis on Koinon;-;-;-;There is a data dependency between the two activities. The student cannot accept a thesis on Koinon without first having a topic. The second activity thus depends on data from the first activity to proceed with the process.
Search for a topic;Start writing thesis;-;-;-;There is a data dependency between the two activities. You cannot start writing a thesis without having a topic. The second activity thus depends on data from the first activity to proceed with the process.
Search for a topic;Conduct regular catch-up meetings;-;-;-;There is a logical dependency between the two activities. Catch-up meetings, in this case, are about the thesis topic, so the topic needs to be determined before having meetings to discuss it. The second activity thus depends on data from the first activity to proceed with the process.
Search for a topic;Submit thesis on Koinon;-;-;-;There is a data dependency between the two activities. You cannot submit a thesis to Koinon without first identifying a topic for the thesis. The second activity thus depends on data from the first activity to proceed with the process.
Search for a topic;Present thesis in Colloquium;-;-;-;There is a data dependency between the two activities. You cannot present a thesis in the colloquium without first having searched for a topic, as the topic is the basis of the thesis. The second activity thus depends on data from the first activity to proceed with the process.
Conduct informal meeting to explain topic;Write and submit proposal;-;The supervisor states that they prefer to have an informal meeting to explain the topic after the student has read some resources. This suggests that it is a procedure they deem superior, but not mandatory, as other chairs do not require proposals at all. Therefore, it aligns with the definition of a best practice.;-;There is a data dependency between the two activities. The student needs the information from the informal meeting, where the topic is explained, to write the proposal. Therefore, the second activity depends on data from the first activity.
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;The Student Service Center suggests that students attend a consultation hour or write an email to inquire about applying for the thesis in Koinon before registration. This suggestion implies that it's a recommended practice and not a mandatory requirement.;-;-
Conduct informal meeting to explain topic;Student accept thesis on Koinon;-;The Student Service Center highly suggests that students attend a consultation hour or reach out via email to discuss the thesis topic before registration on Koinon. This suggestion, while strongly encouraged, doesn't appear to be a mandatory requirement from the university or the department. Therefore, it aligns with the definition of a best practice, as it's presented as an advisable course of action rather than a strict rule.;-;-
Conduct informal meeting to explain topic;Start writing thesis;-;The provided text states that there is usually an informal meeting to explain the thesis topic to the student and gauge their interest. It is also mentioned that regular meetings with the advisor are common but not a university rule, rather it is what supervisors usually do. This suggests that the informal meeting and subsequent thesis writing are part of a common practice within the university, making it a 'Best Practice'.;-;-
Conduct informal meeting to explain topic;Conduct regular catch-up meetings;-;The supervisor mentions that explaining the topic in detail after the student has read about it is something they prefer to do and that it's not mandatory. They also mention that regular meetings are something supervisors usually do, but it's not a university rule. This suggests that both activities are considered best practices within the context of thesis supervision, rather than enforced rules.;-;-
Conduct informal meeting to explain topic;Submit thesis on Koinon;-;The student service center suggests that students attend a consultation hour or write an email to inquire about applying for the thesis in Koinon. This suggests that this informal meeting is a recommendation and not mandatory, making it a best practice.;-;-
Conduct informal meeting to explain topic;Present thesis in Colloquium;-;-;-;-
Write and submit proposal;Get registered by chair on Koinon;-;-;The interview snippets reveal that the requirement for a proposal before registration on Koinon varies by chair. Some chairs mandate it, while others don't. This signifies that the rule is not universally enforced by the university or a governing body, but rather at the discretion of each chair, making it a business rule.;-
Write and submit proposal;Student accept thesis on Koinon;-;-;-;-
