sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;In academia, it is a common practice for students to search for topics before discussing them in detail with professors or supervisors. This helps students familiarize themselves with the subject matter before engaging in a detailed explanation.;-;-
Search for a topic;Write and submit proposal;-;-;The process of searching for a topic is a business rule set by the chair or the university, which dictates the order of activities. It is not a governmental law or a best practice, as it is specific to the organization's rules.;-
Search for a topic;Get registered by chair on Koinon;-;It is a common practice in academic settings for students to search for topics before getting them registered by the chair. This sequence ensures that the topic is agreed upon before formal registration.;-;-
Search for a topic;Student accept thesis on Koinon;-;-;The order is determined by the internal rules and procedures of the organization regarding the process of accepting and submitting the thesis.;-
Search for a topic;Start writing thesis;-;In academic settings, it is a common practice for students to first search for a topic, consult with professors, and finalize the topic before starting to write the thesis. This ensures that the research direction is clear and approved before proceeding with the writing phase.;-;-
Search for a topic;Conduct regular catch-up meetings;-;The order is based on the best practice of first identifying and finalizing the topic before starting regular catch-up meetings to discuss progress and updates.;-;-
Search for a topic;Submit thesis on Koinon;-;In the context provided, it is a common practice for students to first search for a topic before submitting their thesis on Koinon. This sequence ensures that students have a well-thought-out topic before proceeding to the submission stage.;-;-
Search for a topic;Present thesis in Colloquium;-;-;The university's examination regulations mandate that the colloquium must happen after the thesis is submitted.;-
Conduct informal meeting to explain topic;Write and submit proposal;-;The best practice in this context is to first have an informal meeting to explain the topic before writing and submitting the proposal to ensure that the student is well-informed and prepared to proceed with the proposal.;-;-
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;It is a common practice in academic settings for students to first discuss and explain their topics informally before officially registering them with the chair. This helps ensure alignment and approval before formal registration.;-;-
Conduct informal meeting to explain topic;Student accept thesis on Koinon;-;In the academic context, it is a common best practice for students to have an informal meeting to discuss and understand the thesis topic before officially accepting it. This helps ensure that the student is fully informed and engaged in the research process.;-;-
Conduct informal meeting to explain topic;Start writing thesis;-;The best practice in this academic setting is to first have an informal meeting to explain the thesis topic to the student before they start writing the thesis. This allows the student to understand the topic better and decide if they are interested in it before committing to writing the thesis.;-;-
Conduct informal meeting to explain topic;Conduct regular catch-up meetings;-;The order of conducting an informal meeting to explain the topic before conducting regular catch-up meetings is a best practice commonly followed in academic settings to ensure that the student has a good understanding of the topic before engaging in regular catch-up meetings to discuss progress and updates.;-;-
Conduct informal meeting to explain topic;Submit thesis on Koinon;-;In academia, it is a common best practice for students to have an informal meeting to discuss and explain their thesis topic before officially submitting it. This helps ensure that the topic is well-understood and agreed upon by both the student and the supervisor before proceeding with the submission.;-;-
Conduct informal meeting to explain topic;Present thesis in Colloquium;-;The informal meeting to explain the topic to the student is a common practice to ensure the student understands the thesis before presenting it in the colloquium. It helps in clarifying doubts and aligning expectations, making the presentation more effective.;-;-
Write and submit proposal;Get registered by chair on Koinon;-;In academic settings, it is a common best practice for students to write and submit a proposal before getting registered by the chair on a platform like Koinon to ensure clarity and alignment of the research topic and objectives.;-;-
Write and submit proposal;Student accept thesis on Koinon;-;Writing and submitting a proposal is a common practice before officially accepting a thesis, as it helps outline the scope and objectives of the thesis work.;-;-
Write and submit proposal;Start writing thesis;-;In academic settings, it is a common best practice to first write and submit a proposal outlining the research plan before starting to write the actual thesis. This helps in clarifying the research objectives, methodologies, and timelines before diving into the detailed writing process.;-;-
Write and submit proposal;Conduct regular catch-up meetings;-;The context mentions that it is common for supervisors to have regular weekly or bi-weekly meetings to ensure the student is on track with their thesis. While it is not a university rule, it is a practice that is usually followed by supervisors to support the progress of the thesis. Therefore, conducting regular catch-up meetings is considered a best practice in this scenario.;-;-
Write and submit proposal;Submit thesis on Koinon;-;Writing and submitting a proposal is a common practice before submitting a thesis, as it helps in outlining the research plan and gaining approval before proceeding with the full thesis. It is a standard procedure in academic settings.;-;-
Write and submit proposal;Present thesis in Colloquium;The university's examination regulations mandate that the colloquium must happen after the thesis is submitted.;-;-;-
Get registered by chair on Koinon;Student accept thesis on Koinon;-;-;The order is determined by the internal process rules of the organization regarding the registration and acceptance of the thesis on the Koinon portal.;-
Get registered by chair on Koinon;Start writing thesis;-;-;The order is determined by the internal process rules of the organization regarding the registration process before initiating the thesis writing.;-
Get registered by chair on Koinon;Conduct regular catch-up meetings;-;-;The order of activities is determined by the internal rules and procedures of the organization, where getting registered by the chair on Koinon is a prerequisite before conducting regular catch-up meetings.;-
Get registered by chair on Koinon;Submit thesis on Koinon;-;The best practice in this academic process is for the chair to register the student's topic before the student submits the thesis. This ensures that all necessary information and approvals are in place before the thesis submission.;-;-
Get registered by chair on Koinon;Present thesis in Colloquium;-;-;The order is determined by the internal process rules set by the organization regarding the registration and presentation of the thesis.;-
Student accept thesis on Koinon;Start writing thesis;-;The best practice in this process is for the student to officially accept the thesis on Koinon before starting to write the thesis. This ensures that all necessary administrative steps are completed before the student begins working on the thesis.;-;-
Student accept thesis on Koinon;Conduct regular catch-up meetings;-;-;The order is determined by the internal rules and procedures of the organization regarding the thesis submission process.;-
Student accept thesis on Koinon;Submit thesis on Koinon;-;-;The order is determined by the rule that the student must first accept the thesis on Koinon before submitting it. This rule is under the jurisdiction of the stakeholders involved in the process.;-
Student accept thesis on Koinon;Present thesis in Colloquium;The university's examination regulations mandate that the colloquium must happen after the thesis is submitted.;-;-;-
Start writing thesis;Conduct regular catch-up meetings;-;Regular catch-up meetings with the advisor to check the development and progress of the thesis are considered a best practice in academia to ensure the student stays on track and receives feedback. While not a university rule, it is a common practice followed by supervisors.;-;-
Start writing thesis;Submit thesis on Koinon;-;The best practice in academic settings is for students to start writing their thesis before submitting it for approval on a platform like Koinon. This allows students to have a draft ready for submission and review.;-;-
Start writing thesis;Present thesis in Colloquium;The university's examination regulations mandate that the colloquium must happen after the thesis is submitted, as stated by Supervisor 1.;-;-;-
Conduct regular catch-up meetings;Submit thesis on Koinon;-;Regular catch-up meetings are a common best practice in academic settings to ensure progress, provide support, and address any issues that may arise during the thesis preparation phase.;-;-
Conduct regular catch-up meetings;Present thesis in Colloquium;The university's examination regulations mandate that the colloquium must happen after the thesis is submitted.;-;-;-
Submit thesis on Koinon;Present thesis in Colloquium;It is mandated by the university's examination regulations that the colloquium must happen after the thesis is submitted.;-;-;-
