sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;In academia, it is common for students to search for topics before engaging in detailed discussions with professors or supervisors.;-;-
Search for a topic;Write and submit proposal;-;The process of searching for a topic before writing and submitting a proposal is a common and recommended practice in academic settings to ensure students have a well-thought-out and feasible topic for their thesis.;-;-
Search for a topic;Get registered by chair on Koinon;-;It is a common and accepted procedure within academic institutions for students to first search for a topic and then get it approved and registered by the chair or supervisor.;-;-
Search for a topic;Student accept thesis on Koinon;-;In academic settings, it is a common practice for students to first search for a topic before officially accepting a thesis topic. This sequence allows students to explore different research areas, identify their interests, and choose a topic that aligns with their academic goals and capabilities.;-;-
Search for a topic;Start writing thesis;-;In academic settings, it is common practice for students to first search for a suitable topic for their thesis before they begin the actual writing process to ensure alignment with research objectives and academic requirements.;-;No
Search for a topic;Conduct regular catch-up meetings;-;The activities follow a common practice in academic settings where students search for topics and get approval before engaging in regular meetings to track progress.;-;-
Search for a topic;Submit thesis on Koinon;-;-;The student service center suggests that students search for a topic and get approval before applying for the thesis in Koinon, indicating an internal rule within the organization.;-
Search for a topic;Present thesis in Colloquium;-;In academic settings, it is common practice for students to first search for a topic, get approval, and then proceed with the thesis work before presenting in a colloquium.;-;-
Conduct informal meeting to explain topic;Write and submit proposal;-;It is a procedure accepted by the organization's staff to be superior to alternatives.;-;-
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;In academic settings, it is a common practice for students to have an informal meeting with their advisor or chair to discuss and explain the topic they are interested in before officially registering it.;-;-
Conduct informal meeting to explain topic;Student accept thesis on Koinon;-;In academic settings, it is a common practice for students to have an informal meeting with their advisor or supervisor to discuss and explain the thesis topic before officially accepting it. This practice allows for clarification of expectations, alignment of goals, and ensures that the student is fully informed and committed to the chosen topic before proceeding with the formal acceptance process on the Koinon portal.;-;-
Conduct informal meeting to explain topic;Start writing thesis;-;It is a common practice in academia for students to have informal meetings with their advisors to discuss and explain the thesis topic before officially starting to write the thesis.;-;-
Conduct informal meeting to explain topic;Conduct regular catch-up meetings;-;The process of first having an informal meeting to explain the topic before conducting regular catch-up meetings is a procedure that is usually accepted by supervisors or the industry as a superior way of guiding students through their research and thesis writing process.;-;-
Conduct informal meeting to explain topic;Submit thesis on Koinon;-;In academic settings, it is a common practice for students to have informal meetings with their advisors or supervisors to discuss and explain their thesis topics before officially submitting the thesis.;-;-
Conduct informal meeting to explain topic;Present thesis in Colloquium;-;In academia, it is a common practice for students to have an informal meeting with their supervisor or committee members to discuss and explain their thesis topic before presenting it in a formal setting like a colloquium. This informal meeting allows for feedback, clarification, and alignment of expectations between the student and the supervisor, which can ultimately enhance the quality of the thesis presentation during the colloquium.;-;-
Write and submit proposal;Get registered by chair on Koinon;-;-;The student service center suggests that students write and submit a proposal before proceeding with the registration process on Koinon, indicating a business rule within the organization.;-
Write and submit proposal;Student accept thesis on Koinon;-;The order is based on the common practice in academic settings where students first submit a proposal before officially accepting the thesis on a platform like Koinon.;-;No
Write and submit proposal;Start writing thesis;-;Submitting a proposal helps in planning and ensuring the feasibility of completing the thesis within a specified timeframe.;-;-
Write and submit proposal;Conduct regular catch-up meetings;-;The process of writing and submitting a proposal before conducting regular catch-up meetings is a common practice followed by supervisors to ensure that the student is on track with their thesis work.;-;Yes - The nature of the thesis work process dictates that the proposal needs to be developed and submitted first before regular catch-up meetings can be conducted.
Write and submit proposal;Submit thesis on Koinon;-;-;The process of writing and submitting a proposal is a standard practice within academic institutions before officially registering and submitting a thesis.;-
Write and submit proposal;Present thesis in Colloquium;It is mandated by the university's examination regulations that the colloquium must happen after the thesis is submitted.;-;-;Yes - Logical dependency
Get registered by chair on Koinon;Student accept thesis on Koinon;-;The chair registering the student before the student accepts the thesis is a common practice to ensure all necessary information is in place before proceeding.;-;-
Get registered by chair on Koinon;Start writing thesis;-;-;The chair needs to register the student via the Koinon portal before the student can start writing the thesis, which seems to be a specific requirement or protocol set by the organization or department involved in the thesis process.;-
Get registered by chair on Koinon;Conduct regular catch-up meetings;-;-;The order of activities is determined by the internal procedures and guidelines set by the organization or department involved in the process.;-
Get registered by chair on Koinon;Submit thesis on Koinon;-;-;The chair needs to register the student and the thesis topic on Koinon before the student can submit their thesis, which is likely a business rule set by the organization or stakeholders involved in the process.;No
Get registered by chair on Koinon;Present thesis in Colloquium;-;-;The chair registers the student via the Koinon portal before the thesis is confirmed and graded, likely a specific rule or procedure set by the organization.;-
Student accept thesis on Koinon;Start writing thesis;-;-;The process is governed by the rules and procedures set by the organization or stakeholders involved in the thesis process.;-
Student accept thesis on Koinon;Conduct regular catch-up meetings;-;-;The acceptance of the thesis on Koinon marks a crucial step where the student officially begins working on their thesis, ensuring all necessary administrative procedures are completed before progressing.;-
Student accept thesis on Koinon;Submit thesis on Koinon;-;The student accepting the thesis before submission ensures clarity and agreement on the task at hand.;-;-
Student accept thesis on Koinon;Present thesis in Colloquium;The university's examination regulations mandate that the colloquium must happen after the thesis is submitted.;-;-;Yes - Logical dependency
Start writing thesis;Conduct regular catch-up meetings;-;It is a common practice in academic settings for students working on a thesis to start writing before conducting regular catch-up meetings with their advisor.;-;-
Start writing thesis;Submit thesis on Koinon;-;-;The process of starting to write the thesis logically precedes the submission of the thesis on the Koinon portal.;-
Start writing thesis;Present thesis in Colloquium;-;-;The specific order of activities is determined by the university's examination regulations, which mandate that the colloquium must happen after the thesis is submitted.;-
Conduct regular catch-up meetings;Submit thesis on Koinon;-;-;It is a common practice within academic institutions for students to have regular catch-up meetings with their advisors or supervisors to discuss their progress and receive feedback before submitting their thesis. These meetings are essential for the student's academic success and the quality of the thesis.;-
Conduct regular catch-up meetings;Present thesis in Colloquium;-;Regular catch-up meetings with the supervisor are considered a best practice in academia to ensure that the student is on track with their thesis development, implementation, and writing.;-;Yes - The university's examination regulations mandate that the colloquium must happen after the thesis is submitted.
Submit thesis on Koinon;Present thesis in Colloquium;It is mandated by the university's examination regulations that the colloquium must happen after the thesis is submitted.;-;-;-
