sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;In the interview with the supervisor, they mention that they prefer the student to read about the resources and know more about the topic before explaining it in detail during the meeting. This indicates that conducting an informal meeting to explain the topic after the student has searched for a topic is a procedure accepted by the supervisors as a superior practice, hence, a best practice.;-;-
Search for a topic;Write and submit proposal;-;-;The interview with the student and the supervisor indicates that writing a proposal is not mandated by the university but is a rule set by each chair. Some chairs do not require a proposal before registering the thesis. This suggests that the relationship between searching for a topic and writing and submitting a proposal is a business rule, as it is under the full jurisdiction of the chair, a stakeholder of the process.;-
Search for a topic;Get registered by chair on Koinon;-;-;The process description mentions that before the student is registered in Koinon and before talking to the chair, the student service center suggests that they come to a consultation hour or write an email to ask if it's okay to apply for the thesis in Koinon. This indicates that the relationship between searching for a topic and getting registered by the chair on Koinon is a business rule, as it is a rule under the full jurisdiction of the stakeholders involved in the process.;-
Search for a topic;Student accept thesis on Koinon;-;-;The process description indicates that before the student can accept the thesis on Koinon, they need to search for a topic and write the thesis. This order is not mandated by any external regulations or best practices but is a rule set by the stakeholders involved in the process, such as the chair and the student service center.;-
Search for a topic;Start writing thesis;-;-;The process description mentions that students need to search for topics and consult with the chair or professor before registering the topic for the thesis. This indicates that the relationship between searching for a topic and starting to write the thesis is a business rule set by the chair or professor, who are stakeholders in the process.;-
Search for a topic;Conduct regular catch-up meetings;-;The student mentions that having regular catch-up meetings with the supervisor is not a university rule but rather a common practice among supervisors to ensure students are on track with their thesis. This indicates that the relationship between searching for a topic and conducting regular catch-up meetings is considered a best practice within the academic setting.;-;-
Search for a topic;Submit thesis on Koinon;-;-;The process mentions that before the student is registered in Koinon and before talking to the chair, the student service center suggests that they come to a consultation hour or write an email to ask if it's okay to apply for the thesis in Koinon. This indicates that the relationship between searching for a topic and submitting the thesis on Koinon is a business rule, as it is a rule under the full jurisdiction of the student service center, a stakeholder of the process.;-
Search for a topic;Present thesis in Colloquium;-;-;The process description mentions that students search for topics and consult with the chair or professor before registering the topic for the thesis. This indicates that the relationship between searching for a topic and presenting the thesis in the colloquium is a business rule set by the chair or professor, who are stakeholders in the process.;-
Conduct informal meeting to explain topic;Write and submit proposal;-;In the interview with the supervisor, they mention that the informal meeting to explain the topic is preferred before writing and submitting the proposal. The supervisor states that they prefer the student to read about the resources and know more about the topic before explaining what should be done. This indicates that the informal meeting is considered a superior procedure by the supervisor, making it a best practice.;-;-
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;-;The student service center suggests that students come to their consultation hour or write an email to ask if it's okay to apply for the thesis in Koinon before talking to the chair. This indicates that the relationship between the two activities is a business rule since it is under the full jurisdiction of the student service center, a stakeholder of the process.;-
