sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;The supervisor prefers the student to have some prior knowledge of the topic before the meeting, which is a best practice for effective communication and understanding.;-;-
Search for a topic;Write and submit proposal;-;-;The process of writing a proposal is not mandated by the university, but is a requirement set by the chair. This requirement is under the jurisdiction of the chair and can be changed or discarded at their discretion.;-
Search for a topic;Get registered by chair on Koinon;-;The process description suggests that the student is expected to search for a topic before getting registered by the chair on Koinon. This is a best practice because it allows the student to have a topic in mind before approaching the chair, making the registration process more efficient and focused. However, it is not a strict requirement, and the student could potentially approach the chair without a specific topic in mind.;-;-
Search for a topic;Student accept thesis on Koinon;-;-;The student service center suggests that students come to their consultation hour or write an email to ask if it's okay to apply for the thesis in Koinon before registering in Koinon. This is a rule that the student service center has set up to ensure that students are aware of the process and requirements before they apply for the thesis.;-
Search for a topic;Start writing thesis;-;-;The supervisor's statement that students can start writing their thesis before they are officially registered in the system indicates that the order of these activities is not mandated by any law or best practice. The supervisor's statement also indicates that the order of these activities is not a law of nature, as the student can start writing the thesis before being registered. Therefore, the order of these activities is a business rule that can be changed at the discretion of the stakeholders.;-
Search for a topic;Conduct regular catch-up meetings;-;The context mentions that regular meetings are not a university rule, but a common practice among supervisors. This suggests that the ordering is based on a widely accepted procedure considered beneficial for the thesis process.;-;-
Search for a topic;Submit thesis on Koinon;-;-;The student is given four months to search for a topic and write the thesis. This is a rule set by the university, and it is not a law or a best practice. It is a rule that can be changed by the university at any time.;-
Search for a topic;Present thesis in Colloquium;The context states that the colloquium must happen after the thesis is submitted, which is mandated by the university's examination regulations.;-;-;Yes, you cannot present a thesis in a colloquium without having a thesis to present.
Conduct informal meeting to explain topic;Write and submit proposal;-;The advisor prefers the student to read about the topic and resources before explaining the topic in detail. This is a best practice as it allows the student to better understand the topic and follow the advisor's explanation.;-;-
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;The process description suggests that the informal meeting is a best practice to ensure that the student has a clear understanding of the topic and that the chair is supportive of the student's choice. This is not a legal requirement, but it is a common practice in academic settings.;-;-
Conduct informal meeting to explain topic;Student accept thesis on Koinon;-;The informal meeting is a best practice to ensure the student is aware of the topic and its potential outcomes before committing to it. This is not a legal requirement, but it is a good practice to ensure the student is making an informed decision.;-;-
Conduct informal meeting to explain topic;Start writing thesis;-;The context mentions that it is common for supervisors to have regular meetings with students, but it is not a university rule. This suggests that the meeting is a best practice, a procedure that is widely accepted as beneficial but not mandatory.;-;-
Conduct informal meeting to explain topic;Conduct regular catch-up meetings;-;The supervisor states that it is not mandatory by the university, but it is necessary and what the supervisors usually do. This indicates that the activity is not enforced by any law, but is a common practice among supervisors.;-;-
Conduct informal meeting to explain topic;Submit thesis on Koinon;-;The informal meeting is a best practice to ensure the student is comfortable with the topic and the potential outcomes before committing to the thesis. This is not a legal requirement, but it is a common practice in academic settings to ensure student satisfaction and success.;-;-
