sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;The quotes suggest that the supervisor's preference for this order is based on their experience and belief that it leads to a better outcome. The supervisor believes that the student should have some initial understanding of the topic before a detailed explanation is provided. This is a common practice in academic settings, but not a mandatory rule.;-;-
Search for a topic;Write and submit proposal;-;-;The decision to require a proposal rests solely with the individual chair, not the university. This aligns with the definition of a business rule, which is under the jurisdiction of stakeholders (in this case, the chair) and can be changed at their discretion.;You cannot write a proposal without having a topic to propose. This is a logical dependency, as the proposal is a document outlining the chosen topic and the research plan.
Search for a topic;Get registered by chair on Koinon;-;-;The decision to search for a topic before registering is ultimately under the control of the chair and the student service center. The interviewee states that the student service center suggests students come for consultation before registering, indicating a preference for this order. This preference is a rule established by the stakeholders of the process, not a universally enforced standard.;-
Search for a topic;Student accept thesis on Koinon;-;-;-;Yes, due to data dependency
Search for a topic;Start writing thesis;-;-;The supervisor's statement about the chair's approval being necessary for registration strongly suggests that the chair has the authority to set this rule. The chair's approval is likely based on the topic's suitability and alignment with their research interests. This makes it a rule under the chair's jurisdiction, not a mandatory regulation.;You cannot write a thesis without having a topic to write about. This is a logical dependency, as the topic forms the foundation of the thesis.
Search for a topic;Conduct regular catch-up meetings;-;The context repeatedly highlights that regular meetings are "common" and "usually" done by supervisors. This suggests a widely accepted practice within the academic community, even if not formally mandated.;-;-
Search for a topic;Submit thesis on Koinon;-;-;-;Yes
Search for a topic;Present thesis in Colloquium;The provided context states that "it is mandated by the university's examination regulations that the colloquium must happen after the thesis is submitted." This clearly indicates a rule enforced by the university, a governmental institution.;-;-;You cannot present a thesis in a colloquium without having a topic to present. This is a logical dependency, as the thesis itself is built around the chosen topic.
Conduct informal meeting to explain topic;Write and submit proposal;-;-;The interviewee, a supervisor, clearly states their preference for the student to have an informal meeting to explain the topic before writing the proposal. This preference is based on their belief that it helps the student better understand the topic and resources. This preference is not a university-wide requirement, but rather a personal practice of the supervisor.;-
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;-;The process description indicates that the informal meeting is a common practice within the department, but not a strict requirement. The chair has the discretion to register the student without the meeting, although it's generally considered a good practice. The statement 'And then, if the chair agrees about the topic, there will be the registration of the topic for the thesis via the CIT portal, so by the chair' suggests that the chair's agreement is a prerequisite for registration, making the informal meeting a step towards that agreement.;-
Conduct informal meeting to explain topic;Student accept thesis on Koinon;-;The informal meeting is described as a way to "explain in detail the thesis topic to the student and see if the student likes this topic and the possible outcomes." This aligns with the definition of a best practice – a procedure considered beneficial but not mandatory. It's a way to ensure the student is well-informed and engaged with the topic before committing to it.;-;-
Conduct informal meeting to explain topic;Start writing thesis;-;The context explicitly states that regular meetings are "not a university rule" but rather a common practice among supervisors. This indicates that the ordering is not mandated by any external authority. While the supervisor might have a preference for this order, it's not a strict rule that they enforce. The student could potentially start writing without the meeting, although it's not recommended. The context suggests that the supervisor's decision to allow the student to start writing is based on their assessment of the student's commitment and understanding of the topic, which is gained through the informal meeting. The context highlights that regular meetings are "what the supervisors usually do" and are considered a common practice. This suggests that the ordering is based on a widely accepted approach within the academic community, considered beneficial for the student's progress and understanding.;-;-
