sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;The practice of searching for a topic before explaining it in a meeting is considered a best practice as it allows the student to be better prepared and informed, facilitating a more productive discussion.;-;No
Search for a topic;Write and submit proposal;-;Searching for a topic is a common preliminary step that students undertake before writing a proposal, as it ensures that the proposal is relevant and well-informed. This practice is generally accepted in academic settings but is not mandated by law or strict rules.;-;-
Search for a topic;Get registered by chair on Koinon;-;The process of searching for a topic is a preliminary step that is generally accepted as necessary before formal registration can occur, although it is not enforced by any law or rule.;-;No
Search for a topic;Student accept thesis on Koinon;-;It is generally accepted that students should first search for a topic before accepting a thesis to ensure they are committed to a subject they are interested in.;-;-
Search for a topic;Start writing thesis;-;Searching for a topic is a commonly accepted practice that helps students to gather necessary information and define their focus before beginning the writing process, although it is not a strict requirement.;-;-
Search for a topic;Conduct regular catch-up meetings;-;Conducting regular catch-up meetings is a common practice among supervisors to ensure students are on track with their thesis, but it is not a mandatory requirement.;-;-
Search for a topic;Submit thesis on Koinon;-;Searching for a topic is a necessary step that students typically follow before submitting their thesis, as it ensures that the thesis is relevant and well-defined.;-;No
Search for a topic;Present thesis in Colloquium;-;Searching for a topic is a necessary preparatory step that is generally accepted as a best practice before presenting a thesis, as it ensures that the student is well-informed and prepared for the presentation.;-;No
Conduct informal meeting to explain topic;Write and submit proposal;-;The informal meeting is a common practice to ensure that the student understands the topic before writing the proposal, which is not mandated but is considered a superior approach.;-;-
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;The informal meeting is a recommended step to ensure that the student and chair are aligned on the thesis topic before formal registration occurs, which is considered a best practice in the process.;-;-
Conduct informal meeting to explain topic;Student accept thesis on Koinon;-;The informal meeting is a recommended step to ensure that the student understands the topic before formally accepting the thesis, which is considered a best practice in academic settings.;-;-
Conduct informal meeting to explain topic;Start writing thesis;-;The informal meeting is a common practice among supervisors and students to ensure that the student understands the thesis topic and is prepared to start writing. This practice is not enforced by any law or rule but is widely accepted as beneficial for the student's progress.;-;-
Conduct informal meeting to explain topic;Conduct regular catch-up meetings;-;The informal meeting is a preferred method to ensure the student understands the topic before regular catch-up meetings, which are common but not mandatory.;-;-
Conduct informal meeting to explain topic;Submit thesis on Koinon;-;Conducting an informal meeting to explain the topic is a common practice to ensure that the student understands the thesis requirements and expectations before formally submitting their thesis.;-;-
Conduct informal meeting to explain topic;Present thesis in Colloquium;-;Conducting an informal meeting to explain the topic is a common practice to ensure that the student understands the thesis topic before formally presenting it in the colloquium.;-;-
Write and submit proposal;Get registered by chair on Koinon;-;Writing and submitting a proposal is a common practice that ensures the chair has the necessary information to register the thesis. It is not mandated by law but is considered a best practice in the academic process.;-;No
Write and submit proposal;Student accept thesis on Koinon;-;Writing and submitting a proposal is generally considered a necessary step before a student can officially accept a thesis topic, as it outlines the research plan and ensures that both the student and supervisor are aligned on the expectations.;-;-
Write and submit proposal;Start writing thesis;-;Writing a proposal is generally considered a best practice as it outlines the methodologies and framework for the thesis, ensuring that the student is prepared before starting the actual writing process.;-;No
Write and submit proposal;Conduct regular catch-up meetings;-;Regular catch-up meetings are commonly preferred by students and supervisors to ensure progress on the thesis, but they are not mandated by any university rule. The proposal serves as a foundation for these meetings.;-;No
Write and submit proposal;Submit thesis on Koinon;-;Writing and submitting a proposal is generally considered a necessary step before submitting the actual thesis, as it outlines the research plan and objectives. This is a widely accepted practice in academic settings, although not legally enforced.;-;No
Write and submit proposal;Present thesis in Colloquium;It is mandated by the university's examination regulations that the colloquium must happen after the thesis is submitted.;-;-;No
Get registered by chair on Koinon;Student accept thesis on Koinon;-;-;The process requires that the chair registers the student before the student can accept the thesis, as this is a procedural requirement set by the stakeholders involved in the thesis registration process.;-
Get registered by chair on Koinon;Start writing thesis;-;-;The process requires the student to be registered in Koinon before they can officially start writing their thesis, as this is a rule set by the stakeholders involved in the thesis process.;-
Get registered by chair on Koinon;Conduct regular catch-up meetings;-;Conducting regular catch-up meetings is a procedure that is usually accepted as beneficial for maintaining communication and progress, but it is not mandated by any law or rule.;-;-
Get registered by chair on Koinon;Submit thesis on Koinon;-;The process of getting registered by the chair is a necessary step that is generally accepted as a best practice before submitting the thesis, ensuring that all necessary approvals and registrations are in place.;-;No
Get registered by chair on Koinon;Present thesis in Colloquium;The registration process is a formal requirement that must be completed before a student can present their thesis, as outlined in the regulations governing the Bachelor Colloquium.;-;-;No
Student accept thesis on Koinon;Start writing thesis;-;The acceptance of the thesis on Koinon is a procedural step that is generally accepted as necessary before beginning the writing process, ensuring that all formalities are completed first.;-;-
Student accept thesis on Koinon;Conduct regular catch-up meetings;-;Conducting regular catch-up meetings is a procedure that is usually accepted as beneficial for monitoring progress, but it is not mandated by any law or rule.;-;-
Student accept thesis on Koinon;Submit thesis on Koinon;-;The acceptance of the thesis is a necessary step that allows the student to officially start the thesis process, which is generally accepted as a best practice in academic settings.;-;No
Student accept thesis on Koinon;Present thesis in Colloquium;The ordering is mandated by the university's examination regulations that require the thesis to be accepted and submitted before the colloquium can take place.;-;-;-
Start writing thesis;Conduct regular catch-up meetings;-;Regular catch-up meetings with the advisor are common practice among supervisors to ensure the student is on track with their thesis development, but they are not mandated by any university rule.;-;-
Start writing thesis;Submit thesis on Koinon;-;The process of writing a thesis is generally understood to precede its submission, as it is a standard practice in academic settings to complete the work before submitting it for evaluation.;-;-
Start writing thesis;Present thesis in Colloquium;The university's examination regulations mandate that the colloquium must occur after the thesis is submitted, establishing a legal requirement for the order of these activities.;-;-;No
