sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;The supervisor prefers students to research the topic before the meeting to enhance understanding, which is a procedure accepted as superior but not enforced.;-;The second activity logically depends on the first, as effective participation in the meeting requires prior knowledge from the topic search.
Search for a topic;Write and submit proposal;-;It is a widely accepted procedure in academic settings that students should first identify a topic before drafting a proposal.;-;The second activity cannot logically precede the first, as a proposal requires a topic to be written about.
Search for a topic;Get registered by chair on Koinon;-;-;The process of searching for a topic and obtaining the chair's agreement is governed by the internal rules and practices of the educational institution.;The registration cannot happen without prior topic selection and approval, indicating a logical dependency.
Search for a topic;Student accept thesis on Koinon;-;The student must search for a topic before accepting it, as it is a logical sequence in the academic process.;-;Yes, it is a logical dependency that dictates the order of these activities.
Search for a topic;Start writing thesis;-;-;The process of selecting a topic is governed by the internal rules and procedures of the academic institution, which can change or be adjusted by the stakeholders.;The ordering is due to a logical dependency; you cannot start writing a thesis without first having a topic to write about.
Search for a topic;Conduct regular catch-up meetings;-;-;-;The second activity cannot occur meaningfully without the first, as meetings are intended to discuss the chosen topic.
Search for a topic;Submit thesis on Koinon;-;It reflects the accepted procedure that students must follow in the thesis process, as one cannot submit a thesis without first having a topic.;-;The ordering is due to logical dependency; a student cannot submit a thesis without having a defined topic.
Search for a topic;Present thesis in Colloquium;-;-;The process requires students to select a topic before they can complete and present their thesis, which is a rule established by the stakeholders.;The second activity cannot occur without the first activity being completed, indicating a logical dependency.
Conduct informal meeting to explain topic;Write and submit proposal;-;The informal meeting is a widely accepted procedure that ensures the student has a clear understanding of the topic before writing the proposal.;-;The proposal writing logically follows the understanding gained from the meeting.
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;-;The requirement for the informal meeting is determined by the stakeholders and is a procedural step established to ensure agreement on the topic before registration.;The registration cannot logically occur without first having the informal meeting to discuss and agree on the topic.
Conduct informal meeting to explain topic;Student accept thesis on Koinon;-;The informal meeting is a widely accepted procedure that ensures students are well-informed before committing to a thesis topic.;-;The student cannot accept the thesis without first understanding the topic through the informal meeting, indicating a logical dependency.
Conduct informal meeting to explain topic;Start writing thesis;-;The informal meeting is a widely accepted procedure among supervisors and students to ensure clarity on the thesis topic before writing begins.;-;The writing process logically depends on the understanding gained from the meeting, making it necessary for the meeting to occur first.
Conduct informal meeting to explain topic;Conduct regular catch-up meetings;-;The informal meeting is a common approach that enhances the effectiveness of the subsequent regular catch-up meetings, making it a preferred method rather than a strict rule.;-;-
Conduct informal meeting to explain topic;Submit thesis on Koinon;-;The informal meeting is a widely accepted procedure to ensure clarity and agreement on the thesis topic before formal submission.;-;The submission cannot occur without prior discussion and agreement on the thesis topic.
Conduct informal meeting to explain topic;Present thesis in Colloquium;-;The informal meeting is a commonly accepted procedure to clarify thesis topics and ensure student readiness before the formal presentation.;-;-
Write and submit proposal;Get registered by chair on Koinon;-;-;The requirement for a proposal to be submitted before registration is determined by the chair's policies, which can vary by department.;The registration cannot logically occur without the proposal being submitted first, indicating a logical dependency.
Write and submit proposal;Student accept thesis on Koinon;-;-;The requirement to write and submit a proposal before accepting the thesis is a rule established by the academic department that can be changed or discarded at their discretion.;The acceptance of the thesis is logically dependent on the prior completion of the proposal.
Write and submit proposal;Start writing thesis;-;Writing a proposal is a widely accepted procedure that helps ensure the thesis is well-planned and feasible within the given timeframe.;-;-
Write and submit proposal;Conduct regular catch-up meetings;-;-;The decision to write a proposal before conducting meetings is based on the practices and preferences of the stakeholders rather than any governmental law or strict best practice.;-
Write and submit proposal;Submit thesis on Koinon;-;-;The requirement to write and submit a proposal before submitting the thesis is a rule determined by the academic institution.;The ordering is due to a logical dependency; the proposal must be completed before the thesis can be submitted.
