sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;The professor prefers students to research first, allowing for better understanding during the explanation meeting. This is based on experience rather than formal rules or laws.;-;-
Search for a topic;Write and submit proposal;-;-;-;Logical dependency: The topic must be chosen before a proposal can be written about it. This is a data dependency where the output of searching for a topic (the chosen topic) is a necessary input for writing the proposal.
Search for a topic;Get registered by chair on Koinon;-;-;-;Logical dependency: Registration in Koinon requires information about the chosen topic, which is only available after the student has searched for and selected a topic. It wouldn't make sense to register a student for a thesis without knowing what the thesis is about.
Search for a topic;Student accept thesis on Koinon;-;-;-;-
Search for a topic;Start writing thesis;-;It's the logical and commonly accepted approach to writing a thesis. Students are expected to have a topic before they start writing, but there's flexibility in the process. It's not strictly enforced as a rule, but it's the standard procedure implied by the context.;-;-
Search for a topic;Conduct regular catch-up meetings;-;-;-;Logical dependency: Regular catch-up meetings require a chosen topic to discuss, which can only be determined after searching for and selecting a topic.
Search for a topic;Submit thesis on Koinon;-;-;-;Yes, due to logical and data dependency. It's impossible to submit a thesis without first having a topic, and the submission process on Koinon requires specific information derived from the topic, such as the thesis title.
Search for a topic;Present thesis in Colloquium;-;-;-;Logical dependency: It's impossible to present a thesis on a topic that hasn't been chosen or researched yet. This is an inviolable relationship where presenting the thesis cannot precede searching for a topic due to the logical necessity in the academic research and presentation process.
Conduct informal meeting to explain topic;Write and submit proposal;-;-;The order is determined by the chair or department's specific process, as evidenced by the proposal requirement not being universal across chairs, the review process involving department staff, and the instructor's stated preference for explaining the topic before proposal writing.;-
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;-;-;-
Conduct informal meeting to explain topic;Student accept thesis on Koinon;-;-;-;-
Conduct informal meeting to explain topic;Start writing thesis;-;-;-;Yes, due to data and logical dependencies. The student needs information about the thesis topic (data dependency) and must understand the scope and expectations (logical dependency) before starting to write.
Conduct informal meeting to explain topic;Conduct regular catch-up meetings;-;The regular meetings and informal explanatory meeting are described as common practices among supervisors, but not mandatory university rules. The context emphasizes that these are things supervisors 'usually do' to keep students on track, but they are not enforced rules.;-;-
Conduct informal meeting to explain topic;Submit thesis on Koinon;-;-;-;Logical dependency: A student cannot effectively submit a thesis topic without first understanding and agreeing to it, which is the purpose of the informal meeting.
Conduct informal meeting to explain topic;Present thesis in Colloquium;-;-;-;Logical dependency: The informal meeting is a prerequisite for the entire thesis process, including the final presentation. It would be impossible for a student to present a thesis in a Colloquium before selecting and discussing their topic.
Write and submit proposal;Get registered by chair on Koinon;-;-;-;-
Write and submit proposal;Student accept thesis on Koinon;-;-;-;Logical dependency: The student cannot accept a thesis on Koinon that hasn't been proposed or registered yet. The proposal must be written and submitted before it can be accepted.
Write and submit proposal;Start writing thesis;-;-;-;-
Write and submit proposal;Conduct regular catch-up meetings;-;Regular meetings are described as common and beneficial, but not strictly required. The context states it's not a university rule, just what supervisors usually do to keep the thesis on pace. Students have flexibility in choosing meeting frequency.;-;-
Write and submit proposal;Submit thesis on Koinon;-;-;The requirement for a proposal and its placement in the process is at the discretion of the department or chair, varying between different departments or situations.;-
Write and submit proposal;Present thesis in Colloquium;-;The proposal stage is not explicitly mandated by law or strict organizational rules, but appears to be a standard preparatory step to ensure the thesis is realistic and achievable. This aligns with the concept of a best practice - a generally accepted superior procedure that isn't strictly enforced.;-;-
Get registered by chair on Koinon;Student accept thesis on Koinon;-;-;This order is established by the university's process and implemented in their Koinon system. It's a procedural step that could be changed by the university if they chose to do so, and it's specific to this institution's system.;-
Get registered by chair on Koinon;Start writing thesis;-;-;-;-
Get registered by chair on Koinon;Conduct regular catch-up meetings;-;-;-;-
Get registered by chair on Koinon;Submit thesis on Koinon;-;-;This order is established by the university to manage their thesis submission process efficiently. It's specific to their system (Koinon) and could be changed if the university decided to alter their procedures.;-
Get registered by chair on Koinon;Present thesis in Colloquium;-;-;This order is part of the institution's established process for thesis completion. It can be modified by the institution if they choose to do so, which is characteristic of a Business Rule. While regulations are mentioned, they don't explicitly mandate this specific order.;-
Student accept thesis on Koinon;Start writing thesis;-;-;The process of accepting the thesis on Koinon before starting to write appears to be a rule set by the university or department to manage the thesis process efficiently. This rule could potentially be changed or modified by the stakeholders (university administration) if they decided to alter their process.;-
Student accept thesis on Koinon;Conduct regular catch-up meetings;-;-;-;-
Student accept thesis on Koinon;Submit thesis on Koinon;-;-;The process of accepting before submitting the thesis on Koinon appears to be a specific workflow implemented by the educational institution using their chosen system. This rule is under the institution's jurisdiction and could potentially be changed at their discretion.;-
Student accept thesis on Koinon;Present thesis in Colloquium;-;-;The ordering is mandated by the university's examination regulations, indicating it's a rule set by the university (the primary stakeholder) that can be changed at their discretion.;Logical dependency: The thesis must be accepted, completed, and submitted before it can be presented in the colloquium.
Start writing thesis;Conduct regular catch-up meetings;-;-;-;-
Start writing thesis;Submit thesis on Koinon;-;-;-;This is a law of nature due to logical dependency. It's impossible to submit a thesis without first writing it. The submission requires the existence of the thesis, which is the output of the writing process. The context provides a four-month timeframe for writing and submitting the thesis, reinforcing this sequential nature.
Start writing thesis;Present thesis in Colloquium;-;While examination regulations are mentioned, they don't mandate this specific order. The context allows for flexibility, stating students may conduct the colloquium before submitting the thesis upon request. This suggests the typical order is a best practice rather than a strict rule, allowing students to complete research and refine work before presentation.;-;-
Conduct regular catch-up meetings;Submit thesis on Koinon;-;-;-;-
Conduct regular catch-up meetings;Present thesis in Colloquium;-;-;-;-
Submit thesis on Koinon;Present thesis in Colloquium;-;While university regulations generally require thesis submission before the colloquium, exceptions are allowed upon request. This flexibility suggests it's a best practice rather than a strict rule or law.;-;-
