sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;-;-;There is a logical dependency between these activities. The student needs to have a topic in mind before the supervisor can explain it in detail. The meeting is specifically to discuss and explain a chosen topic, which implies that a topic must be selected or proposed beforehand.
Search for a topic;Write and submit proposal;-;-;-;There is a logical dependency between these activities. A student cannot write and submit a proposal for a thesis without first having a topic to propose. The topic is a necessary input for the proposal, making it impossible to write a meaningful proposal without first identifying a topic.
Search for a topic;Get registered by chair on Koinon;-;The context suggests that searching for a topic and consulting with the chair or professor typically occurs before the registration on Koinon. While it's not explicitly stated as mandatory, it appears to be the common and recommended approach. The Student Service Center suggests students consult with them before registration, indicating it's a preferred practice. This aligns with the definition of a Best Practice as a procedure usually accepted by the organization's staff to be superior, but not strictly required or enforced.;-;There is a logical dependency between these activities. A student cannot be registered for a thesis without having a topic, as the topic is a crucial piece of information needed for registration. Therefore, searching for a topic must naturally precede the registration process.
Search for a topic;Student accept thesis on Koinon;-;-;-;There is a logical dependency between these activities. A student cannot accept a thesis topic on Koinon without first searching for and deciding on a topic. The search for a topic is a prerequisite for having a thesis to accept on the Koinon system.
Search for a topic;Start writing thesis;-;-;-;There is a logical dependency between searching for a topic and starting to write the thesis. It is not possible to begin writing a thesis without first having a topic to write about. The topic provides the foundation and direction for the thesis, making it a necessary precursor to the writing process.
Search for a topic;Conduct regular catch-up meetings;-;The regular catch-up meetings are described as a common practice among supervisors, but not a university rule. The student mentions, 'It's common that all supervisors have a regular weekly or bi-weekly meetings, but it's not a university rule, it's just what the supervisors usually do.' This indicates that these meetings are considered a superior procedure by the supervisors, making it a best practice rather than a mandatory requirement or a business rule.;-;There is a logical dependency between these activities. You cannot have regular catch-up meetings about a thesis topic before you have searched for and chosen a topic. The second activity depends on the completion of the first activity to have meaningful content for the meetings.
Search for a topic;Submit thesis on Koinon;-;-;-;There is a logical dependency between searching for a topic and submitting the thesis. It's impossible to submit a thesis without first having a topic to write about. The topic search is a necessary precursor to the entire thesis writing process, which culminates in the submission on Koinon.
Search for a topic;Present thesis in Colloquium;-;-;-;There is a logical dependency between these activities. A student cannot present a thesis in a colloquium without first having a topic to research and write about. The topic is a fundamental prerequisite for the entire thesis process, including the final presentation.
Conduct informal meeting to explain topic;Write and submit proposal;-;-;The context indicates that the proposal is not mandated by the university but is a requirement set by some chairs. This suggests that the order of these activities is determined by the chair's discretion, making it a business rule. The informal meeting to explain the topic naturally precedes writing the proposal, as it provides necessary information for the student to develop their proposal.;There is a logical dependency between these activities. The student needs to understand the topic (through the informal meeting) before they can write a meaningful proposal about it. This creates a natural order where the explanation must precede the proposal writing.
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;The context suggests that conducting an informal meeting to explain the topic before registration is a common practice, but not universally required. The Student Service Center recommends students to have a consultation or write an email before registration, but it's mentioned that 'other departments may not allow this consultation session'. This indicates that while it's considered beneficial, it's not a strict rule or law, making it best categorized as a Best Practice.;-;-
Conduct informal meeting to explain topic;Student accept thesis on Koinon;-;The context suggests that this informal meeting is not mandatory for all departments, as indicated by the statement 'However, other departments may not allow this consultation session'. This implies that the meeting is not a governmental law or a strict business rule, but rather a best practice adopted by some departments to ensure students understand their thesis topics before formally accepting them on Koinon.;-;-
Conduct informal meeting to explain topic;Start writing thesis;-;The informal meeting to explain the topic before starting to write the thesis appears to be a common practice among supervisors, but it's not mandated by university rules. This aligns with the definition of a 'Best Practice' as a procedure accepted by the organization's staff to be superior, but not required or enforced. The context mentions 'informal discussion' and 'appointment to explain in detail the thesis topic', indicating this is a standard procedure followed by supervisors to ensure students understand their topics before beginning to write.;-;-
