sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;The context suggests that searching for a topic precedes an informal meeting where the topic is explained in detail. This is a recommended approach where the student first explores the topic and does initial research before a detailed discussion with the supervisor, but it is not a strict requirement.;-;-
Search for a topic;Write and submit proposal;-;The context suggests that writing a proposal is not a mandatory university requirement, but a practice set by the specific chair. The student mentions some friends did theses without writing a proposal, indicating this is a recommended but not strictly enforced procedure.;-;-
Search for a topic;Get registered by chair on Koinon;-;Students first search for topics and consult with the chair or professor before being registered on the Koinon portal, which is a recommended procedure for thesis registration;-;-
Search for a topic;Student accept thesis on Koinon;-;-;The order of searching for a topic before accepting the thesis on Koinon is a procedural requirement set by the organization, which can be modified at their discretion. The context suggests that students first search for topics and then formally accept the thesis through the Koinon portal.;-
Search for a topic;Start writing thesis;-;-;The process requires the student to search for a topic and get approval from both the chair and supervisor before starting to write the thesis, which is a discretionary rule set by the academic institution;-
Search for a topic;Conduct regular catch-up meetings;-;Regular meetings are a common practice in academic supervision to track progress, discuss research findings, and provide guidance, but are not mandatory by law or strict organizational rules;-;-
Search for a topic;Submit thesis on Koinon;-;-;The process requires the student to search for a topic first and then submit the completed thesis on Koinon within a four-month timeframe, which is a rule set by the organization's process.;Data Dependency - The student cannot submit a thesis without first searching for and developing a topic
Search for a topic;Present thesis in Colloquium;-;-;The order is determined by the university's internal process where students first search and agree on a thesis topic with their supervisor before presenting the completed thesis in a colloquium;-
Conduct informal meeting to explain topic;Write and submit proposal;-;The context suggests that writing a proposal is not strictly mandated by the university, but is a practice followed by some chairs. The informal meeting helps the student understand the topic better before writing the proposal, making it a recommended but not mandatory procedure.;-;-
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;Before registering a thesis topic on Koinon, it is a common practice for students to have an informal meeting with the chair or supervisor to discuss and agree on the thesis topic;-;-
Conduct informal meeting to explain topic;Student accept thesis on Koinon;-;The informal meeting is a recommended step to discuss and explain the thesis topic to the student, allowing them to understand and potentially accept the topic before formally registering it on Koinon;-;-
Conduct informal meeting to explain topic;Start writing thesis;-;The context suggests that the informal meeting is a common practice for discussing thesis topics and assessing student readiness before allowing them to start writing, but it is not a strict rule enforced by the university;-;-
Conduct informal meeting to explain topic;Conduct regular catch-up meetings;-;The context suggests that regular meetings are a common practice among supervisors and students, but not a mandatory university rule. It is a preferred method to track progress and keep the student on pace, but not a strict requirement.;-;-
Conduct informal meeting to explain topic;Submit thesis on Koinon;-;The informal meeting serves as a preliminary discussion to ensure mutual understanding and agreement about the thesis topic before formal submission, which is a recommended practice but not a strict requirement;-;-
Conduct informal meeting to explain topic;Present thesis in Colloquium;The university's examination regulations mandate that the colloquium must happen after the thesis is submitted, making this a governmental law requirement;-;-;-
Write and submit proposal;Get registered by chair on Koinon;-;-;The order of writing and submitting a proposal before getting registered on Koinon is a procedural requirement set by the chair, which can be modified or discarded at their discretion. The context suggests that some chairs may require a proposal, while others might not, indicating this is a flexible business rule.;-
Write and submit proposal;Student accept thesis on Koinon;-;-;The order of writing and submitting a proposal before student acceptance on Koinon appears to be a procedural requirement set by the organization, which can be potentially modified at their discretion;-
Write and submit proposal;Start writing thesis;-;The proposal serves as a preliminary planning document that outlines the approach and methodology for the thesis, helping to structure and guide the thesis writing process;-;-
Write and submit proposal;Conduct regular catch-up meetings;-;Regular meetings are commonly done by supervisors to track progress and support the student during thesis writing, but are not strictly mandated by any formal rule;-;-
Write and submit proposal;Submit thesis on Koinon;-;Writing and submitting a proposal is typically a preparatory step before submitting a final thesis, which helps ensure the research direction is sound and approved before full thesis development;-;-
Write and submit proposal;Present thesis in Colloquium;The university's examination regulations mandate that the colloquium must happen after the thesis is submitted;-;-;-
Get registered by chair on Koinon;Student accept thesis on Koinon;-;-;The order of registration by chair followed by student acceptance is a procedural workflow defined by the organization's internal process for thesis management;Data Dependency - The student cannot accept a thesis that has not been first registered by the chair
Get registered by chair on Koinon;Start writing thesis;-;-;According to the context, students typically need to be registered on Koinon by the chair before they can officially start writing their thesis, which appears to be an internal procedural requirement of the academic department;-
Get registered by chair on Koinon;Conduct regular catch-up meetings;-;-;-;-
Get registered by chair on Koinon;Submit thesis on Koinon;-;-;The order of registration and thesis submission is a procedural rule set by the academic institution, which can be modified at their discretion. The chair first registers the thesis, and then the student has a defined period (four months) to upload the thesis.;Data Dependency - The student cannot submit a thesis on Koinon without first being registered by the chair, as the registration provides the necessary context and approval for thesis submission
