sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;-;The process involves a supervisor providing topics to students and checking their suitability through an initial consultation, which is specific to the organization and not governed by any external laws or regulations.;-
Search for a topic;Write and submit proposal;-;The process of searching for topics, consulting with the chair or professor, and registering the topic through the CIT portal appears to be an accepted procedure within the organization (the university) or the department.;-;-
Search for a topic;Get registered by chair on Koinon;-;-;-;-
Search for a topic;Student accept thesis on Koinon;-;-;The organization (Student Service Center) has a specific process in place where students are required to search for topics and write their thesis before registering it on the Koinon portal.;-
Search for a topic;Start writing thesis;-;-;The university's examination regulations and committee protocols govern the process of assigning topics to students, and the student must obtain approval from the chair or professor before starting their thesis. The regulation states that if a student has unsuccessfully attempted to obtain a topic at the scheduled time, the chair will ensure that a topic is assigned.;-
Search for a topic;Conduct regular catch-up meetings;-;-;The chairs or professors have the discretion to decide whether to agree with the topic and register it for the thesis via the CIT portal.;Logical dependency, as the chair needs to agree with the topic and register it before conducting any subsequent meetings.
Search for a topic;Submit thesis on Koinon;-;-;The process of searching for topics appears to be part of the research phase, which is governed by the rules and regulations of the organization (Student Service Center). The time allowed for this research phase (four months) is also specified in the context, indicating that it is a rule or guideline established by the organization.;-
Search for a topic;Present thesis in Colloquium;The university's examination regulations mandate that the colloquium must happen after the thesis is submitted.;-;-;Yes, because submitting the thesis without having a registered topic would likely lead to inconsistencies or errors.
Conduct informal meeting to explain topic;Write and submit proposal;-;-;-;-
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;-;The Student Service Center suggests that students come to their consultation hour or write an email to ask if it's okay to apply for the thesis in Koinon, indicating a process requirement specific to this organization.;-
Conduct informal meeting to explain topic;Student accept thesis on Koinon;-;-;The Student Service Center suggests that students come for a consultation hour or write an email asking if it's okay to apply for the thesis in Koinon before the student is registered and confirms their thesis. This rule is specific to the organization (the university) and its stakeholders, and can be changed or discarded at the discretion of the Student Service Center.;-
