sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;Allowing students to search for topics first ensures they are better prepared for the meeting, making the discussion more productive.;-;The student needs to have some understanding of the topic to engage meaningfully in the discussion, creating a logical dependency.
Search for a topic;Write and submit proposal;-;-;The requirement to write a proposal is set by the chair and not mandated by the university, indicating it is a rule established by the stakeholders involved in the process.;The proposal is dependent on the topic being selected and agreed upon, making it a logical dependency.
Search for a topic;Get registered by chair on Koinon;-;-;The institution or department likely established this order to ensure that the registration process is efficient and that all necessary approvals are in place before formal registration.;The student cannot be registered for a thesis topic that has not been identified and agreed upon, making it a logical necessity.
Search for a topic;Student accept thesis on Koinon;-;-;The institution likely established this order to ensure students are adequately prepared before committing to a thesis topic and timeline.;A student cannot accept a thesis on Koinon without first having a topic to accept, as acceptance signifies a commitment to a specific topic.
Search for a topic;Start writing thesis;-;-;The academic institution has set rules requiring topic approval and registration before officially starting the thesis.;You cannot logically start writing a thesis without having a defined and approved topic, as it provides the foundation and direction for the thesis.
Search for a topic;Conduct regular catch-up meetings;-;-;-;The logical dependency is that a student must first search for and decide on a topic before they can have meaningful catch-up meetings about their progress on that topic.
Search for a topic;Submit thesis on Koinon;-;-;The requirement to have a topic before submitting the thesis on Koinon is a procedural necessity dictated by the process stakeholders.;There is a logical dependency as the registration process requires a title and other details that depend on having a topic.
Search for a topic;Present thesis in Colloquium;-;-;The university's examination regulations dictate that the colloquium must occur after the thesis is submitted, and the process of searching for a topic is part of the procedural steps leading up to the thesis submission.;The sequence is logically necessary because you cannot present a thesis without first having a topic to develop the thesis on, indicating a logical dependency.
Conduct informal meeting to explain topic;Write and submit proposal;-;The informal meeting is a procedure preferred by the supervisor to ensure the student understands the topic before writing the proposal, which is considered beneficial but not strictly enforced.;-;-
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;The informal meeting is suggested as a beneficial step to ensure students are ready to register, but it is not strictly enforced across all departments, indicating it is a practice considered superior but not mandatory.;-;The ordering is due to a logical dependency, as the registration process requires prior agreement and understanding of the topic, which is facilitated by the meeting.
Conduct informal meeting to explain topic;Student accept thesis on Koinon;-;The informal meeting ensures students are well-informed about their thesis topics before formally accepting them, which is beneficial for both the student and the organization.;-;The informal meeting must logically precede the acceptance of the thesis to ensure the student understands the topic before committing.
Conduct informal meeting to explain topic;Start writing thesis;-;Conducting an informal meeting is a common practice within the academic setting to ensure students understand the topic and are prepared to start writing the thesis.;-;There is a logical dependency where the student needs to understand the thesis topic before they can effectively start writing the thesis.
Conduct informal meeting to explain topic;Conduct regular catch-up meetings;-;The informal meeting is conducted first to ensure the student has a solid understanding of the topic, which facilitates more productive regular catch-up meetings. This approach is not enforced by any governmental law or university rule, but it is a practice that supervisors find beneficial and typically follow.;-;The informal meeting provides necessary context and understanding, which is essential before moving on to regular catch-up meetings, indicating a logical dependency.
Conduct informal meeting to explain topic;Submit thesis on Koinon;-;The informal meeting is a beneficial step to ensure the student understands and agrees with the thesis topic, leading to a smoother thesis process.;-;-
Conduct informal meeting to explain topic;Present thesis in Colloquium;-;The informal meeting is a common practice to ensure the student is interested and understands the thesis topic, which is beneficial but not mandatory.;-;-
Write and submit proposal;Get registered by chair on Koinon;-;-;The requirement to write and submit a proposal before registration is a rule set by the academic institution or department, and it can vary depending on the chair or department's policies.;The registration on Koinon logically depends on having a proposal that has been written and approved, making the proposal a necessary precursor to the registration process.
Write and submit proposal;Student accept thesis on Koinon;-;-;The requirement for a proposal is determined by the department or institution, and they have the discretion to require or waive it.;-
Write and submit proposal;Start writing thesis;-;Writing a proposal is a common practice that helps structure the thesis process, but it is not universally required or enforced.;-;-
Write and submit proposal;Conduct regular catch-up meetings;-;-;-;-
Write and submit proposal;Submit thesis on Koinon;-;-;The requirement for a proposal is a rule that the department or chair can enforce or waive at their discretion.;-
Write and submit proposal;Present thesis in Colloquium;-;-;The order is mandated by the university's examination regulations, which are internal rules set by the institution.;-
Get registered by chair on Koinon;Student accept thesis on Koinon;-;-;The sequence is an internal procedure determined by the institution's stakeholders to ensure all necessary information is entered and verified before the student can proceed.;The student's acceptance of the thesis cannot occur without prior registration by the chair due to logical dependency.
Get registered by chair on Koinon;Start writing thesis;-;-;The institution has set this rule to manage the thesis process effectively.;The registration is a logical dependency necessary to officially start the thesis process.
Get registered by chair on Koinon;Conduct regular catch-up meetings;-;-;The registration on Koinon is a formal procedure established by the university or department, dictating the sequence of activities.;The registration is a prerequisite for the student to officially start their thesis work, which includes conducting regular catch-up meetings.
Get registered by chair on Koinon;Submit thesis on Koinon;-;-;The organization has established this sequence to manage the thesis submission process effectively, and stakeholders have the discretion to change this rule.;The submission logically depends on the prior registration, as the student cannot submit their thesis without first being registered by the chair on the Koinon portal.
Get registered by chair on Koinon;Present thesis in Colloquium;-;-;The order of activities is determined by the institution's internal rules to ensure proper tracking and validation of the thesis process.;The logical dependency requires the registration to occur before the presentation can take place.
Student accept thesis on Koinon;Start writing thesis;-;-;The sequence is determined by the institution's rules and the functionality of the Koinon portal, which requires formal acceptance before proceeding.;The acceptance is a logical dependency that officially starts the process and timeline, making it necessary before writing can begin.
Student accept thesis on Koinon;Conduct regular catch-up meetings;-;-;The process of accepting the thesis on Koinon before starting the thesis work and conducting meetings is a procedural rule set by the institution.;The student must first accept and begin their thesis work before any progress meetings can be conducted due to logical dependency.
Student accept thesis on Koinon;Submit thesis on Koinon;-;-;The organization or platform requires the student to accept the thesis to officially start the timeline and ensure all necessary information is confirmed before submission.;There is a logical and data dependency, as the acceptance step triggers the official start of the thesis timeline and ensures all necessary information is confirmed.
Student accept thesis on Koinon;Present thesis in Colloquium;-;-;The university's examination regulations mandate that the colloquium must occur after the thesis is submitted, which is an internal rule set by the university.;The presentation logically depends on the prior acceptance and submission of the thesis, as the presentation is about the completed work.
Start writing thesis;Conduct regular catch-up meetings;-;-;-;-
Start writing thesis;Submit thesis on Koinon;-;-;-;The thesis must be written before it can be submitted, as submission requires a completed document.
Start writing thesis;Present thesis in Colloquium;-;-;The university's examination regulations mandate that the colloquium must happen after the thesis is submitted.;There is a logical dependency: you cannot present a thesis that hasn't been written.
Conduct regular catch-up meetings;Submit thesis on Koinon;-;Regular catch-up meetings are likely conducted to support students in their thesis work, which aligns with common academic practices.;-;-
Conduct regular catch-up meetings;Present thesis in Colloquium;-;Regular meetings are commonly practiced to ensure thesis progress, but they are not mandatory.;-;-
Submit thesis on Koinon;Present thesis in Colloquium;-;-;The university's examination regulations mandate that the colloquium must happen after the thesis is submitted, which is a rule under the university's jurisdiction.;-
