sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;-;-;-
Search for a topic;Write and submit proposal;-;-;-;-
Search for a topic;Get registered by chair on Koinon;-;-;-;There is a data dependency between the two activities. The student must have a topic before they can be registered by the chair on Koinon, as the registration process requires a specific topic to be agreed upon.
Search for a topic;Student accept thesis on Koinon;-;-;-;-
Search for a topic;Start writing thesis;-;-;-;There is a data dependency between the two activities. You cannot start writing a thesis without first having a topic to write about. The second activity thus depends on data from the first activity to proceed with the process.
Search for a topic;Conduct regular catch-up meetings;-;The context indicates that regular meetings are not mandated by the university but are a common practice among supervisors to ensure students are on track with their thesis. This suggests that conducting regular catch-up meetings is a best practice rather than a requirement.;-;-
Search for a topic;Submit thesis on Koinon;-;-;-;There is a data dependency between the two activities. You cannot submit a thesis on Koinon without first searching for and selecting a topic. The second activity thus depends on data from the first activity to proceed with the process.
Search for a topic;Present thesis in Colloquium;-;-;-;-
Conduct informal meeting to explain topic;Write and submit proposal;-;The context indicates that the informal meeting is conducted to explain the topic to the student before they write the proposal. This is not mandated by the university or the chair but is a preferred approach by the supervisor to ensure the student understands the topic well before proceeding. This suggests it is a best practice.;-;-
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;-;-;-
Conduct informal meeting to explain topic;Student accept thesis on Koinon;-;-;-;-
Conduct informal meeting to explain topic;Start writing thesis;-;The context indicates that the informal meeting is a common practice to ensure the student understands and is committed to the topic before starting to write the thesis. It is not mandated by the university but is a procedure usually accepted by supervisors to be superior to alternatives, hence a best practice.;-;-
Conduct informal meeting to explain topic;Conduct regular catch-up meetings;-;-;-;-
Conduct informal meeting to explain topic;Submit thesis on Koinon;-;The context suggests that the informal meeting is a discussion to explain the thesis topic to the student and see if the student likes the topic and the possible outcomes. This indicates that it is not a mandatory step enforced by any regulation or rule but rather a practice that is considered beneficial for both the student and the advisor to ensure mutual understanding and agreement on the thesis topic.;-;-
Conduct informal meeting to explain topic;Present thesis in Colloquium;-;-;-;-
Write and submit proposal;Get registered by chair on Koinon;-;-;-;-
Write and submit proposal;Student accept thesis on Koinon;-;-;The context indicates that writing a proposal depends on the chair's requirements, as some chairs require it while others do not. This suggests that the requirement to write and submit a proposal before accepting the thesis on Koinon is a business rule set by the chair, a stakeholder of the process.;-
Write and submit proposal;Start writing thesis;-;-;-;-
Write and submit proposal;Conduct regular catch-up meetings;-;-;The requirement for a proposal is up to each chair to decide, indicating that it is a business rule under the jurisdiction of the chair. The regular catch-up meetings are not mandated by the university but are a common practice among supervisors, suggesting that they are also a business rule.;-
Write and submit proposal;Submit thesis on Koinon;-;-;-;There is a logical dependency between the two activities. The proposal is a preliminary step that may or may not be required before the thesis can be registered and eventually submitted on Koinon. The submission of the thesis logically follows the proposal phase, as the proposal outlines the work that will be done in the thesis.
Write and submit proposal;Present thesis in Colloquium;-;-;-;-
Get registered by chair on Koinon;Student accept thesis on Koinon;-;-;-;-
Get registered by chair on Koinon;Start writing thesis;-;-;The context indicates that the registration on Koinon is a procedural step that involves the chair and the student service center, and it is not explicitly mandated by a governmental law or universally accepted as a best practice. The process seems to be under the jurisdiction of the university or the specific department, suggesting it is a business rule.;There is a logical dependency as the registration on Koinon officially starts the timeline for the thesis, making it necessary to complete this step before starting the writing process.
Get registered by chair on Koinon;Conduct regular catch-up meetings;-;-;-;There is a logical dependency between the two activities. The student must be registered by the chair on Koinon before they can begin the thesis process, which includes conducting regular catch-up meetings. The second activity depends on the completion of the registration process to proceed.
Get registered by chair on Koinon;Submit thesis on Koinon;-;-;The process of getting registered by the chair on Koinon before submitting the thesis is described as a procedure involving the chair, the student, and the Student Service Center. This indicates that the order is a business rule set by the stakeholders involved in the process, as it is not described as a legal requirement but rather as a procedural step within the organization.;There is a data dependency between the two activities. The student cannot submit the thesis on Koinon without first being registered by the chair, as the registration provides necessary data and authorization for the submission process.
Get registered by chair on Koinon;Present thesis in Colloquium;-;-;-;-
Student accept thesis on Koinon;Start writing thesis;-;-;The process of accepting the thesis on Koinon is described as a step that must be completed before the student can officially begin the four-month period to write and upload the thesis. This indicates that the order is a business rule set by the university or the chair, as it is part of the registration and approval process managed through the Koinon portal.;There is a logical dependency between the two activities. The student cannot start writing the thesis without officially accepting it on Koinon, as this acceptance marks the official start of the thesis period.
Student accept thesis on Koinon;Conduct regular catch-up meetings;-;-;-;There is a logical dependency between the two activities. The student must accept the thesis on Koinon to officially start the thesis process, which then allows for regular catch-up meetings to be conducted during the research phase.
Student accept thesis on Koinon;Submit thesis on Koinon;-;-;-;-
Student accept thesis on Koinon;Present thesis in Colloquium;It is mandated by the university's examination regulations that the colloquium must happen after the thesis is submitted. This indicates that the relationship between the two activities is a governmental law since it is a rule created and enforced by the university to regulate the behaviour of the students in the examination process.;-;-;-
Start writing thesis;Conduct regular catch-up meetings;-;-;-;-
Start writing thesis;Submit thesis on Koinon;-;-;-;There is a logical dependency between the two activities. You cannot submit a thesis without first writing it. The second activity thus depends on the completion of the first activity to proceed with the process.
Start writing thesis;Present thesis in Colloquium;-;-;-;There is a logical dependency between the two activities. You cannot present a thesis in the colloquium without having started writing it first. The second activity thus depends on the logical completion of the first activity to proceed with the process.
Conduct regular catch-up meetings;Submit thesis on Koinon;-;-;-;-
