sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;The practice of having students search for a topic first is preferred by the supervisors and is commonly practiced, facilitating a more productive discussion during the meeting.;-;-
Search for a topic;Write and submit proposal;-;-;The requirement to write a proposal is set by the chair, indicating that the ordering is under the jurisdiction of the chair, a stakeholder in the process.;A proposal requires a specific topic to be addressed, indicating a data dependency.
Search for a topic;Get registered by chair on Koinon;-;-;The ordering is determined by the chair's requirement to agree on the topic before registering it on Koinon, which is a decision made by the stakeholders involved.;The registration logically depends on having a topic to register, as the chair needs to register the specific topic on Koinon.
Search for a topic;Student accept thesis on Koinon;-;-;The order is determined by the administrative requirements of the thesis registration process, which are under the jurisdiction of the involved stakeholders.;The student must have a topic before they can proceed with the acceptance process on Koinon due to data and logical dependencies.
Search for a topic;Start writing thesis;-;The process of searching for a topic and consulting with the chair before starting to write is a common and recommended approach, but not a mandatory rule or law.;-;Writing a thesis inherently requires a topic, creating a logical dependency where the second activity cannot precede the first.
Search for a topic;Conduct regular catch-up meetings;-;-;-;Logical dependency: Regular meetings require a topic to focus discussions and track progress.
Search for a topic;Submit thesis on Koinon;-;-;The registration on Koinon requires a title, indicating that a topic must be identified before registration, which is a rule set by the stakeholders involved in the process.;The registration requires a title, creating a data dependency, and logically, a thesis cannot be submitted without a topic.
Search for a topic;Present thesis in Colloquium;-;-;The process of searching for a topic and getting it approved is a procedural step under the jurisdiction of the chair or the academic institution, necessary before the thesis can be developed and presented.;There is a logical dependency, as you cannot present a thesis without first having a topic to research and write about.
Conduct informal meeting to explain topic;Write and submit proposal;-;-;The requirement to write a proposal and conduct an informal meeting is set by the chair and advisor, indicating it is under their jurisdiction.;There is a logical dependency, as understanding the topic through the meeting is necessary before writing the proposal.
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;The Student Service Center suggests a consultation before registration, indicating it is a recommended practice but not uniformly enforced across all departments.;-;-
