sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;The context suggests that searching for a topic before the informal meeting is a preferred approach that allows the student to explore and understand the topic beforehand, making the subsequent meeting more productive. This is a recommended method but not a strict legal or mandatory rule.;-;Data Dependency - The student needs to have some initial understanding or research about the topic before the meeting can be meaningfully conducted
Search for a topic;Write and submit proposal;-;The context suggests that writing a proposal is not a mandatory university requirement, but rather a recommended step in the thesis topic selection process. The student interview indicates that some chairs require a proposal while others do not, which implies this is a best practice rather than a strict rule or law.;-;Data dependency - A student cannot write a proposal without first searching for and identifying a potential thesis topic
Search for a topic;Get registered by chair on Koinon;-;Before getting registered on Koinon, students typically search for and discuss potential thesis topics with their chair or professor, ensuring the topic is appropriate and approved before formal registration;-;Data Dependency - The student cannot be registered for a thesis topic on Koinon without first identifying and agreeing on a specific research topic with their chair
Search for a topic;Student accept thesis on Koinon;-;-;The order of searching for a topic before accepting the thesis on Koinon is a procedural requirement set by the organization, which can be modified at their discretion. The student must first explore and identify a research topic before formally registering and accepting the thesis through the Koinon portal.;Data Dependency - The student cannot accept a thesis on Koinon without first having searched for and defined a topic for their thesis
Search for a topic;Start writing thesis;-;Searching for a topic before starting to write a thesis is a recommended academic approach to ensure the research direction is sound, validated by the chair or professor, and aligns with academic requirements;-;Data dependency - A student needs to have a defined topic before meaningfully starting to write a thesis
Search for a topic;Conduct regular catch-up meetings;-;The context indicates that regular meetings are a common practice among supervisors, but not a strict university rule. Supervisors typically choose to have meetings every two weeks or weekly to help students stay on track with their thesis, but this is not mandatory.;-;-
Search for a topic;Submit thesis on Koinon;-;-;The process description indicates that students have a predefined four-month period to search for topics and write their thesis before submitting it on Koinon, which is a rule set by the organization's stakeholders;Data Dependency - The student cannot submit a thesis without first searching for and developing a topic
Search for a topic;Present thesis in Colloquium;The context indicates that the topic search and registration is a mandatory procedural step regulated by university examination regulations before presenting the thesis in the colloquium. The specific mention of 'registration of the topic for the thesis via the CIT portal' and the reference to examination regulations suggests this is a legally mandated process.;-;-;Data dependency - A student cannot present a thesis without first searching for and registering an approved topic
Conduct informal meeting to explain topic;Write and submit proposal;-;The context suggests that the informal meeting is a preferred approach for the advisor to guide the student before writing the proposal, allowing the student to understand the topic better before drafting the document. This is not a strict requirement but a recommended method to ensure better proposal quality.;-;-
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;The informal meeting to explain the topic is a recommended consultation step before formal registration, allowing the student to discuss and get approval from the chair before proceeding with the official registration process;-;Data dependency - The student needs to discuss and get agreement on the topic before the chair can register it in the system
Conduct informal meeting to explain topic;Student accept thesis on Koinon;-;The informal meeting allows the student to understand the thesis topic in detail and assess if they like the topic and potential outcomes before formally accepting it on the system. This is a recommended practice to ensure student engagement and understanding, but not a strict legal or organizational requirement.;-;Data Dependency - The student cannot accept a thesis on Koinon without first understanding and agreeing to the topic through an informal discussion
Conduct informal meeting to explain topic;Start writing thesis;-;The context suggests that having an informal meeting before starting the thesis is a common practice among supervisors to discuss the topic, assess the student's understanding, and determine readiness, but it is not a strict university rule or legal requirement;-;-
Conduct informal meeting to explain topic;Conduct regular catch-up meetings;-;The context suggests that regular meetings are a common practice among supervisors and students, but not a mandatory university rule. The informal initial meeting serves as a preparatory step to introduce resources and topic before establishing ongoing regular meetings.;-;-
Conduct informal meeting to explain topic;Submit thesis on Koinon;-;The informal meeting allows the student and supervisor to discuss the thesis topic, ensuring mutual understanding and agreement before formally submitting the thesis on Koinon. This is a recommended practice to align expectations and validate the research direction before official submission.;-;Data Dependency - The student needs to understand and agree on the thesis topic before being able to submit it on the system
Conduct informal meeting to explain topic;Present thesis in Colloquium;The university's examination regulations mandate that the colloquium must happen after the thesis is submitted, which makes this a governmental law requirement;-;-;-
Write and submit proposal;Get registered by chair on Koinon;-;-;The requirement to write a proposal before registration is determined by the chair's discretion and can vary between different departments, indicating it is a business rule specific to the organization's internal processes;-
Write and submit proposal;Student accept thesis on Koinon;-;Writing and submitting a proposal before accepting the thesis on Koinon appears to be a recommended procedural step that allows the advisor and student to agree on the thesis topic and details before formal registration in the system;-;Data dependency - The proposal provides necessary information and agreement that would logically precede the formal thesis acceptance in the Koinon system
Write and submit proposal;Start writing thesis;-;The proposal serves as a preliminary planning document where the student outlines methodologies and research approach before fully committing to writing the thesis. While not strictly mandated by the university, it is a recommended practice to ensure the thesis is well-structured and feasible.;-;Data Dependency - The proposal provides initial research direction and methodology planning that can inform and guide the subsequent thesis writing process
Write and submit proposal;Conduct regular catch-up meetings;-;The context indicates that regular meetings are commonly done by supervisors during thesis work, but are not a strict university rule. It's a preferred approach to track progress and keep the student on pace, but not a mandatory requirement.;-;-
Write and submit proposal;Submit thesis on Koinon;-;-;The proposal is a prerequisite for registering and submitting the thesis on Koinon, which is determined by the department's internal process and can be modified at their discretion;Data dependency - The thesis submission requires prior proposal submission to provide necessary context and approval for the research project
Write and submit proposal;Present thesis in Colloquium;The university's examination regulations mandate that the colloquium must happen after the thesis is submitted, which is a rule created and enforced by the governmental/institutional authority (the university);-;-;logical dependency - the thesis must be completed before it can be presented
Get registered by chair on Koinon;Student accept thesis on Koinon;-;-;The order of registration and acceptance is a procedural workflow defined by the organization's internal process, which can be modified at their discretion. The chair first registers the thesis details, and then the student confirms/accepts it as part of the thesis submission process.;Data Dependency - The student cannot accept a thesis that has not been first registered by the chair
Get registered by chair on Koinon;Start writing thesis;-;-;The registration on Koinon by the chair appears to be an internal procedural requirement of the academic institution, which can be modified or changed at the discretion of the stakeholders. The registration seems to be a prerequisite for officially starting the thesis work, but is not mandated by external governmental law.;Data Dependency - The student cannot officially start writing the thesis without being registered in the Koinon system by the chair, which implies a logical prerequisite for tracking and managing the thesis process
Get registered by chair on Koinon;Conduct regular catch-up meetings;-;-;The order of activities is determined by the department's internal procedure, which is not mandated by law or a universal best practice. The student service center suggests this sequence as part of their internal workflow, but it is not a strict requirement enforced by external regulations.;-
Get registered by chair on Koinon;Submit thesis on Koinon;-;-;The order of registration before thesis submission is a procedural rule set by the organization's internal workflow, where the chair must first register the thesis details on the Koinon platform before the student can submit the actual thesis;Data Dependency - The student cannot submit a thesis on Koinon without first being registered by the chair, which provides the necessary context and approval for thesis submission
Get registered by chair on Koinon;Present thesis in Colloquium;The context includes specific legal regulations about thesis registration and colloquium, specifically referencing § 46a Bachelor Colloquium which stipulates that students are considered registered for the Bachelor Colloquium only after successfully completing their Bachelor's Thesis, indicating a governmental legal requirement for the order of these activities;-;-;Data dependency - The student cannot present a thesis in a colloquium without first being registered and having completed the thesis
