sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;The context suggests that searching for a topic precedes the informal meeting as a preferred approach, where the student is expected to do initial research and exploration before the detailed discussion. The supervisor mentions preferring the student to 'read first about the resources, know more about the topic' before the detailed explanation meeting, indicating this is a recommended practice but not a strict legal or mandatory rule.;-;There is a data dependency between the two activities. The student needs to have some initial understanding or exploration of the topic before the informal meeting can be meaningfully conducted, as the meeting is intended to discuss and refine the topic based on the student's preliminary research.
Search for a topic;Write and submit proposal;-;-;The context indicates that writing a proposal is a rule set by individual chairs and not mandated by the university. The student mentions that some chairs do not require a proposal before registering the thesis, which suggests this is a discretionary rule under the jurisdiction of the chair as a stakeholder in the process.;There is a data dependency between the two activities. A student cannot write and submit a proposal without first searching for and identifying a suitable topic to write about. The second activity requires information and direction from the first activity to proceed.
Search for a topic;Get registered by chair on Koinon;-;The context suggests that searching for a topic and consulting with the chair or professor is a recommended step before registration, but not a strict legal requirement. The interviewee mentions that students typically search for topics and consult with the chair before registration, but this is not mandated by a governmental law or a fixed business rule. Different chairs may have slightly different approaches, indicating this is more of a best practice in the thesis registration process.;-;There is a data dependency between the two activities. A student cannot be registered for a thesis topic without first identifying and potentially getting approval for a specific research topic from the chair.
Search for a topic;Student accept thesis on Koinon;-;-;The process of searching for a topic and then accepting the thesis on Koinon appears to be an internal procedural rule set by the organization, specifically the Student Service Center. The context suggests that this is a sequence established by the chair and student services, but not mandated by external law or universally recognized as an absolute best practice.;There is a data dependency between the two activities. A student cannot accept a thesis on Koinon without first having searched for and potentially defined a topic for their thesis.
Search for a topic;Start writing thesis;-;The context suggests that searching for a topic and consulting with the chair or professor is a recommended preliminary step before starting to write the thesis, but not strictly mandated. The Student Service Center even indicates it's possible to start writing before official registration, and the supervisor is unsure about strict requirements. This indicates it's a preferred approach rather than a rigid rule, making it a best practice.;-;There is a data dependency between the two activities. You cannot effectively start writing a thesis without first identifying and potentially getting approval for a specific research topic. The second activity depends on having a defined topic from the first activity to proceed meaningfully with the thesis writing process.
Search for a topic;Conduct regular catch-up meetings;-;The context indicates that regular meetings are not mandated by the university, but are commonly preferred by supervisors and students as a way to track progress and stay on pace with the thesis. The interviews suggest these meetings are a typical approach chosen by supervisors, but not a strict requirement, which aligns with the definition of a best practice.;-;There is a data dependency between the two activities. You cannot meaningfully conduct regular catch-up meetings about a thesis without first searching for and identifying a specific topic to discuss.
Search for a topic;Submit thesis on Koinon;-;-;-;There is a data dependency between the two activities. A student cannot submit a thesis on Koinon without first searching for and defining a topic. The second activity requires the output (topic) from the first activity to proceed with the thesis submission process.
Search for a topic;Present thesis in Colloquium;-;-;-;There is a logical dependency between the two activities. The topic searched for in the first activity is the same topic that will be presented in the colloquium, making it necessary to search for and define the topic before being able to present it in the final defense.
Conduct informal meeting to explain topic;Write and submit proposal;-;The context suggests that the informal meeting is a preferred approach by the supervisor to help the student understand the topic before writing the proposal, but it is not mandated by any governmental law or strict business rule. The supervisor explicitly states they do this meeting so the student can first read resources and understand the topic, making it a recommended but not mandatory practice.;-;There is a data dependency between the two activities. The informal meeting provides context, understanding, and guidance that helps the student write a more informed and focused proposal. The student cannot effectively write the proposal without first understanding the topic through the meeting.
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;The context suggests that the informal meeting is a recommended step before registration, but not a mandatory requirement. The interviewee mentions that 'the student service center suggests that they come to our consultation hour, or to write us an email and ask if it's okay to apply for the thesis in Koinon', indicating this is a suggested practice rather than a strict rule or law.;-;There is a data dependency between the two activities. The student needs to explain and potentially get approval for the topic during the informal meeting before the chair can proceed with registration, ensuring the topic is suitable and understood by the relevant stakeholders.
Conduct informal meeting to explain topic;Student accept thesis on Koinon;-;The context suggests that the informal meeting is a recommended consultation session where the topic is explained in detail to the student, allowing them to understand and potentially accept the topic. This is not mandated by law or a strict business rule, but appears to be a typical practice in the department to ensure student understanding and agreement before formal registration.;-;There is a data dependency between the two activities. The student cannot meaningfully accept a thesis on Koinon without first understanding the details of the topic through the informal meeting, which provides the necessary information for making an informed decision.
Conduct informal meeting to explain topic;Start writing thesis;-;The context suggests that the informal meeting is a common practice among supervisors to discuss the thesis topic, assess the student's understanding and commitment, and provide initial guidance, but it is not a mandatory university rule. The supervisor mentions sharing resources and evaluating the student's readiness after the meeting, indicating this is a typical procedure that supervisors follow, but not a strict requirement.;-;There is a data dependency between the two activities. The student cannot effectively start writing the thesis without first understanding the topic details, receiving initial guidance, and getting approval from the supervisor during the informal meeting.
Conduct informal meeting to explain topic;Conduct regular catch-up meetings;-;The context indicates that regular meetings are not mandated by the university, but are commonly practiced by supervisors as a preferred method of guiding students through their thesis process. The supervisor suggests these meetings are 'necessary' and 'what supervisors usually do', which aligns with the definition of a best practice - a procedure accepted by staff as superior but not legally required.;-;There is a logical dependency between the two activities. The informal initial meeting helps set the context, expectations, and direction for the subsequent regular catch-up meetings, making it necessary to conduct the initial meeting before establishing a regular meeting schedule.
Conduct informal meeting to explain topic;Submit thesis on Koinon;-;The context suggests that the informal meeting is a recommended consultation session where the topic is discussed in detail, but it is not a mandatory requirement enforced by law or a strict business rule. The interview indicates this is a suggested practice to ensure mutual understanding between the advisor and student before formal submission.;-;There is a data dependency between the two activities. The student needs to understand and agree on the thesis topic during the informal meeting before being able to submit the thesis on Koinon, which requires clear topic information and mutual understanding.
Conduct informal meeting to explain topic;Present thesis in Colloquium;-;-;-;-
Write and submit proposal;Get registered by chair on Koinon;-;-;The context indicates that the requirement for a proposal varies between chairs, with some chairs requiring it and others not. This suggests that the order of writing a proposal before getting registered is a rule set by individual chairs, which is under their full discretion and can be changed or discarded at their own will.;There is a data dependency between the two activities. The chair may require review of the proposal before registering the student, meaning the proposal provides necessary information or validation for the registration process.
Write and submit proposal;Student accept thesis on Koinon;-;-;The context suggests that the requirement for a proposal varies between chairs, indicating that this is a rule under the full jurisdiction of each chair. Some chairs require a proposal, while others do not, which demonstrates that this is a business rule that can be modified or discarded at the discretion of the chair.;-
Write and submit proposal;Start writing thesis;-;-;The context indicates that writing a proposal is a rule set by the specific chair, not mandated by the university. The student mentions that some friends in other chairs did not need to write a proposal before registering their thesis, suggesting this is a discretionary rule under the chair's jurisdiction.;There is a data dependency between the two activities. The proposal serves as a preliminary document that outlines methodologies and research approach, which can inform and guide the initial stages of thesis writing. However, it is not a strict requirement, as the context suggests students can potentially start writing before or without a formal proposal.
Write and submit proposal;Conduct regular catch-up meetings;-;The context indicates that regular meetings are not mandated by the university or strictly required, but are commonly preferred by supervisors as a way to track thesis progress. The interviews suggest that while meetings are not compulsory, they are typically conducted, especially after the proposal is submitted, making this a best practice rather than a strict rule or law.;-;-
Write and submit proposal;Submit thesis on Koinon;-;-;The context suggests that the proposal requirement varies between chairs, and is not a universal governmental mandate. Each chair has discretion over whether a proposal is required before thesis submission, indicating this is a business rule under the jurisdiction of individual chairs.;There is a data dependency between the two activities. Writing and submitting a proposal provides foundational information and preparation that supports the eventual thesis submission process, making it logically necessary to occur first.
Write and submit proposal;Present thesis in Colloquium;-;-;The context suggests that the proposal is a local chair-level procedure, not mandated by governmental regulations. The proposal is sent to the professor who will be the examiner, and it is saved locally by the chair. While the colloquium has specific governmental regulations, the proposal process appears to be under the discretion of the individual chair, making it a business rule.;-
Get registered by chair on Koinon;Student accept thesis on Koinon;-;-;The order of registration and acceptance appears to be a procedural rule set by the chair and the university system, which can be modified or changed at their discretion. The context suggests that the chair first registers the thesis on Koinon, and then the student subsequently accepts it, but this seems to be an internal process workflow rather than a strict governmental law or universally mandated best practice.;There is a data dependency between the two activities. The student cannot accept a thesis that has not first been registered by the chair. The second activity requires information and initialization from the first activity to proceed.
Get registered by chair on Koinon;Start writing thesis;-;-;The context suggests that the registration on Koinon is a procedural requirement set by the chair, which can vary between departments. The supervisor's uncertainty about whether students can start writing before registration indicates that this is a flexible rule under the chair's jurisdiction, making it a business rule rather than a strict governmental law or universally accepted best practice.;There is a data dependency between the two activities. The student cannot officially start the thesis process without being registered in the Koinon system, which provides the necessary authorization and tracking for the thesis work.
Get registered by chair on Koinon;Conduct regular catch-up meetings;-;-;The registration on Koinon is a procedural step set by the chair, which is a stakeholder of the process. The order of these activities is determined by the chair's internal rules and is not mandated by governmental law or a universally accepted best practice. The chair has full discretion to decide when and how meetings are conducted after registration.;There is a data dependency between the two activities. The student cannot conduct regular catch-up meetings with the supervisor without first being officially registered in the system, as the registration establishes the formal academic relationship and provides the necessary context for the meetings.
Get registered by chair on Koinon;Submit thesis on Koinon;-;-;The registration by the chair on Koinon appears to be an internal process rule set by the organization, where the chair must first register the thesis before the student can submit it. This is a rule under the full jurisdiction of the chair and can be potentially modified or discarded at their discretion.;There is a data dependency between the two activities. The student cannot submit the thesis on Koinon without first being registered by the chair, as the registration provides the necessary context and authorization for the thesis submission.
Get registered by chair on Koinon;Present thesis in Colloquium;The examination regulations, specifically the quoted section '§ 46a Bachelor Colloquium (1) - Students are considered registered for the Bachelor Colloquium once they have successfully completed their Bachelor's Thesis', indicates that registration by the chair is a prerequisite mandated by governmental regulations before a student can present their thesis in the Colloquium.;-;-;-
Student accept thesis on Koinon;Start writing thesis;-;-;The order of accepting the thesis on Koinon before starting to write appears to be an internal procedural rule set by the chair and student service center, which they can modify at their discretion. The process involves the chair registering the thesis and the student confirming it on Koinon before beginning work, but this seems to be an administrative workflow specific to their organization rather than a mandated governmental regulation.;There is a data dependency between the two activities. The student cannot meaningfully start writing the thesis without first officially accepting and being registered for the thesis on the Koinon platform, which provides the formal authorization and initial details needed to commence the work.
Student accept thesis on Koinon;Conduct regular catch-up meetings;-;-;The order of these activities appears to be a decision made by the chair or department, which is under their own jurisdiction. The context suggests that after accepting the thesis on Koinon, the student begins working on the thesis, which likely involves regular catch-up meetings. This is a rule that can be modified or discarded by the stakeholders of the process.;There is a data dependency between the two activities. The student cannot conduct meaningful catch-up meetings about a thesis before officially accepting it on the Koinon portal, as the thesis topic and registration need to be confirmed first.
Student accept thesis on Koinon;Submit thesis on Koinon;-;-;The order of accepting the thesis on Koinon before submitting it is a procedural rule set by the chair and the Koinon platform, which can be modified or changed at their discretion. The context indicates that the chair registers the thesis, the student confirms it, and then has four months to upload the thesis, suggesting this is an internal process rule rather than a strict governmental law or industry best practice.;There is a data dependency between the two activities. A student cannot submit a thesis on Koinon without first accepting and confirming the thesis details on the platform. The second activity requires information and confirmation from the first activity to proceed.
Student accept thesis on Koinon;Present thesis in Colloquium;The examination regulations of the university explicitly mandate that the colloquium must happen after the thesis is submitted. This is a rule created and enforced by the university's governmental body to regulate the academic process, making it a governmental law.;-;-;-
Start writing thesis;Conduct regular catch-up meetings;-;The context indicates that regular meetings with the supervisor are common practice among supervisors, but not a mandatory university rule. It is described as something supervisors 'usually do' to track progress and pace of the thesis, making it a best practice rather than a strict governmental law or specific business rule.;-;There is a data dependency between the two activities. The student needs to have started working on the thesis to have meaningful progress to discuss in the catch-up meetings. The second activity depends on having initial work or progress from the first activity to make the meeting substantive.
Start writing thesis;Submit thesis on Koinon;-;-;-;There is a data dependency between the two activities. The student must first write the thesis before being able to submit it on the Koinon portal. The submission requires the completed thesis document, which can only be created after starting and completing the writing process.
Start writing thesis;Present thesis in Colloquium;The examination regulations explicitly state the order and requirements for thesis submission and colloquium presentation. The regulations mandate that the thesis must be submitted before the colloquium can be conducted, which indicates a governmental law governing the academic process.;-;-;There is a data dependency between the two activities. You cannot present a thesis in a colloquium without first having written and submitted the thesis. The second activity depends on the completion of the first activity to proceed.
Conduct regular catch-up meetings;Submit thesis on Koinon;-;Regular catch-up meetings during the thesis process are typically recommended by supervisors to track progress and provide guidance, but are not mandated by any governmental law or strict business rule. They are a standard practice in academic research supervision to ensure the student is on track with their thesis development.;-;-
Conduct regular catch-up meetings;Present thesis in Colloquium;-;The context indicates that while regular meetings are not mandatory, they are commonly recommended and preferred by supervisors. The quote 'people usually prefer to have them at least once a week before submitting the thesis, but that is, of course, your choice' suggests this is a widely accepted practice but not a strict requirement, making it a best practice.;-;-
Submit thesis on Koinon;Present thesis in Colloquium;The supervisor explicitly states that the colloquium must happen after thesis submission, and this requirement is mandated by the university's examination regulations. This indicates a governmental law created and enforced by the university to regulate the academic process of thesis defense.;-;-;-
