sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;Professors believe it's beneficial for students to have some background knowledge before a detailed discussion, reflecting a common educational best practice.;-;Logical dependency - A student cannot effectively participate in a meeting to discuss a topic without having first conducted some research.
Search for a topic;Write and submit proposal;-;-;-;You cannot write a proposal without first knowing the topic, making it a logical dependency.
Search for a topic;Get registered by chair on Koinon;-;-;The chair requires students to have a topic before they will register them on Koinon, indicating a rule set by a stakeholder.;Logical dependency: A chair cannot register a student for a topic that hasn't been identified.
Search for a topic;Student accept thesis on Koinon;-;-;-;Yes, due to logical dependency. Students need to identify a research topic before formally accepting a specific thesis proposal on Koinon.
Search for a topic;Start writing thesis;-;-;The university/department appears to have a formalized process where students must have a topic confirmed before they officially begin writing their thesis. This is evident in the registration process and the general expectation outlined by the staff.;-
Search for a topic;Conduct regular catch-up meetings;-;The text states that regular meetings are common practice for supervisors and preferred by most, but not a university rule. This suggests it's a best practice.;-;You cannot have regular meetings about a thesis topic before a topic has been chosen.
Search for a topic;Submit thesis on Koinon;-;-;-;A student cannot submit a thesis on a topic they haven't researched and chosen yet. The act of searching for a topic and formulating a thesis statement is a prerequisite to the submission process.
Search for a topic;Present thesis in Colloquium;-;-;The university mandates that the colloquium must happen after the thesis submission, and university regulations fall under Business Rules.;-
Conduct informal meeting to explain topic;Write and submit proposal;-;-;The advisor requires an informal meeting to explain the topic before the student can write the proposal, indicating it's a rule set by the chair, not a law or universal best practice.;Logical dependency: The student needs information from the informal meeting to write the proposal.
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;This informal meeting is presented as a suggestion rather than a requirement, indicating a common practice to ensure students are prepared before formal registration.;-;Logical dependency: The chair needs to know the student's research topic before registering it.
Conduct informal meeting to explain topic;Student accept thesis on Koinon;-;The Student Service Center suggests the informal meeting as beneficial for students to understand the thesis topic before accepting it, indicating a recommended practice rather than a rule or law.;-;Logical dependency: A student cannot meaningfully accept a thesis topic without understanding it, making the informal meeting a logical prerequisite.
Conduct informal meeting to explain topic;Start writing thesis;-;While not a strict rule, informal meetings are presented as the standard practice for advisors to explain topics and ensure student understanding before thesis writing.;-;logical dependency
Conduct informal meeting to explain topic;Conduct regular catch-up meetings;-;The interview highlights that "supervisors usually do" this type of meeting. It's a common practice deemed beneficial for student progress and thesis completion. This suggests an established, preferred method within the university's culture, even if not formally mandated.;-;-
Conduct informal meeting to explain topic;Submit thesis on Koinon;-;The Student Service Center recommending an informal meeting before thesis submission suggests a practice they deem beneficial, not a strict requirement. This aligns with the definition of Best Practice.;-;Logical dependency: Discussing the thesis topic ensures the student is informed and prepared before formal submission, making it a logical prerequisite.
Conduct informal meeting to explain topic;Present thesis in Colloquium;-;While not legally mandated, it's widely understood within academia that students need guidance and mentorship to define a thesis topic before embarking on the research and eventual presentation.;-;Yes, logical dependency. You cannot present a thesis without having a defined topic, which is determined in the informal meeting.
Write and submit proposal;Get registered by chair on Koinon;-;-;The requirement for a proposal and the registration process on Koinon are under the control of the university/department, making it a rule they can modify.;Yes, data dependency. The chair needs the proposal's information to evaluate the thesis topic before registering it on Koinon.
Write and submit proposal;Student accept thesis on Koinon;-;-;The text indicates flexibility around the requirement of a proposal, suggesting it's a departmental or chair preference rather than a law or universal best practice. The phrases "it depends on the chairs" and "other departments may not allow" point to a rule under their jurisdiction.;logical dependency
Write and submit proposal;Start writing thesis;-;The context suggests writing a proposal is common and expected, but not strictly required. It's presented as a helpful step but not mandatory, indicating a best practice rather than a rule.;-;-
Write and submit proposal;Conduct regular catch-up meetings;-;The context highlights that regular meetings after proposal submission are common practice among supervisors, but not mandatory. Phrases like "usually prefer," "common that all supervisors have," and "not a university rule" indicate a well-established norm rather than a strict rule.;-;-
Write and submit proposal;Submit thesis on Koinon;-;-;The text indicates that writing a proposal is dependent on whether the department or chair requires it, suggesting an internal rule rather than an external law or universal best practice. Additionally, Koinon's system seems designed to accommodate this workflow.;logical dependency
Write and submit proposal;Present thesis in Colloquium;The text states that the university's examination regulations mandate the colloquium to occur after thesis submission.;-;-;Logical dependency: A thesis must exist before it can be presented in a colloquium.
Get registered by chair on Koinon;Student accept thesis on Koinon;-;-;The process relies on the internal Koinon platform, suggesting a rule established by the university/department. They control this process and could change the order if desired.;Data Dependency: The student cannot accept a thesis that hasn't been registered by the chair first. The system likely requires the chair's registration to create the thesis record.
Get registered by chair on Koinon;Start writing thesis;-;-;The department enforces a specific process where registration on the Koinon platform by the chair is required before the student can officially start writing their thesis. This rule, while seemingly strict, is under the department's control and could be changed.;Logical dependency: Official approval to start the thesis and initiate the four-month timeline is contingent upon the student's registration in the Koinon system.
Get registered by chair on Koinon;Conduct regular catch-up meetings;-;-;-;-
Get registered by chair on Koinon;Submit thesis on Koinon;-;-;The order is likely dictated by the Koinon system's design, which is under the university's control. They can modify this workflow if needed.;Data Dependency: The system requires student and thesis information from the registration to enable submission.
Get registered by chair on Koinon;Present thesis in Colloquium;The text states that students are considered registered for the Colloquium only after successfully completing their Bachelor's Thesis, indicating a formal requirement likely imposed by a governing body. The presence of deadlines further supports this.;-;-;Logical dependency: A student cannot present a thesis before it's registered and assessed.
Student accept thesis on Koinon;Start writing thesis;-;-;The university has established a rule where students must formally accept their thesis topic in the Koinon system before they can begin the four-month writing period. This is an internal rule managed by the university.;logical dependency
Student accept thesis on Koinon;Conduct regular catch-up meetings;-;-;-;Logical dependency: Catch-up meetings are likely dependent on having an established thesis topic, which happens upon accepting a thesis on Koinon.
Student accept thesis on Koinon;Submit thesis on Koinon;-;-;The order is determined by the university/department's workflow for thesis management within the Koinon platform.;Yes, data dependency: A thesis cannot be submitted before it has been formally accepted by the student.
Student accept thesis on Koinon;Present thesis in Colloquium;The text states that 'it is mandated by the university's examination regulations that the colloquium must happen after the thesis is submitted'. University regulations are a form of governmental law, as universities are typically bound by government-established educational frameworks and standards.;-;-;Logical dependency: A student cannot present a thesis in a colloquium before formally accepting the thesis topic and beginning the process. The colloquium is a presentation and defense of completed work, requiring the prior step of accepting the thesis topic and subsequently completing the thesis itself.
Start writing thesis;Conduct regular catch-up meetings;-;The context describes regular supervisory meetings as a common practice within the university, not a strict rule or law.;-;-
Start writing thesis;Submit thesis on Koinon;-;-;The university, using its Koinon platform, mandates registering the thesis before submission, implying the thesis needs to be at least started to have a title for registration.;Data dependency: A thesis must be written before it can be submitted.
Start writing thesis;Present thesis in Colloquium;The university's examination regulations mandate that the colloquium must happen after the thesis submission.;-;-;Logical Dependency: You cannot present a thesis without having written one first.
Conduct regular catch-up meetings;Submit thesis on Koinon;-;The Student Service Center suggests consultations, implying these meetings are beneficial but not mandatory. This aligns with the definition of a best practice.;-;-
Conduct regular catch-up meetings;Present thesis in Colloquium;The university's examination regulations mandate that the colloquium must occur after the thesis submission.;-;-;Logical dependency: The colloquium, a formal evaluation of the completed thesis, cannot precede the thesis completion.
Submit thesis on Koinon;Present thesis in Colloquium;The university's examination regulations, acting as rules enforced by an institution, mandate that the colloquium must happen after the thesis submission.;-;-;You cannot present a thesis that has not been submitted and reviewed.
