sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;-;The supervisors or chairs provide topics for the students, and an informal meeting to explain the topic follows the student's search for potential topics, indicating a rule set by the stakeholders involved in the thesis process.;-
Search for a topic;Write and submit proposal;-;-;The decision to search for a topic before writing and submitting a proposal is under the full jurisdiction of the chair or supervisor, as indicated by the interviews.;-
Search for a topic;Get registered by chair on Koinon;-;-;The stakeholders involved in the thesis process, such as the student, the chair, and potentially the supervisor, have the discretion to decide that the topic should be finalized before the registration occurs.;-
Search for a topic;Student accept thesis on Koinon;-;-;The rule is under the full jurisdiction of the stakeholders to ensure students have a clear research topic before accepting the thesis.;-
Search for a topic;Start writing thesis;-;-;The decision to search for a topic before starting to write the thesis is under the full jurisdiction of the chair or professor, indicating a business rule.;-
Search for a topic;Conduct regular catch-up meetings;-;-;The regular catch-up meetings are a common practice established by supervisors to support students throughout their thesis writing process.;-
Search for a topic;Submit thesis on Koinon;-;-;The decision for the student to search for a topic before submitting the thesis on Koinon seems to be a rule or guideline set by the stakeholders involved in the process, such as the chair, student services, and the advisor. This order ensures that the necessary information and details about the thesis are finalized before officially registering it on the platform.;-
Search for a topic;Present thesis in Colloquium;The examination regulations of the university mandate that the colloquium must happen after the thesis is submitted, regulating student behavior in the examination process.;-;-;-
Conduct informal meeting to explain topic;Write and submit proposal;-;-;The decision to have an informal meeting to explain the topic before writing and submitting the proposal is under the full jurisdiction of the supervisor or chair, based on their preferences and experience.;-
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;-;The decision to conduct an informal meeting before registration is under the discretion of the chair or professor to ensure alignment of the topic with their expertise.;-
Conduct informal meeting to explain topic;Student accept thesis on Koinon;-;-;The informal meeting to explain the thesis topic is a specific requirement set by the stakeholders involved in the process to ensure the student understands and agrees with the chosen topic before accepting the thesis on Koinon.;-
Conduct informal meeting to explain topic;Start writing thesis;-;-;The decision to have an informal meeting to explain the thesis topic before starting to write the thesis is under the full jurisdiction of the advisor or supervisor. It is a common practice among supervisors to have regular meetings with students to ensure they are on track with their thesis work.;-
Conduct informal meeting to explain topic;Conduct regular catch-up meetings;-;The supervisor prefers to explain the topic in detail first to help the student understand the resources and topic better before having regular catch-up meetings to ensure progress. Regular catch-up meetings are not a university rule but a common practice among supervisors.;-;-
Conduct informal meeting to explain topic;Submit thesis on Koinon;-;The informal meeting to explain the thesis topic to the student is a common practice to ensure alignment and interest before formal submission.;-;-
Conduct informal meeting to explain topic;Present thesis in Colloquium;-;It is a common practice for students to have an informal meeting with their professor or other academic staff to explain the thesis topic in detail before proceeding to present the thesis in the colloquium. This informal meeting allows the student to discuss the topic, receive feedback, and ensure alignment with the supervisor's expectations before the formal presentation.;-;-
Write and submit proposal;Get registered by chair on Koinon;-;-;The advisor reviews the proposal before the thesis is registered on Koinon, indicating a common practice or rule within the organization that the proposal needs to be submitted for review before the registration process takes place.;-
Write and submit proposal;Student accept thesis on Koinon;-;-;The decision of whether a proposal is required or not is determined by the chairs, who are stakeholders in the process. The chairs set the requirements for the thesis process, including the need for a proposal before proceeding with the thesis.;-
Write and submit proposal;Start writing thesis;-;-;The decision to require a proposal before starting to write the thesis is under the full jurisdiction of the chair, as indicated by the statement from the student that it was something set by the chair and not mandated by the university.;-
Write and submit proposal;Conduct regular catch-up meetings;-;-;The decision of when to conduct regular catch-up meetings is under the full jurisdiction of the supervisors or chairs overseeing the thesis process, as indicated in the interviews.;-
Write and submit proposal;Submit thesis on Koinon;-;-;The decision of whether a proposal is required or not depends on the chairs, indicating that it is under the full jurisdiction of the stakeholders in the process.;-
Write and submit proposal;Present thesis in Colloquium;The university's examination regulations mandate that the colloquium must happen after the thesis is submitted to regulate student behavior in the examination process.;-;-;-
Get registered by chair on Koinon;Student accept thesis on Koinon;-;-;The chair needs to officially register the student and the thesis before the student can accept it, ensuring the necessary administrative steps are completed in the correct order.;-
Get registered by chair on Koinon;Start writing thesis;-;-;The chair registers the student via the Koinon portal before the student can confirm the thesis and begin working on it, indicating a standard procedure or protocol followed by the stakeholders involved in the thesis process.;-
Get registered by chair on Koinon;Conduct regular catch-up meetings;-;-;The registration by the chair on Koinon likely signifies the official approval and initiation of the thesis work, while conducting regular catch-up meetings is a common practice to ensure progress and provide guidance. These practices are under the discretion of the stakeholders involved in the thesis process.;-
Get registered by chair on Koinon;Submit thesis on Koinon;-;-;The chair registers the student via the Koinon portal before the student can confirm the thesis, indicating a decision made by the chair or advisor, falling under the full jurisdiction of the stakeholders involved in the process.;-
Get registered by chair on Koinon;Present thesis in Colloquium;The university and the Bavarian state ministry enforce the rule that students are considered registered for the Bachelor Colloquium once they have successfully completed their Bachelor's Thesis in the Information Engineering degree program.;-;-;-
Student accept thesis on Koinon;Start writing thesis;-;-;The decision to accept the thesis on Koinon before starting to write the thesis is a rule that has been set by the stakeholders involved in the process, and they have the discretion to change or discard this rule at their own discretion.;-
Student accept thesis on Koinon;Conduct regular catch-up meetings;-;-;The process of accepting the thesis on Koinon is under the jurisdiction of the chair and the student services, who are stakeholders in the process. They have control over the steps involved in registering and confirming the thesis on Koinon.;-
Student accept thesis on Koinon;Submit thesis on Koinon;-;-;The stakeholders involved in the thesis submission process, such as the advisor, the chair, and the student service center, have the discretion to set the order in which these activities occur based on their internal processes and requirements.;-
Student accept thesis on Koinon;Present thesis in Colloquium;The university's examination regulations mandate that the colloquium must happen after the thesis is submitted, regulating student behavior in the examination process.;-;-;-
Start writing thesis;Conduct regular catch-up meetings;-;Based on the provided context, it is common practice for supervisors to have regular weekly or bi-weekly meetings with students to check the progress of the thesis. Although it is not a university rule, it is something that supervisors usually do to ensure that students are on track with their thesis work.;-;-
Start writing thesis;Submit thesis on Koinon;-;-;The chair registers the thesis on the platform after the student officially accepts the thesis on the Koinon portal, indicating a business rule set by the stakeholders involved in the thesis process.;-
Start writing thesis;Present thesis in Colloquium;The university's examination regulations mandate that the colloquium must happen after the thesis is submitted, as stated by Supervisor 1.;-;-;-
Conduct regular catch-up meetings;Submit thesis on Koinon;-;-;The decision to conduct regular catch-up meetings is under the full jurisdiction of the stakeholders involved in the thesis process to ensure progress and success.;-
Conduct regular catch-up meetings;Present thesis in Colloquium;-;Regular catch-up meetings are a common practice before thesis submission to ensure progress and readiness for presentation.;-;-
Submit thesis on Koinon;Present thesis in Colloquium;The university's examination regulations mandate that the colloquium must happen after the thesis is submitted.;-;-;-
