sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;The supervisor states that they prefer the student to read about the topic first and then have a meeting to explain the topic in detail. This indicates that the supervisor believes this is a superior procedure, even though it is not mandated by the university or any other external entity. This makes it a best practice.;-;-
Search for a topic;Write and submit proposal;-;-;The supervisor states that the proposal is not mandated by the university, but rather a rule set by each chair. This indicates that the relationship between the two activities is a business rule since it is a rule that is under the full jurisdiction of the chair, a stakeholder of the process.;There is a data dependency between the two activities. You cannot write a proposal without finding a topic first. The second activity thus depends on data from the first activity to proceed with the process.
Search for a topic;Get registered by chair on Koinon;-;The student service center suggests that students come to their consultation hour or write an email to ask if it's okay to apply for the thesis in Koinon. This suggests that while not mandatory, the consultation is a recommended step before registering the thesis on Koinon. This aligns with the definition of a best practice, as it is a procedure generally accepted as superior to alternatives but not enforced.;-;-
Search for a topic;Student accept thesis on Koinon;-;-;The student service center suggests that students come to their consultation hour or write an email to ask if it's okay to apply for the thesis in Koinon. This indicates that the relationship between the two activities is a business rule since it is a rule that is under the full jurisdiction of the student service center, a stakeholder of the process.;There is a data dependency between the two activities. You cannot accept a thesis on Koinon without first searching for a topic. The second activity thus depends on data from the first activity to proceed with the process.
Search for a topic;Start writing thesis;-;-;The supervisor states that they ask students to double-check their status before starting to write the thesis. This indicates that the relationship between the two activities is a business rule since it is a rule that is under the full jurisdiction of the supervisor, a stakeholder of the process.;There is a data dependency between the two activities. You cannot write a thesis without having a topic first. The second activity thus depends on data from the first activity to proceed with the process.
Search for a topic;Conduct regular catch-up meetings;-;The student mentions that while there is no university rule, supervisors usually have regular meetings to ensure the student is on track with their thesis. This indicates that the relationship between the two activities is a best practice since it is a procedure usually accepted by the organization's staff to be superior to alternatives, but is not required to be followed nor enforced by any stakeholder.;-;-
Search for a topic;Submit thesis on Koinon;-;-;The student service center suggests that students come to their consultation hour or write an email to ask if it's okay to apply for the thesis in Koinon before registering the thesis on Koinon. This indicates that the relationship between the two activities is a business rule since it is a rule that is under the full jurisdiction of the student service center, a stakeholder of the process.;There is a data dependency between the two activities. You cannot submit a thesis on Koinon without having a topic first. The second activity thus depends on data from the first activity to proceed with the process.
Search for a topic;Present thesis in Colloquium;The supervisor explicitly states that the colloquium must happen after the thesis is submitted, and this is mandated by the university's examination regulations. This indicates that the relationship between the two activities is a governmental law since it is a rule created and enforced by the university to regulate the behaviour of the students in the examination process.;-;-;There is a data dependency between the two activities. You cannot present a thesis in a colloquium without having a thesis to present. The second activity thus depends on data from the first activity to proceed with the process.
Conduct informal meeting to explain topic;Write and submit proposal;-;The supervisor states that they prefer the student to read about the resources and know more about the topic before explaining what should be done. This indicates that the supervisor considers this order of activities to be a superior procedure, even though it is not mandated by the university or the chair. Therefore, it is a best practice.;-;-
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;The student service center suggests that students come to their consultation hour or write an email to ask if it's okay to apply for the thesis in Koinon. This suggests that the consultation is not mandatory but is a recommended practice. The student service center also mentions that other departments may not allow this consultation session, further indicating that it is not a mandatory requirement but rather a best practice.;-;-
Conduct informal meeting to explain topic;Student accept thesis on Koinon;-;The Student Service Center suggests that students come to their consultation hour or write an email before applying for the thesis on Koinon. This suggests that the informal meeting is not mandatory but is a recommended practice for students to ensure they understand the topic and its potential outcomes before committing to it. This aligns with the definition of a best practice, which is a procedure usually accepted as superior to alternatives but not required.;-;-
