sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;The context indicates that the supervisor prefers students to conduct research on the topic before the meeting to facilitate a better understanding during the explanation. This suggests that while it is not a mandatory requirement, it is a procedure accepted by the supervisor as a superior approach, thus categorizing it as a best practice.;-;There is a logical dependency; the informal meeting to explain the topic is more effective if the student has already searched for and researched the topic beforehand. Therefore, the second activity cannot logically precede the first.
Search for a topic;Write and submit proposal;-;-;The context indicates that writing a proposal is not mandated by the university but is a requirement set by the chair. This suggests that the relationship between searching for a topic and writing a proposal is governed by a business rule established by the chair, which can vary between different chairs.;There is a logical dependency between the two activities. You cannot write and submit a proposal without first searching for a topic, as the proposal is based on the topic that has been selected.
Search for a topic;Get registered by chair on Koinon;-;-;The context indicates that the process of searching for a topic is a necessary step before the chair can register the student on Koinon. This is not mandated by any governmental law but is a rule that is under the jurisdiction of the chair and the student service center, which can set their own procedures regarding the registration process.;There is a logical dependency between the two activities. The student must first search for a topic and have it approved by the chair before the registration can occur on Koinon, indicating that the second activity cannot logically precede the first.
Search for a topic;Student accept thesis on Koinon;-;-;The process description indicates that the student must first search for a topic before they can accept the thesis on Koinon. This is a rule that is under the jurisdiction of the stakeholders involved, as it is a procedural step that the chair and student services expect to be followed, but it is not mandated by any governmental law or universally accepted best practice.;There is a logical dependency between the two activities. The student cannot accept a thesis without first having a topic to accept, making the first activity a prerequisite for the second.
Search for a topic;Start writing thesis;-;The context indicates that while students may technically start writing their thesis before being officially registered, it is generally accepted that they should first search for a topic and consult with their chair. This suggests that searching for a topic is a best practice that is commonly followed to ensure alignment with academic expectations, even if it is not strictly enforced.;-;-
Search for a topic;Conduct regular catch-up meetings;-;The context indicates that while regular meetings with the supervisor are not mandatory, they are commonly preferred and accepted as a superior procedure among supervisors to ensure students stay on track with their thesis. This suggests that the practice of conducting catch-up meetings is based on best practices rather than a strict requirement.;-;There is a logical dependency; you cannot conduct regular catch-up meetings about a thesis topic without first having a topic to discuss. Therefore, the second activity depends on the first.
Search for a topic;Submit thesis on Koinon;-;-;The context indicates that the process of submitting a thesis on Koinon is contingent upon the student first searching for a topic. This is a rule that is under the jurisdiction of the stakeholders involved, specifically the chair and the student services, which can dictate the process flow but is not mandated by any governmental law or universally accepted best practice.;There is a logical dependency; you cannot submit a thesis without first having a topic to write about, making the second activity dependent on the first.
Search for a topic;Present thesis in Colloquium;The examination regulations set by the university clearly state that the Bachelor Colloquium must occur after the submission of the Bachelor's Thesis. Since searching for a topic is a prerequisite for writing the thesis, it is mandated by the university's regulations that this activity must occur before the colloquium presentation.;-;-;There is a logical dependency between the two activities. You cannot present the thesis in the colloquium without first having a topic to base the thesis on, which establishes a necessary order of operations.
Conduct informal meeting to explain topic;Write and submit proposal;-;The context indicates that the informal meeting is a preferred procedure by the supervisor to ensure that the student understands the topic before writing the proposal. It is not mandated by the university or the chair, but it is a common practice that enhances the quality of the proposal, thus categorizing it as a best practice.;-;There is a logical dependency; the student needs to understand the topic through the informal meeting before they can effectively write and submit the proposal.
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;The context indicates that the Student Service Center suggests that students come for a consultation before applying for the thesis in Koinon. This implies that while it is not a mandatory requirement, it is a commonly accepted procedure that enhances the process, thus categorizing it as a best practice.;-;-
