sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;The supervisor prefers students to conduct research before the meeting to enhance understanding and effectiveness, which is a commonly accepted practice.;-;The second activity cannot effectively occur without the first, as the student needs to be prepared to follow the discussion.
Search for a topic;Write and submit proposal;-;-;The requirement to search for a topic before writing a proposal is influenced by the chair's expectations and practices, indicating it is a rule under the jurisdiction of the stakeholders involved.;Yes, there is a logical dependency as a proposal cannot be written without first having a defined topic.
Search for a topic;Get registered by chair on Koinon;-;-;The ordering is determined by the internal processes and expectations of the chair and the student service center, requiring a topic to be established before registration.;Yes, the second activity cannot logically occur before the first activity because the registration requires a topic to be established first.
Search for a topic;Student accept thesis on Koinon;-;-;The process is governed by the internal rules of the chair and the Koinon system, which require that a topic must be identified before it can be accepted.;The student cannot accept a thesis topic without first having a topic to accept, indicating a logical dependency.
Search for a topic;Start writing thesis;-;-;The requirement for students to consult with their chair and obtain approval for their topic before they can begin writing is a rule established by the stakeholders involved in the process.;There is a logical dependency; you cannot start writing a thesis without having a defined topic to work on.
Search for a topic;Conduct regular catch-up meetings;-;-;The decision to conduct regular catch-up meetings is based on the preferences of the stakeholders (students and supervisors) and is not enforced by any governmental law or university regulation.;-
Search for a topic;Submit thesis on Koinon;-;-;The process of submitting a thesis on Koinon requires a title, which must be based on a topic that has been identified by the student, indicating an internal requirement of the chair and student services.;Yes, the submission logically depends on having a topic, as you cannot submit a thesis title without first identifying a topic.
Search for a topic;Present thesis in Colloquium;-;-;The relationship is determined by the stakeholders (students and chair) who establish the process of topic selection and thesis presentation.;Yes, the presentation of the thesis logically cannot occur without first having a topic to develop into that thesis.
Conduct informal meeting to explain topic;Write and submit proposal;-;-;The informal meeting is a practice established by the chair or supervisor to ensure the student is well-prepared before writing the proposal, and it is not mandated by any external regulations.;The proposal writing logically depends on the prior understanding gained from the meeting, making it impossible to write the proposal without first conducting the meeting.
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;-;The informal meeting is a common practice suggested by the Student Service Center and is not mandated by any governmental law or regulation. It is under the jurisdiction of the stakeholders to decide whether to follow this practice.;The second activity cannot logically occur before the first activity, as the registration requires prior confirmation of the topic through the meeting.
Conduct informal meeting to explain topic;Student accept thesis on Koinon;-;-;The informal meeting is a guideline set by the student services and the chair that the student should conduct before formally accepting the thesis.;The student cannot accept the thesis on Koinon without first having a clear understanding of the topic, which is provided during the informal meeting.
Conduct informal meeting to explain topic;Start writing thesis;-;-;The informal meeting is a common practice among supervisors to ensure that students are well-informed and ready to start writing their thesis, and it is not mandated by any governmental law or university regulation.;Yes, the second activity cannot logically precede the first activity without the necessary information and guidance provided in the meeting.
