sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;The supervisor explains that they prefer students to research the topic first before the explanation meeting. This allows students to better understand and follow the topic during the meeting. While not a strict rule, it's considered a superior approach by the supervisor.;-;-
Search for a topic;Write and submit proposal;-;-;The requirement to write and submit a proposal after searching for a topic appears to be a rule set by the specific chair or department, not a universal requirement across the university. This is evidenced by the statement that some students with other chairs did not need to write an exposé (proposal) before registering their thesis.;Yes, logically one must have a topic before writing a proposal about it.
Search for a topic;Get registered by chair on Koinon;-;The order of these activities appears to be a best practice in the thesis process. While it's not explicitly stated as a rule, the context suggests that students typically search for topics and consult with professors before the chair registers them on Koinon. This practice allows students to explore potential thesis topics and gain approval from the chair before formal registration, which is likely seen as a more efficient and effective approach.;-;-
Search for a topic;Student accept thesis on Koinon;-;The order of these activities is considered a best practice in the thesis process. While not explicitly mandated by law or a strict business rule, it's logical and beneficial for students to search for a topic before accepting a thesis on Koinon. This allows students to explore potential research areas and make an informed decision before committing to a specific thesis topic.;-;No data or resource dependency exists between these activities, but there's a logical sequence as accepting a thesis typically requires having a topic in mind.
Search for a topic;Start writing thesis;-;Searching for a topic before starting to write the thesis is considered a best practice in academic settings. It allows students to consult with professors, ensure the topic is appropriate, and gain approval before investing time in writing. While not strictly enforced, it's generally accepted as the superior approach to thesis writing.;-;Yes, it's logically impossible to start writing a thesis without first having a topic to write about.
Search for a topic;Conduct regular catch-up meetings;-;Regular catch-up meetings are described as a common practice among supervisors, but not a university rule. They are conducted to keep students on pace for their thesis, which implies they occur after the topic selection process.;-;-
Search for a topic;Submit thesis on Koinon;-;-;The order of these activities is determined by the university's process for thesis submission. Students are given four months to search for topics and write their thesis before submitting it on Koinon. This is a rule set by the university and can be changed at their discretion.;Yes, it's logically impossible to submit a thesis without first having a topic to write about.
Search for a topic;Present thesis in Colloquium;-;-;The order of these activities is determined by the university's examination regulations, which fall under the jurisdiction of the university (a stakeholder in the process). The university has the discretion to change or modify these rules.;Yes, it is logically impossible to present a thesis without first having a topic to research and write about.
Conduct informal meeting to explain topic;Write and submit proposal;-;-;The order of these activities appears to be a business rule set by the chair. The context mentions that not all chairs require a proposal, and it's not mandated by the university. The supervisor conducts an informal meeting to explain the topic in detail before the student writes the proposal, which seems to be a practice specific to this chair's process.;No, but it's logical for the student to understand the topic before writing a proposal about it.
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;The informal meeting to explain the topic before registration on Koinon appears to be a recommended practice to ensure students are prepared and have a clear understanding before formal registration. However, it's mentioned that 'other departments may not allow this consultation session', indicating it's not a universal rule or law.;-;-
Conduct informal meeting to explain topic;Student accept thesis on Koinon;-;The informal meeting to explain the topic before the student accepts the thesis on Koinon appears to be a recommended practice by the Student Service Center. It's not mandated by law or a strict business rule, but rather a suggested step to ensure students are well-informed before formally accepting a thesis topic.;-;-
Conduct informal meeting to explain topic;Start writing thesis;-;The informal meeting to explain the topic before starting to write the thesis is a common practice that helps ensure the student understands and likes the topic. It's not a strict rule or law, but it's considered beneficial for both the student and advisor.;-;No, but it's logical to understand the topic before writing about it.
Conduct informal meeting to explain topic;Conduct regular catch-up meetings;-;The informal meeting to explain the topic and the subsequent regular catch-up meetings are not mandated by governmental law or strict business rules. Instead, they are common practices adopted by supervisors to ensure effective guidance and progress monitoring. These meetings are described as 'not mandatory by the university' but 'necessary and what the supervisors usually do', indicating that they are considered best practices in academic supervision.;-;-
Conduct informal meeting to explain topic;Submit thesis on Koinon;-;The informal meeting to explain the topic is likely a best practice adopted by the department to ensure students understand their thesis topic before officially submitting it. This helps in clarifying expectations and potentially reducing issues later in the process.;-;-
Conduct informal meeting to explain topic;Present thesis in Colloquium;-;-;The informal meeting to explain the topic occurs before presenting the thesis in the Colloquium as part of the organization's process for thesis development. This is not mandated by law or a widely accepted best practice, but rather a rule set by the university to ensure students understand their topics before proceeding with their thesis work.;Yes, it is logically impossible to present a thesis that hasn't been developed yet, which requires understanding the topic first.
Write and submit proposal;Get registered by chair on Koinon;-;-;The requirement for writing and submitting a proposal before registration on Koinon appears to be a rule set by individual chairs or departments, not a universal requirement. The context mentions 'it depends on the chairs' and 'if the chair requires it', indicating this is a flexible rule that can vary between different chairs or departments within the organization.;-
Write and submit proposal;Student accept thesis on Koinon;-;-;The order of these activities appears to be a business rule set by the university or department. The proposal writing and submission process precedes the formal acceptance of the thesis on Koinon, which seems to be an internal system for managing theses. This order allows for the proposal to be reviewed and approved before the thesis is officially registered in the system, ensuring that the research direction is agreed upon before the formal thesis process begins.;-
Write and submit proposal;Start writing thesis;-;The proposal (or exposé) is not mandated by the university but is a practice set by some chairs. It helps in planning the thesis and outlining methodologies, but students can start writing their thesis before being officially registered.;-;-
Write and submit proposal;Conduct regular catch-up meetings;-;Regular catch-up meetings are commonly held by supervisors after the proposal is submitted, but it's not a strict university rule. It's a widely accepted practice to ensure students stay on track with their thesis, but the frequency and occurrence of these meetings can vary based on individual preferences and needs.;-;-
Write and submit proposal;Submit thesis on Koinon;-;Writing and submitting a proposal before submitting the thesis on Koinon appears to be a recommended practice, but not a strict requirement. The context mentions 'So it depends on the chairs' and 'if it's required or they do not if it's not required', suggesting that this step is not universally mandated but is considered a good practice in the thesis process.;-;No - While it's logical to have a proposal before a thesis, it's not strictly necessary from a natural law perspective.
Write and submit proposal;Present thesis in Colloquium;-;-;The order of these activities is determined by the university's examination regulations, which mandate that the colloquium must happen after the thesis is submitted. This rule is under the jurisdiction of the university and can be changed at their discretion, making it a Business Rule rather than a Governmental Law or Best Practice.;No logical dependency exists between writing a proposal and presenting a thesis, as the order could theoretically be reversed without causing a deadlock or violating any natural laws.
Get registered by chair on Koinon;Student accept thesis on Koinon;-;-;This order appears to be a specific process implemented by the university using the Koinon system. It's not a governmental law or widely accepted best practice, but rather a rule set by the institution to manage the thesis registration process.;The student cannot accept a thesis that hasn't been registered yet, so there is a logical dependency.
Get registered by chair on Koinon;Start writing thesis;-;-;The process of registering the student on Koinon before they start writing their thesis appears to be a rule set by the university or department. It's not a governmental law or a best practice, but rather a specific procedure established by the institution to formally initiate the thesis process.;-
Get registered by chair on Koinon;Conduct regular catch-up meetings;-;-;-;The registration on Koinon is necessary to formally start the thesis process, which is a prerequisite for conducting regular catch-up meetings related to the thesis work.
Get registered by chair on Koinon;Submit thesis on Koinon;-;-;The order of these activities appears to be a business rule set by the university or department. The chair registers the student and thesis details on Koinon before the student can submit their thesis. This process is specific to the organization's workflow and could be changed if the university decided to alter their procedures.;Yes, there is a logical dependency. The student cannot submit a thesis on Koinon without first being registered in the system by the chair.
Get registered by chair on Koinon;Present thesis in Colloquium;The order is dictated by university regulations, which are typically governed by educational laws. The context states that 'Students are considered registered for the Bachelor Colloquium once they have successfully completed their Bachelor's Thesis,' indicating a legal requirement for thesis completion before the colloquium.;-;-;Yes, there is a logical dependency. The thesis must be completed before it can be presented in the colloquium, as the colloquium is a presentation and defense of the completed thesis work.
Student accept thesis on Koinon;Start writing thesis;-;-;The order of these activities is determined by the organization's process for thesis writing. The student must first accept the thesis on the Koinon portal before officially starting to write it. This is a rule set by the university or department to manage and track the thesis process, and could potentially be changed if the organization decided to modify their procedures.;No data dependency exists between accepting a thesis and starting to write it, so this is not a law of nature.
Student accept thesis on Koinon;Conduct regular catch-up meetings;-;Regular catch-up meetings are likely conducted after the student accepts the thesis to track progress and provide guidance. This is not mandated by law or a strict business rule, but rather a best practice to ensure successful thesis completion.;-;-
Student accept thesis on Koinon;Submit thesis on Koinon;-;-;The order of these activities is determined by the university's process for thesis submission using the Koinon platform. This is a rule set by the university (the stakeholder) and can be changed at their discretion. It's not a governmental law or a widely accepted best practice across all universities.;Yes, logically the student must accept the thesis topic before they can submit the completed thesis.
Student accept thesis on Koinon;Present thesis in Colloquium;-;-;The order of these activities is mandated by the university's examination regulations, which is a rule set by the university (a stakeholder in the process) and can be changed at their discretion.;Yes, the student must complete and submit the thesis before presenting it in the colloquium, as you cannot present work that hasn't been completed yet.
Start writing thesis;Conduct regular catch-up meetings;-;The regular catch-up meetings are described as a common practice among supervisors, but not a university rule. It's a procedure accepted by the staff to be beneficial for monitoring progress and ensuring the student is on pace, but it's not enforced by any stakeholder.;-;-
Start writing thesis;Submit thesis on Koinon;-;-;The order of these activities is determined by the university's process for thesis submission. The context mentions that students have four months to write and upload their thesis after it's accepted on Koinon. This timeframe is likely set by the university or department, making it a business rule that can be changed at their discretion.;Yes, it's logically impossible to submit a thesis before starting to write it.
Start writing thesis;Present thesis in Colloquium;According to the examination regulations mentioned in the context, it is mandated by the university that the colloquium must happen after the thesis is submitted. This rule is enforced by the university, which is considered a governmental institution in the context of education.;-;-;-
Conduct regular catch-up meetings;Submit thesis on Koinon;-;Regular catch-up meetings during the thesis writing process are not mandated by law or explicitly mentioned as a business rule, but they are likely considered a best practice to ensure progress and provide guidance to the student before the final submission.;-;-
Conduct regular catch-up meetings;Present thesis in Colloquium;-;Regular catch-up meetings are described as common practice among supervisors, but not a university rule. They are conducted to keep students on pace for their thesis, which is a best practice to ensure progress and quality.;-;-
Submit thesis on Koinon;Present thesis in Colloquium;-;-;The order is mandated by the university's examination regulations, which falls under the jurisdiction of the university as a stakeholder in the process. The university can change this rule at its discretion, making it a Business Rule rather than a Governmental Law.;Yes, the thesis must be completed and submitted before it can be presented and defended in a colloquium, as the content of the thesis is necessary for the presentation.
