sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Search for a topic;Conduct informal meeting to explain topic;-;The context suggests flexibility in approaches among supervisors, with some offering topics and others allowing students to search. This ordering is preferred but not strictly enforced, indicating a best practice rather than a governmental law or business rule.;-;-
Search for a topic;Write and submit proposal;-;-;The proposal requirement is set by the chair and not mandated by the university. Different chairs have different practices regarding proposals, indicating it's under the full jurisdiction of the chair.;There's a logical and data dependency. It's impossible to write a detailed proposal without first having a topic to write about.
Search for a topic;Get registered by chair on Koinon;-;-;-;There is a logical and data dependency. The topic needs to be determined (output of 'Search for a topic') before it can be used as input for the registration process ('Get registered by chair on Koinon').
Search for a topic;Student accept thesis on Koinon;-;-;-;Logical and data dependency: It's impossible to accept a thesis topic without first having a topic. The topic is the essential data needed for the acceptance process on Koinon.
Search for a topic;Start writing thesis;-;The context suggests that searching for a topic before writing is a common and accepted procedure, but not strictly enforced. Students typically consult with professors and submit proposals before writing, but there's no explicit rule mandating this order.;-;There is a logical dependency as it's impossible to write a thesis without having a topic. The topic provides the fundamental basis and direction for the thesis, making it a necessary precursor to writing.
Search for a topic;Conduct regular catch-up meetings;-;Regular meetings are common but not mandatory, as stated: 'It's common that all supervisors have regular weekly or bi-weekly meetings, but it's not a university rule, it's just what the supervisors usually do.' The order is logical and beneficial for the thesis process, making it a best practice.;-;-
Search for a topic;Submit thesis on Koinon;-;-;-;There is a logical and data dependency between the activities. A thesis requires a topic, and it's logically impossible to submit a completed thesis without first determining what the thesis is about.
Search for a topic;Present thesis in Colloquium;-;-;-;Logical dependency: It's impossible to present and defend a thesis on a topic that hasn't been chosen yet. Searching for a topic is a prerequisite for all subsequent steps in the thesis process, including the final presentation in the colloquium.
Conduct informal meeting to explain topic;Write and submit proposal;-;-;The proposal requirement is set by the chair and not mandated by the university. The context indicates that different chairs have different requirements, suggesting this order is under the full jurisdiction of the chair and can be changed at their discretion.;-
Conduct informal meeting to explain topic;Get registered by chair on Koinon;-;The context suggests that having an informal meeting or consultation before registration is a common and recommended practice, but not strictly enforced. The Student Service Center suggests this consultation, indicating it's a procedure accepted by the organization's staff to be superior to alternatives, but not strictly required.;-;-
Conduct informal meeting to explain topic;Student accept thesis on Koinon;-;-;-;-
Conduct informal meeting to explain topic;Start writing thesis;-;The informal meeting to explain the topic is a common and beneficial practice, but not strictly enforced. It's described as an informal discussion, suggesting flexibility rather than a rigid rule. There's no indication of it being mandated by university regulations or strictly enforced by the chair.;-;-
Conduct informal meeting to explain topic;Conduct regular catch-up meetings;-;The context indicates that these meetings are common practices adopted by supervisors, not mandated by the university or any governmental body. Statements like 'it's not a university rule, it's just what the supervisors usually do' and 'it's not mandatory by the university, but it's necessary and what the supervisors usually do' support this classification.;-;-
